time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
2317 0.955 0.928 0.153 0.431 1.19 0.798 0.356 0.258 0.392 0.449 0.471 0.8305 0.161 0.284 0.231 0.38 0.128 0.074 0.3785 0.44999999999999996
2318 0.992 0.888 0.171 0.568 1.183 0.774 0.291 0.263 0.368 0.416 0.456 0.852 0.248 0.168 0.167 0.344 0.09 0.05 0.241 0.514
2319 0.985 0.879 0.229 0.703 1.17 0.743 0.223 0.182 0.358 0.355 0.432 0.849 0.2 0.171 0.186 0.403 0.074 0.053 0.266 0.64
2320 0.939 0.84 0.357 0.813 1.176 0.677 0.195 0.223 0.388 0.328 0.419 0.828 0.21 0.132 0.213 0.328 0.047 0.045 0.309 0.75
2321 0.905 0.834 0.434 0.802 1.18 0.643 0.236 0.218 0.411 0.308 0.445 0.848 0.24 0.06 0.199 0.227 0.06 0.062 0.402 0.824
2322 0.868 0.85 0.463 0.777 1.185 0.605 0.213 0.173 0.4 0.273 0.588 0.829 0.288 0.026 0.199 0.263 0.093 0.073 0.479 0.898
2323 0.829 0.841 0.478 0.749 1.181 0.558 0.217 0.238 0.402 0.232 0.724 0.822 0.365 0.045 0.217 0.285 0.179 0.079 0.63 0.921
2324 0.809 0.845 0.493 0.725 1.184 0.519 0.235 0.285 0.42 0.203 0.811 0.809 0.394 0.07 0.208 0.294 0.31 0.063 0.765 0.919
2325 0.822 0.814 0.508 0.707 1.169 0.458 0.21 0.314 0.42 0.178 0.937 0.776 0.481 0.075 0.181 0.353 0.379 0.077 0.854 0.919
2326 0.854 0.809 0.517 0.688 1.188 0.421 0.182 0.288 0.363 0.138 1.022 0.688 0.561 0.092 0.159 0.346 0.477 0.054 0.983 0.874
2327 0.896 0.793 0.523 0.67 1.179 0.396 0.24 0.256 0.314 0.113 1.069 0.582 0.681 0.109 0.148 0.377 0.555 0.084 1.045 0.783
2328 0.913 0.836 0.538 0.653 1.195 0.357 0.314 0.27 0.271 0.085 1.128 0.481 0.775 0.161 0.135 0.359 0.656 0.144 1.107 0.659
2329 0.972 0.849 0.564 0.638 1.187 0.337 0.341 0.286 0.217 0.072 1.165 0.426 0.899 0.185 0.108 0.337 0.789 0.17 1.15 0.56
2330 1.005 0.822 0.586 0.62 1.19 0.288 0.337 0.303 0.164 0.085 1.144 0.351 1.02 0.266 0.085 0.332 0.906 0.226 1.148 0.466
2331 1.015 0.778 0.622 0.596 1.184 0.249 0.279 0.299 0.146 0.112 1.087 0.281 1.093 0.261 0.049 0.344 1.002 0.252 1.15 0.387
2332 1.022 0.722 0.668 0.576 1.184 0.198 0.167 0.305 0.165 0.139 1.072 0.355 1.064 0.289 0.044 0.389 1.039 0.209 1.142 0.327
2333 0.993 0.617 0.696 0.566 1.175 0.153 0.102 0.276 0.184 0.161 1.109 0.282 1.15 0.213 0.064 0.42 1.08 0.226 1.125 0.286
2334 0.995 0.513 0.726 0.558 1.18 0.121 0.094 0.236 0.199 0.18 1.119 0.182 1.138 0.142 0.09 0.467 1.126 0.123 1.126 0.238
2335 0.988 0.398 0.74 0.54 1.179 0.105 0.13 0.22 0.217 0.204 1.09 0.095 1.157 0.071 0.12 0.477 1.118 0.068 1.12 0.168
2336 0.746 0.525 0.859 0.827 1.166 0.14 0.176 0.223 0.223 0.232 1.12 0.118 1.18 0.043 0.143 0.514 1.132 0.034 1.025 0.306
2337 0.753 0.511 0.845 0.874 1.146 0.217 0.207 0.229 0.223 0.261 1.04 0.214 1.156 0.061 0.159 0.523 1.133 0.063 1.055 0.229
