time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
1979 0.962 1.034 0.568 0.757 1.037 1.03 0.927 0.732 0.577 0.83 0.679 0.482 0.647 0.073 0.892 0.854 0.6865 0.4785 0.677 0.667
1980 0.924 1.016 0.518 0.87 1.035 1.01 0.92 0.722 0.538 0.88 0.652 0.731 0.607 0.053 0.89 0.891 0.639 0.486 0.512 0.778
1981 0.891 1.019 0.48 0.916 0.973 1.005 0.906 0.71 0.581 0.951 0.677 0.8 0.549 0.06 0.903 0.919 0.585 0.509 0.523 0.844
1982 0.868 1.044 0.49 0.96 0.924 1.009 0.878 0.691 0.665 0.986 0.751 0.847 0.495 0.067 0.906 0.958 0.559 0.53 0.549 0.877
1983 0.866 1.08 0.553 0.997 0.895 1.003 0.842 0.681 0.757 0.987 0.82 0.878 0.452 0.075 0.913 0.99 0.522 0.554 0.653 0.893
1984 0.888 1.106 0.656 0.994 0.856 1.014 0.813 0.677 0.835 0.987 0.871 0.932 0.401 0.085 0.939 1.018 0.487 0.594 0.752 0.917
1985 0.924 1.104 0.746 1.015 0.904 1.001 0.788 0.683 0.837 1.016 0.907 0.966 0.356 0.115 0.984 1.01 0.471 0.649 0.825 0.914
1986 0.961 1.113 0.819 1.023 0.947 1.044 0.771 0.699 0.857 1.016 0.943 0.959 0.333 0.149 1.021 1.008 0.452 0.693 0.875 0.913
1987 0.988 1.128 0.87 1.017 1.012 0.997 0.76 0.718 0.899 1.036 0.995 0.949 0.274 0.16 1.063 1.035 0.433 0.74 0.906 0.875
1988 1.019 1.137 0.895 1.004 1.068 0.916 0.754 0.742 0.992 1.002 1.049 0.91 0.222 0.133 1.07 1.083 0.435 0.79 0.914 0.838
1989 1.05 1.136 0.895 0.973 1.08 0.879 0.748 0.761 1.05 0.923 1.065 0.826 0.174 0.121 1.03 1.106 0.444 0.836 0.88 0.77
1990 1.079 1.119 0.884 0.945 1.072 0.82 0.74 0.777 1.131 0.873 1.056 0.728 0.152 0.076 0.988 1.106 0.449 0.87 0.8 0.734
1991 1.117 1.099 0.87 0.916 1.092 0.71 0.732 0.794 1.166 0.911 1.048 0.636 0.121 0.052 0.952 1.119 0.448 0.908 0.712 0.671
1992 1.138 1.051 0.877 0.869 1.092 0.618 0.719 0.813 1.139 0.969 1.031 0.549 0.076 0.064 0.913 1.122 0.425 0.934 0.608 0.562
1993 1.133 1.016 0.834 0.82 1.073 0.508 0.694 0.829 1.118 1.012 0.955 0.473 0.056 0.096 0.877 1.121 0.412 0.96 0.485 0.453
1994 1.124 0.983 0.762 0.817 0.976 0.433 0.668 0.836 1.03 1.025 0.877 0.416 0.06 0.154 0.833 1.107 0.439 0.981 0.296 0.304
1995 1.087 0.949 0.713 0.825 0.876 0.401 0.635 0.859 0.945 1.038 0.807 0.368 0.063 0.213 0.787 1.09 0.511 0.955 0.132 0.221
1996 1.038 0.924 0.695 0.831 0.776 0.341 0.601 0.89 0.887 1.072 0.681 0.334 0.061 0.287 0.752 1.083 0.583 0.907 0.079 0.234
1997 0.991 0.891 0.662 0.845 0.662 0.308 0.62 0.874 0.809 1.056 0.56 0.319 0.072 0.365 0.724 1.08 0.584 0.914 0.066 0.311
