# Time(s) fish0X fish0Y
0.000 1.151 0.611
1.000 1.163 0.509
2.000 1.163 0.451
3.000 1.159 0.391
4.000 1.170 0.303
5.000 1.179 0.234
6.000 1.165 0.160
7.000 1.161 0.093
8.000 1.136 0.063
9.000 1.083 0.031
10.000 1.021 0.041
11.000 0.980 0.053
12.000 0.909 0.040
13.000 0.857 0.032
14.000 0.802 0.025
15.000 0.755 0.016
16.000 0.707 0.020
17.000 0.666 0.030
18.000 0.605 0.047
19.000 0.546 0.072
20.000 0.488 0.052
21.000 0.421 0.032
22.000 0.365 0.057
23.000 0.268 0.062
24.000 0.176 0.037
25.000 0.090 0.067
26.000 0.040 0.075
27.000 0.039 0.134
28.000 0.048 0.167
29.000 0.031 0.218
30.000 0.035 0.272
31.000 0.030 0.328
32.000 0.030 0.393
33.000 0.031 0.471
34.000 0.018 0.539
35.000 0.042 0.585
36.000 0.038 0.674
37.000 0.036 0.737
38.000 0.050 0.814
39.000 0.050 0.898
40.000 0.056 0.970
41.000 0.047 1.055
42.000 0.048 1.120
43.000 0.099 1.150
44.000 0.150 1.148
45.000 0.217 1.158
46.000 0.264 1.148
47.000 0.322 1.160
48.000 0.365 1.160
49.000 0.386 1.137
50.000 0.435 1.153
51.000 0.483 1.160
52.000 0.515 1.171
53.000 0.561 1.162
54.000 0.473 1.140
55.000 0.361 1.166
56.000 0.249 1.170
57.000 0.187 1.160
58.000 0.107 1.156
59.000 0.044 1.141
60.000 0.049 1.109
61.000 0.064 1.105
62.000 0.075 1.108
63.000 0.096 1.120
64.000 0.126 1.148
65.000 0.160 1.156
66.000 0.186 1.157
67.000 0.200 1.142
68.000 0.153 1.112
69.000 0.082 1.140
70.000 0.034 1.137
71.000 0.040 1.109
72.000 0.036 1.062
73.000 0.037 1.007
74.000 0.026 0.936
75.000 0.025 0.845
76.000 0.032 0.773
77.000 0.027 0.712
78.000 0.033 0.657
79.000 0.032 0.592
80.000 0.016 0.546
81.000 0.026 0.481
82.000 0.036 0.395
83.000 0.025 0.312
84.000 0.028 0.244
85.000 0.042 0.181
