# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.546 1.130 0.629 1.101 0.724 1.121 0.791 1.129 0.813 1.082 1.018 0.788 1.048 0.905 1.100 0.916 0.995 0.886 0.862 1.022
1.000 0.789 1.116 0.839 1.066 0.858 0.645 0.924 1.045 1.019 0.897 1.027 0.936 1.064 1.005 0.894 0.924 0.986 1.011 1.067 0.990
2.000 0.862 0.763 0.972 1.032 0.976 0.781 1.021 0.896 1.076 0.960 0.997 0.919 0.950 0.817 0.984 0.826 0.960 0.882 0.953 0.984
3.000 0.609 0.848 0.829 0.788 0.836 0.754 0.948 0.760 1.021 0.874 1.049 0.874 1.041 0.869 0.875 0.821 0.937 0.832 0.971 0.884
4.000 0.288 1.018 0.573 0.841 0.575 0.859 0.781 0.897 0.857 0.747 1.024 0.879 1.042 0.847 1.066 0.820 1.080 0.872 0.864 0.815
5.000 0.121 1.165 0.258 1.029 0.305 0.997 0.628 0.929 0.727 0.893 1.018 0.918 1.023 0.826 1.085 0.863 1.084 0.794 0.953 0.859
6.000 0.209 1.128 0.214 1.104 0.248 1.128 0.448 1.019 0.554 0.958 1.014 0.748 1.029 0.720 1.097 0.783 0.948 0.851 0.960 0.924
7.000 0.343 1.018 0.358 1.051 0.389 0.973 0.421 1.021 0.451 0.980 0.997 0.777 1.010 0.590 1.048 0.688 1.112 0.841 1.005 0.575
8.000 0.564 0.910 0.620 0.915 0.673 0.926 0.703 0.877 0.749 0.740 0.942 0.508 0.996 0.474 1.070 0.530 1.104 0.557 1.114 0.849
9.000 0.778 0.872 0.790 0.840 0.860 0.413 0.883 0.384 0.885 0.732 0.936 0.461 0.968 0.383 1.001 0.351 1.061 0.856 0.867 0.846
10.000 0.710 0.319 0.781 0.229 0.802 0.291 0.802 0.263 0.865 0.266 0.930 0.479 0.935 0.686 0.941 0.562 0.966 0.591 1.063 0.881
