time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
1182 0.885 0.863 1.1535 0.165 0.317 0.291 1.002 1.003 1.159 0.127 0.899 1.019 0.957 0.903 1.136 0.163 1.165 0.222 0.955 1.026
1183 0.957 0.738 1.174 0.161 0.341 0.281 1.029 0.877 1.111 0.079 0.952 0.972 1.087 0.762 1.155 0.16 1.145 0.172 0.978 0.892
1184 0.999 0.61 1.161 0.144 0.323 0.265 1.095 0.678 1.048 0.082 1.005 0.837 1.096 0.593 1.157 0.169 1.137 0.156 1.029 0.738
1185 1.042 0.437 1.162 0.159 0.296 0.255 1.106 0.483 0.951 0.091 1.108 0.662 1.084 0.409 1.132 0.189 1.101 0.1 1.091 0.548
1186 1.037 0.279 1.127 0.141 0.285 0.258 1.116 0.3 0.879 0.09 1.149 0.459 1.1 0.26 1.063 0.229 0.969 0.091 1.159 0.363
1187 0.933 0.189 0.994 0.109 0.323 0.241 0.991 0.213 0.812 0.065 1.165 0.269 0.994 0.111 0.943 0.152 0.852 0.052 1.116 0.186
1188 0.815 0.126 0.846 0.04 0.278 0.25 0.812 0.162 0.706 0.05 1.046 0.132 0.915 0.057 0.862 0.065 0.734 0.061 0.991 0.076
1189 0.678 0.13 0.706 0.072 0.283 0.231 0.609 0.139 0.634 0.064 0.853 0.138 0.856 0.052 0.85 0.117 0.641 0.073 0.894 0.034
1190 0.578 0.066 0.607 0.055 0.325 0.22 0.506 0.064 0.542 0.063 0.72 0.145 0.695 0.068 0.633 0.135 0.556 0.054 0.919 0.102
1191 0.464 0.064 0.5 0.063 0.333 0.253 0.357 0.061 0.411 0.127 0.551 0.086 0.524 0.058 0.476 0.13 0.416 0.054 0.745 0.152
1192 0.385 0.068 0.476 0.055 0.293 0.284 0.214 0.081 0.239 0.15 0.453 0.132 0.486 0.037 0.308 0.133 0.349 0.051 0.526 0.194
1193 0.343 0.118 0.368 0.093 0.272 0.284 0.076 0.049 0.089 0.074 0.336 0.215 0.458 0.042 0.168 0.083 0.193 0.054 0.339 0.243
1194 0.296 0.179 0.323 0.182 0.211 0.284 0.067 0.049 0.052 0.11 0.222 0.198 0.413 0.05 0.076 0.066 0.094 0.058 0.24 0.224
1195 0.216 0.229 0.278 0.224 0.13 0.208 0.063 0.058 0.103 0.161 0.134 0.198 0.337 0.059 0.15 0.135 0.135 0.089 0.169 0.208
1196 0.161 0.208 0.285 0.255 0.096 0.264 0.041 0.168 0.067 0.215 0.092 0.243 0.28 0.041 0.171 0.187 0.108 0.203 0.11 0.237
1197 0.065 0.347 0.341 0.373 0.048 0.381 0.06 0.242 0.038 0.351 0.052 0.341 0.16 0.086 0.307 0.373 0.057 0.281 0.063 0.361
1198 0.108 0.485 0.346 0.421 0.089 0.568 0.072 0.326 0.046 0.452 0.1 0.498 0.071 0.106 0.283 0.383 0.082 0.376 0.097 0.53
1199 0.12 0.615 0.373 0.459 0.139 0.733 0.076 0.511 0.063 0.582 0.141 0.649 0.056 0.229 0.264 0.41 0.07 0.558 0.124 0.694
1200 0.221 0.721 0.36 0.399 0.249 0.738 0.122 0.693 0.078 0.743 0.265 0.718 0.094 0.416 0.221 0.399 0.206 0.707 0.128 0.763
1201 0.336 0.789 0.304 0.395 0.416 0.759 0.304 0.802 0.213 0.858 0.458 0.792 0.147 0.582 0.171 0.411 0.364 0.752 0.297 0.863
1202 0.449 0.92 0.196 0.437 0.496 0.937 0.436 0.954 0.39 0.932 0.503 0.937 0.3 0.696 0.179 0.46 0.474 0.933 0.491 0.986
1203 0.416 1.036 0.142 0.5 0.486 1.04 0.412 1.091 0.409 1.063 0.538 0.947 0.416 0.836 0.129 0.53 0.422 1.051 0.398 1.131
1204 0.246 1.068 0.156 0.597 0.52 1.11 0.333 1.102 0.301 1.097 0.573 1.082 0.486 0.962 0.176 0.644 0.51 1.13 0.324 1.104
1205 0.109 0.993 0.225 0.706 0.457 1.095 0.242 1.075 0.153 0.991 0.578 1.14 0.522 1.061 0.229 0.743 0.549 1.149 0.151 1.01
1206 0.063 1.07 0.263 0.825 0.45 1.102 0.304 1.084 0.061 1.016 0.457 1.119 0.477 1.097 0.243 0.844 0.452 1.138 0.117 1.094
1207 0.059 1.119 0.217 0.923 0.288 1.056 0.086 1.114 0.061 1.092 0.298 1.082 0.371 1.082 0.232 0.955 0.2 1.108 0.068 1.134
1208 0.051 1.152 0.248 0.996 0.248 1.043 0.121 1.114 0.105 1.109 0.132 1.116 0.278 1.086 0.143 1.094 0.134 1.138 0.124 1.128
1209 0.064 1.146 0.189 0.977 0.219 1.03 0.11 1.071 0.097 1.064 0.185 1.082 0.325 1.007 0.21 1.034 0.15 1.09 0.099 1.075
1210 0.087 1.116 0.311 0.911 0.342 1.021 0.134 1.002 0.145 0.934 0.248 0.968 0.342 0.948 0.284 0.961 0.267 1.057 0.149 1.085
1211 0.112 1.119 0.355 0.866 0.407 1.088 0.225 0.992 0.275 0.852 0.306 0.873 0.373 0.953 0.346 0.927 0.414 1.142 0.129 1.112
1212 0.144 1.127 0.347 0.792 0.357 1.138 0.344 1.01 0.306 0.774 0.315 0.959 0.488 0.995 0.409 1.031 0.55 1.132 0.187 1.132
1213 0.166 1.141 0.524 0.937 0.307 1.108 0.477 1.017 0.233 0.759 0.386 1.027 0.637 1.024 0.539 1.035 0.766 1.095 0.239 1.102
1214 0.205 1.152 0.787 0.982 0.369 1.106 0.619 1.034 0.197 0.76 0.554 1.083 0.808 1.05 0.771 1.014 0.895 1.076 0.315 1.076
1215 0.324 1.15 0.933 1.012 0.63 1.068 0.775 1.032 0.158 0.764 0.764 1.083 1.002 1.0 0.89 1.058 1.042 0.998 0.42 1.072
1216 0.52 1.135 1.047 1.062 0.832 0.991 0.867 0.974 0.124 0.825 0.908 1.045 1.127 0.993 1.002 1.043 1.12 0.848 0.532 1.062
1217 0.719 1.074 1.114 1.006 0.944 0.927 0.997 0.918 0.173 0.928 0.965 0.953 1.169 0.79 1.029 0.866 1.157 0.683 0.681 1.04
1218 0.894 1.046 1.137 0.889 1.008 0.765 1.027 0.792 0.344 0.94 1.052 0.918 1.155 0.578 1.069 0.667 1.145 0.51 0.784 0.976
1219 0.96 0.937 1.159 0.749 1.13 0.596 0.92 0.785 0.511 0.941 1.093 0.861 1.172 0.399 1.142 0.483 1.132 0.381 0.885 0.915
1220 0.936 0.901 1.145 0.585 1.169 0.374 1.003 0.771 0.673 0.948 1.084 0.745 1.165 0.238 1.156 0.332 1.124 0.227 0.936 0.885
1221 0.92 0.849 1.119 0.399 1.174 0.156 1.077 0.545 0.822 0.946 1.127 0.578 1.164 0.07 1.151 0.139 1.075 0.077 1.029 0.672
1222 0.963 0.725 1.06 0.222 1.062 0.045 1.103 0.331 0.909 0.922 1.16 0.444 1.008 0.029 0.956 0.091 0.922 0.045 1.048 0.423
1223 1.005 0.604 0.883 0.194 0.846 0.053 0.982 0.186 0.962 0.83 1.147 0.349 0.846 0.033 0.852 0.073 0.777 0.082 0.917 0.227
1224 1.046 0.494 0.681 0.171 0.668 0.071 0.783 0.162 0.946 0.686 1.081 0.267 0.669 0.042 0.628 0.092 0.608 0.12 0.689 0.194
1225 1.092 0.421 0.472 0.175 0.544 0.095 0.559 0.168 0.861 0.582 0.925 0.208 0.484 0.045 0.455 0.101 0.44 0.151 0.471 0.233
1226 1.12 0.383 0.312 0.194 0.373 0.143 0.4 0.201 0.729 0.494 0.731 0.203 0.309 0.063 0.302 0.144 0.296 0.189 0.299 0.246
1227 1.169 0.313 0.214 0.163 0.232 0.182 0.272 0.229 0.572 0.41 0.516 0.222 0.155 0.074 0.149 0.162 0.14 0.182 0.151 0.197
1228 1.139 0.227 0.143 0.062 0.077 0.178 0.227 0.177 0.427 0.327 0.37 0.227 0.076 0.097 0.046 0.104 0.027 0.152 0.065 0.208
1229 1.096 0.15 0.09 0.076 0.04 0.253 0.239 0.16 0.355 0.272 0.27 0.205 0.059 0.189 0.043 0.199 0.047 0.232 0.034 0.312
1230 1.005 0.127 0.044 0.087 0.057 0.472 0.243 0.253 0.376 0.179 0.301 0.241 0.114 0.334 0.055 0.355 0.053 0.366 0.046 0.488
1231 0.893 0.116 0.04 0.298 0.063 0.54 0.23 0.331 0.344 0.243 0.378 0.286 0.128 0.533 0.065 0.491 0.084 0.515 0.095 0.564
1232 0.797 0.11 0.063 0.51 0.052 0.726 0.231 0.398 0.301 0.286 0.28 0.321 0.115 0.754 0.087 0.652 0.067 0.697 0.08 0.738
1233 0.679 0.147 0.049 0.729 0.058 0.871 0.174 0.493 0.256 0.31 0.22 0.401 0.094 0.951 0.084 0.778 0.059 0.811 0.049 0.954
1234 0.572 0.196 0.04 0.912 0.111 1.044 0.119 0.648 0.214 0.302 0.169 0.563 0.174 1.096 0.107 0.917 0.075 0.981 0.115 1.123
1235 0.479 0.233 0.075 1.094 0.281 1.094 0.121 0.795 0.198 0.291 0.16 0.75 0.343 1.141 0.195 1.026 0.187 1.089 0.327 1.148
1236 0.4 0.248 0.192 1.146 0.511 1.072 0.217 0.941 0.195 0.26 0.219 0.915 0.573 1.122 0.339 1.061 0.392 1.114 0.55 1.12
1237 0.325 0.291 0.262 1.142 0.738 1.031 0.383 1.005 0.19 0.267 0.397 0.976 0.812 1.095 0.485 1.063 0.59 1.101 0.726 1.125
1238 0.307 0.392 0.416 1.13 0.904 0.982 0.534 1.034 0.132 0.271 0.6 1.004 0.938 0.986 0.66 1.041 0.774 1.049 0.902 1.095
1239 0.33 0.485 0.6 1.102 0.962 0.922 0.657 1.049 0.119 0.33 0.784 0.946 1.064 0.944 0.782 1.012 0.92 0.965 1.029 0.977
1240 0.357 0.576 0.791 1.053 1.08 0.91 0.795 1.043 0.174 0.446 0.909 0.944 1.164 0.834 0.867 0.989 0.954 0.922 1.133 0.867
1241 0.393 0.657 0.893 1.036 1.163 0.78 0.928 0.96 0.236 0.536 0.981 0.922 1.16 0.611 1.013 1.012 1.048 0.767 1.14 0.683
