# Time(s) fish0X fish0Y
0.000 0.035 0.036
1.000 0.036 0.037
2.000 0.037 0.034
3.000 0.037 0.033
4.000 0.027 0.032
5.000 0.038 0.030
6.000 0.059 0.037
7.000 0.068 0.062
8.000 0.036 0.131
9.000 0.034 0.269
10.000 0.003 0.384
11.000 0.016 0.514
12.000 0.016 0.672
13.000 0.024 0.867
14.000 0.015 0.970
15.000 0.023 1.068
16.000 0.044 1.141
17.000 0.103 1.149
18.000 0.040 1.164
19.000 0.081 1.163
20.000 0.130 1.178
21.000 0.198 1.188
22.000 0.302 1.197
23.000 0.402 1.200
24.000 0.486 1.200
25.000 0.578 1.182
26.000 0.716 1.199
27.000 0.803 1.197
28.000 0.928 1.171
29.000 1.036 1.194
30.000 1.008 1.177
31.000 1.021 1.128
32.000 1.111 1.062
33.000 1.174 0.953
34.000 1.199 0.849
35.000 1.178 0.785
36.000 1.200 0.714
37.000 1.195 0.628
38.000 1.200 0.545
39.000 1.199 0.470
40.000 1.200 0.363
41.000 1.198 0.275
42.000 1.197 0.189
43.000 1.190 0.112
44.000 1.189 0.046
45.000 1.113 0.036
46.000 1.121 0.064
47.000 1.191 0.036
48.000 1.167 0.017
49.000 1.182 0.074
50.000 1.180 0.156
51.000 1.188 0.244
52.000 1.192 0.326
53.000 1.200 0.389
54.000 1.170 0.483
55.000 1.175 0.610
56.000 1.189 0.713
57.000 1.140 0.782
58.000 1.038 0.869
59.000 0.963 0.916
60.000 0.938 0.874
61.000 1.017 0.777
62.000 0.985 0.636
63.000 0.779 0.538
64.000 0.548 0.494
65.000 0.380 0.358
66.000 0.257 0.279
67.000 0.187 0.356
68.000 0.260 0.353
69.000 0.305 0.284
70.000 0.270 0.231
71.000 0.214 0.281
72.000 0.264 0.311
73.000 0.338 0.286
74.000 0.282 0.296
75.000 0.216 0.234
76.000 0.199 0.217
77.000 0.201 0.197
78.000 0.185 0.137
79.000 0.149 0.031
80.000 0.199 0.018
81.000 0.219 0.033
82.000 0.229 0.035
83.000 0.256 0.017
84.000 0.276 0.031
85.000 0.309 0.013
86.000 0.368 0.017
87.000 0.435 0.009
88.000 0.503 0.008
89.000 0.582 0.005
90.000 0.689 0.013
91.000 0.794 0.003
92.000 0.903 0.035
93.000 1.046 0.008
94.000 1.178 0.049
95.000 1.197 0.159
96.000 1.187 0.210
97.000 1.173 0.297
98.000 1.165 0.343
99.000 1.200 0.414
100.000 1.191 0.471
101.000 1.200 0.527
102.000 1.168 0.654
103.000 1.132 0.825
104.000 1.185 1.032
105.000 1.149 1.161
106.000 1.049 1.191
107.000 0.963 1.198
108.000 0.844 1.199
109.000 0.704 1.200
110.000 0.608 1.200
111.000 0.467 1.200
112.000 0.329 1.159
113.000 0.166 1.192
114.000 0.026 1.150
115.000 0.020 1.049
116.000 0.016 0.971
117.000 0.025 0.917
118.000 0.020 0.832
119.000 0.007 0.702
120.000 0.003 0.581
121.000 0.028 0.454
122.000 0.010 0.291
123.000 0.019 0.166
124.000 0.043 0.040
125.000 0.102 0.021
126.000 0.160 0.036
127.000 0.294 0.098
128.000 0.463 0.187
129.000 0.574 0.161
130.000 0.513 0.003
131.000 0.431 0.007
132.000 0.321 0.011
133.000 0.202 0.016
134.000 0.091 0.022
135.000 0.034 0.053
136.000 0.042 0.088
137.000 0.090 0.110
138.000 0.161 0.108
139.000 0.239 0.167
140.000 0.299 0.209
141.000 0.332 0.131
142.000 0.408 0.027
143.000 0.505 0.026
144.000 0.574 0.033
145.000 0.718 0.020
146.000 0.853 0.025
147.000 0.978 0.004
148.000 1.105 0.034
149.000 1.185 0.065
150.000 1.187 0.118
151.000 1.193 0.209
152.000 1.197 0.337
153.000 1.200 0.484
154.000 1.176 0.647
155.000 1.181 0.829
156.000 1.186 0.985
157.000 1.167 1.138
158.000 1.080 1.190
159.000 0.962 1.192
160.000 0.843 1.179
161.000 0.693 1.200
162.000 0.580 1.182
163.000 0.421 1.177
164.000 0.258 1.189
165.000 0.114 1.176
166.000 0.026 1.151
167.000 0.016 1.069
168.000 0.008 0.990
169.000 0.020 0.891
170.000 0.015 0.776
171.000 0.008 0.647
172.000 0.016 0.520
173.000 0.015 0.371
174.000 0.019 0.221
175.000 0.043 0.073
176.000 0.128 0.019
177.000 0.234 0.032
178.000 0.352 0.017
179.000 0.500 0.038
180.000 0.660 0.012
181.000 0.768 0.017
182.000 0.949 0.027
183.000 1.124 0.025
184.000 1.198 0.110
185.000 1.189 0.180
186.000 1.194 0.311
187.000 1.188 0.483
188.000 1.180 0.663
189.000 1.189 0.826
190.000 1.180 0.991
191.000 1.162 1.141
192.000 1.062 1.198
193.000 0.940 1.199
194.000 0.801 1.190
195.000 0.650 1.194
196.000 0.477 1.167
197.000 0.318 1.189
198.000 0.146 1.192
199.000 0.040 1.147
200.000 0.019 1.066
201.000 0.013 0.956
202.000 0.033 0.827
203.000 0.007 0.684
204.000 0.000 0.549
205.000 0.024 0.441
206.000 0.017 0.300
207.000 0.016 0.160
208.000 0.039 0.051
209.000 0.097 0.022
210.000 0.148 0.020
211.000 0.178 0.021
212.000 0.241 0.027
213.000 0.320 0.028
214.000 0.421 0.004
215.000 0.514 0.038
216.000 0.653 0.017
217.000 0.800 0.026
218.000 0.964 0.012
219.000 1.091 0.016
220.000 1.188 0.078
221.000 1.200 0.198
222.000 1.193 0.327
223.000 1.196 0.481
224.000 1.196 0.633
225.000 1.176 0.821
226.000 1.190 0.999
227.000 1.134 1.164
228.000 1.039 1.199
229.000 0.921 1.170
230.000 0.776 1.200
231.000 0.633 1.197
232.000 0.513 1.190
233.000 0.372 1.174
234.000 0.215 1.193
235.000 0.092 1.173
