# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 1.023 1.143 1.033 0.559 1.072 1.125 1.081 0.662 1.092 0.605 1.100 1.141 1.094 0.832 1.111 0.952 1.139 0.531 1.113 1.037
1.000 0.838 1.139 0.904 1.135 0.937 1.123 1.030 1.022 1.046 1.150 1.053 0.783 1.057 0.815 1.070 0.699 1.101 1.104 1.133 0.671
2.000 0.758 1.137 0.791 1.139 0.811 1.106 0.859 1.092 0.863 1.138 0.954 1.142 0.973 0.978 1.032 0.868 1.042 0.943 1.118 0.807
3.000 0.790 1.054 0.807 1.116 0.858 1.035 0.864 0.960 0.926 0.948 0.935 0.997 0.940 1.081 0.968 1.030 1.092 0.901 0.893 1.047
4.000 0.844 1.112 0.842 0.909 0.848 1.083 0.926 0.956 0.933 0.876 0.940 0.885 1.009 0.991 1.009 0.772 1.013 0.850 1.044 0.731
5.000 0.811 1.062 0.883 1.028 0.924 0.771 0.932 0.958 1.032 0.858 1.028 0.731 1.045 0.774 1.079 0.625 1.097 0.580 1.077 0.523
6.000 0.932 0.891 0.941 0.962 0.971 0.843 1.006 0.633 1.053 0.491 1.079 0.385 1.081 0.697 1.086 0.598 1.096 0.426 1.103 0.298
7.000 1.007 0.134 1.001 0.761 1.008 0.696 1.034 0.471 1.036 0.779 1.047 0.171 1.055 0.380 1.067 0.313 1.082 0.503 1.104 0.229
8.000 0.792 0.084 0.839 0.118 0.884 0.116 0.904 0.157 0.926 0.202 0.976 0.284 1.018 0.592 1.025 0.635 1.059 0.293 1.101 0.576
9.000 0.570 0.064 0.607 0.107 0.688 0.095 0.738 0.125 0.756 0.158 0.846 0.198 0.938 0.171 1.079 0.381 1.091 0.522 1.097 0.488
10.000 0.338 0.045 0.387 0.059 0.469 0.065 0.557 0.095 0.586 0.129 0.670 0.134 0.781 0.124 1.084 0.416 1.099 0.360 1.168 0.293
11.000 0.090 0.032 0.138 0.052 0.214 0.054 0.350 0.059 0.389 0.086 0.458 0.130 0.605 0.122 1.131 0.308 1.152 0.178 1.166 0.252
12.000 0.054 0.197 0.067 0.162 0.067 0.094 0.148 0.065 0.185 0.096 0.269 0.092 0.425 0.118 1.044 0.123 1.091 0.172 1.166 0.194
13.000 0.062 0.270 0.061 0.180 0.060 0.346 0.073 0.384 0.101 0.209 0.114 0.111 0.930 0.111 0.966 0.149 1.135 0.087 0.265 0.118
14.000 0.052 0.569 0.071 0.353 0.076 0.504 0.093 0.581 0.098 0.272 0.099 0.412 0.157 0.189 0.767 0.160 0.861 0.167 0.964 0.110
15.000 0.063 0.774 0.072 0.671 0.079 0.535 0.096 0.740 0.099 0.597 0.106 0.457 0.128 0.338 0.626 0.143 0.734 0.166 0.841 0.151
16.000 0.059 0.953 0.074 0.866 0.073 0.730 0.080 0.636 0.089 0.794 0.089 0.941 0.101 0.497 0.507 0.148 0.710 0.088 0.565 0.170
17.000 0.066 1.079 0.081 1.060 0.088 1.128 0.092 0.991 0.101 0.899 0.116 0.834 0.118 0.709 0.369 0.105 0.447 0.167 0.574 0.132
18.000 0.067 1.139 0.083 1.098 0.093 1.080 0.115 1.130 0.145 1.032 0.159 0.910 0.294 0.038 0.361 0.076 0.477 0.076 0.081 1.051
19.000 0.065 1.136 0.089 1.122 0.131 1.156 0.171 1.103 0.220 0.078 0.306 0.033 0.403 0.038 0.097 1.144 0.087 1.153 0.084 1.139
20.000 0.077 1.115 0.083 1.159 0.101 1.121 0.113 1.094 0.152 1.169 0.202 0.133 0.242 0.158 0.314 0.061 0.205 1.139 0.186 1.151
21.000 0.107 1.100 0.146 1.123 0.174 1.154 0.178 0.036 0.196 0.194 0.204 1.112 0.255 1.174 0.276 1.150 0.318 1.116 0.173 0.315
22.000 0.077 0.164 0.103 0.067 0.169 0.246 0.247 1.142 0.306 1.147 0.306 1.097 0.344 1.082 0.407 1.137 0.423 1.107 0.228 1.144
23.000 0.055 0.082 0.061 0.121 0.108 0.164 0.326 1.105 0.381 1.141 0.392 1.079 0.461 1.139 0.469 1.120 0.542 1.111 0.578 1.121
24.000 0.044 0.163 0.086 0.033 0.082 0.151 0.446 1.134 0.475 1.091 0.547 1.101 0.555 1.058 0.599 1.115 0.629 1.042 0.663 1.089
25.000 0.034 0.108 0.074 0.044 0.095 0.168 0.419 1.094 0.550 1.123 0.551 1.000 0.573 1.097 0.605 0.918 0.606 0.996 0.603 1.014
26.000 0.065 0.167 0.088 0.108 0.087 0.288 0.235 1.158 0.421 1.088 0.422 1.037 0.426 0.898 0.469 0.692 0.536 1.057 0.568 0.925
27.000 0.095 0.089 0.119 1.116 0.127 0.489 0.129 0.343 0.194 1.081 0.306 0.550 0.314 0.919 0.412 0.739 0.226 1.127 0.373 1.044
28.000 0.086 1.009 0.107 0.198 0.159 0.985 0.167 0.545 0.175 0.715 0.179 0.795 0.189 0.502 0.227 0.610 0.232 0.764 0.235 0.883
29.000 0.102 0.845 0.107 0.611 0.123 0.731 0.135 0.651 0.153 0.614 0.192 0.725 0.214 0.779 0.219 0.644 0.089 0.374 0.165 0.615
