time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
0 0.828 1.104 1.043 1.087 1.087 0.933 1.103 1.046 1.139 0.85 1.154 0.94 1.164 1.024 1.127 0.89 1.111 0.892 1.145 1.008
1 0.97 1.057 1.103 0.958 1.056 0.874 1.117 0.897 1.118 0.711 1.139 0.819 1.167 0.845 1.151 0.791 1.082 0.793 1.144 0.858
2 1.069 0.969 1.095 0.872 1.123 0.745 1.117 0.811 1.075 0.546 1.128 0.683 1.163 0.735 1.121 0.617 1.072 0.651 1.135 0.724
3 1.126 0.84 1.097 0.696 1.03 0.56 1.117 0.641 1.032 0.487 1.102 0.504 1.145 0.548 1.146 0.498 1.032 0.502 1.095 0.582
4 1.124 0.683 0.999 0.571 1.019 0.51 1.026 0.544 1.001 0.348 1.049 0.478 1.064 0.514 1.075 0.371 0.912 0.461 1.052 0.51
5 1.087 0.56 0.733 0.522 0.856 0.48 0.858 0.562 0.856 0.417 0.977 0.464 0.951 0.515 1.029 0.472 0.605 0.611 0.915 0.551
6 0.954 0.485 0.486 0.691 0.62 0.588 0.695 0.588 0.69 0.531 0.778 0.501 0.763 0.547 0.859 0.462 0.388 0.777 0.739 0.625
7 0.784 0.49 0.295 0.821 0.425 0.703 0.44 0.741 0.521 0.63 0.578 0.587 0.576 0.619 0.64 0.549 0.192 0.853 0.525 0.742
8 0.612 0.531 0.094 0.804 0.249 0.772 0.198 0.846 0.364 0.761 0.433 0.7 0.41 0.704 0.46 0.642 0.105 0.845 0.31 0.857
9 0.471 0.615 0.088 0.735 0.131 0.729 0.143 0.834 0.26 0.836 0.252 0.772 0.163 0.712 0.264 0.748 0.107 0.782 0.152 0.828
10 0.332 0.66 0.083 0.659 0.121 0.693 0.096 0.778 0.283 0.704 0.16 0.656 0.122 0.627 0.224 0.624 0.101 0.721 0.138 0.751
11 0.266 0.706 0.094 0.616 0.256 0.721 0.093 0.718 0.286 0.743 0.198 0.599 0.11 0.562 0.235 0.626 0.098 0.647 0.279 0.8
12 0.27 0.747 0.062 0.55 0.159 0.821 0.136 0.86 0.24 0.78 0.161 0.536 0.079 0.532 0.228 0.642 0.116 0.589 0.235 0.811
13 0.194 0.801 0.061 0.633 0.081 0.953 0.065 0.955 0.155 0.815 0.204 0.686 0.114 0.513 0.132 0.795 0.134 0.746 0.138 0.865
14 0.147 0.925 0.078 0.826 0.11 1.092 0.082 1.073 0.126 0.988 0.149 0.806 0.163 0.506 0.108 0.993 0.117 0.944 0.106 1.021
15 0.271 1.112 0.101 0.888 0.272 1.163 0.195 1.158 0.254 1.125 0.144 1.02 0.139 0.73 0.164 1.114 0.183 1.105 0.211 1.14
16 0.453 1.09 0.157 1.011 0.473 1.13 0.361 1.133 0.409 1.077 0.304 1.09 0.136 0.904 0.289 1.137 0.325 1.118 0.412 1.153
17 0.614 1.02 0.254 1.093 0.567 1.111 0.551 1.086 0.601 1.052 0.506 1.056 0.202 1.036 0.357 1.11 0.48 1.117 0.552 1.154
18 0.762 1.083 0.428 1.111 0.763 1.136 0.706 1.118 0.783 1.115 0.673 1.077 0.367 1.082 0.574 1.12 0.638 1.139 0.738 1.148
19 0.945 1.086 0.597 1.138 0.979 1.117 0.889 1.12 0.976 1.1 0.805 1.111 0.5 1.128 0.743 1.127 0.791 1.14 0.909 1.138
20 1.088 1.025 0.765 1.144 1.106 1.081 1.021 1.076 1.129 1.027 0.998 1.126 0.669 1.145 0.916 1.126 0.95 1.134 1.073 1.114
21 1.114 0.88 0.935 1.139 1.154 0.982 1.129 0.904 1.145 0.863 1.095 0.985 0.858 1.135 1.081 1.057 1.071 1.104 1.106 1.016
22 1.092 0.717 1.055 1.083 1.14 0.84 1.117 0.709 1.134 0.703 1.132 0.819 1.006 1.124 1.15 0.928 1.117 0.923 1.111 0.845
23 1.074 0.524 1.128 0.945 1.146 0.676 1.112 0.521 1.141 0.528 1.153 0.645 1.102 1.029 1.136 0.727 1.122 0.785 1.098 0.643
24 1.103 0.385 1.145 0.778 1.148 0.476 1.165 0.351 1.17 0.368 1.137 0.456 1.144 0.865 1.143 0.548 1.13 0.627 1.085 0.476
25 1.081 0.226 1.15 0.632 1.158 0.292 1.15 0.172 1.107 0.196 1.16 0.247 1.147 0.703 1.162 0.36 1.131 0.463 1.084 0.292
26 1.026 0.088 1.154 0.484 1.131 0.121 1.104 0.06 1.051 0.044 1.15 0.085 1.152 0.554 1.134 0.179 1.134 0.283 1.084 0.137
