time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
2542 1.107 1.154 0.757 0.154 0.66 0.171 0.502 0.168 1.142 1.122 0.899 0.139 0.7224999999999999 0.1765 0.502 1.095 1.144 1.108 0.067 0.022
2543 1.025 1.141 0.741 0.14 0.701 0.158 0.524 0.132 1.131 1.094 0.94 0.128 0.748 0.16 0.56 1.088 1.132 1.014 0.079 0.029
2544 1.048 1.136 0.733 0.136 0.718 0.147 0.54 0.086 1.135 1.038 0.986 0.111 0.758 0.138 0.588 1.137 1.14 0.921 0.09 0.074
2545 1.072 1.065 0.774 0.128 0.735 0.147 0.534 0.042 1.12 0.971 1.039 0.109 0.842 0.107 0.617 1.129 1.141 0.86 0.066 0.196
2546 1.026 0.883 0.884 0.11 0.76 0.145 0.476 0.035 1.102 0.854 1.09 0.114 0.999 0.103 0.646 1.027 1.084 0.768 0.054 0.304
2547 0.992 0.71 0.992 0.112 0.819 0.138 0.432 0.049 1.078 0.699 1.123 0.155 1.108 0.128 0.746 0.923 1.079 0.611 0.064 0.387
2548 0.957 0.558 1.046 0.154 0.869 0.135 0.516 0.152 1.067 0.57 1.097 0.268 1.063 0.283 0.82 0.783 1.072 0.464 0.128 0.461
2549 0.916 0.413 1.025 0.265 0.907 0.15 0.615 0.15 1.035 0.447 1.059 0.338 0.995 0.325 0.873 0.584 1.028 0.35 0.324 0.506
2550 1.022 0.403 1.004 0.326 0.93 0.17 0.631 0.199 1.031 0.401 1.03 0.358 0.979 0.347 0.922 0.46 1.038 0.393 0.513 0.513
2551 1.028 0.466 0.999 0.395 0.961 0.183 0.638 0.241 1.029 0.444 1.033 0.382 0.968 0.398 1.029 0.48 1.035 0.412 0.676 0.499
2552 1.012 0.483 1.017 0.443 0.985 0.203 0.645 0.301 1.012 0.473 1.026 0.379 1.007 0.456 1.002 0.512 1.056 0.443 0.755 0.482
2553 0.989 0.528 1.002 0.506 0.979 0.252 0.69 0.36 0.978 0.528 1.067 0.429 0.986 0.508 0.989 0.551 1.035 0.495 0.836 0.467
2554 1.024 0.616 1.015 0.581 0.986 0.309 0.729 0.4 0.981 0.578 1.091 0.522 1.002 0.516 1.007 0.637 1.012 0.502 0.937 0.508
2555 1.071 0.721 1.024 0.717 1.002 0.352 0.755 0.44 0.982 0.695 1.116 0.616 1.015 0.567 1.002 0.717 1.029 0.569 0.996 0.599
2556 1.121 0.752 1.102 0.733 1.015 0.389 0.791 0.519 1.045 0.74 1.13 0.686 1.014 0.634 1.047 0.777 1.058 0.643 0.992 0.703
2557 1.116 0.814 1.117 0.8 1.044 0.408 0.804 0.568 1.111 0.791 1.138 0.767 1.025 0.671 1.107 0.852 1.099 0.685 0.975 0.816
2558 1.059 0.901 1.128 0.874 1.072 0.407 0.838 0.618 1.096 0.878 1.143 0.812 1.024 0.716 1.061 0.922 1.117 0.745 1.017 0.925
2559 1.067 0.962 1.114 0.979 1.1 0.406 0.857 0.691 1.086 0.975 1.114 0.872 1.008 0.773 1.049 1.018 1.118 0.799 1.021 0.935
2560 1.078 1.004 1.117 1.067 1.131 0.403 0.848 0.755 1.096 1.053 1.083 0.923 1.017 0.826 1.09 1.05 1.119 0.857 0.966 0.907
2561 1.06 1.05 1.095 1.037 1.146 0.4 0.84 0.809 1.061 1.077 1.052 1.027 0.985 0.867 1.022 1.091 1.14 0.869 0.905 0.908
2562 0.925 1.013 1.045 1.064 1.164 0.353 0.82 0.863 0.969 1.076 0.883 0.988 0.897 0.909 0.96 1.075 1.138 0.93 0.855 0.925
2563 0.813 0.98 0.983 1.068 1.163 0.322 0.791 0.9 0.907 1.091 0.769 0.965 0.819 0.929 0.862 1.042 1.07 0.964 0.778 0.936
