# Time(s) fish0X fish0Y
0.000 0.282 1.176
1.000 0.296 1.121
2.000 0.427 1.137
3.000 0.480 1.128
4.000 0.500 1.127
5.000 0.540 1.125
6.000 0.609 1.167
7.000 0.719 1.172
8.000 0.838 1.172
9.000 0.975 1.174
10.000 1.080 1.170
11.000 1.145 1.178
12.000 1.159 1.118
13.000 1.148 1.025
14.000 1.167 0.925
15.000 1.175 0.823
16.000 1.168 0.792
17.000 1.181 0.766
18.000 1.163 0.790
19.000 1.158 0.838
20.000 1.117 0.917
21.000 1.120 0.962
22.000 1.056 1.103
23.000 0.996 1.119
24.000 0.873 1.095
25.000 0.771 1.088
26.000 0.716 1.094
27.000 0.697 1.100
28.000 0.566 1.103
29.000 0.499 1.115
30.000 0.421 1.109
31.000 0.282 1.104
32.000 0.219 1.067
33.000 0.207 1.029
34.000 0.233 0.999
35.000 0.270 0.993
36.000 0.302 0.972
37.000 0.312 0.898
38.000 0.294 0.831
39.000 0.290 0.772
40.000 0.345 0.778
41.000 0.388 0.808
42.000 0.424 0.852
43.000 0.360 0.933
44.000 0.263 1.012
45.000 0.228 1.114
46.000 0.200 1.173
47.000 0.154 1.171
48.000 0.094 1.168
49.000 0.050 1.159
50.000 0.022 1.146
51.000 0.022 1.119
52.000 0.017 1.082
53.000 0.019 1.060
54.000 0.017 1.086
55.000 0.031 1.122
56.000 0.034 1.151
57.000 0.064 1.163
58.000 0.103 1.156
59.000 0.127 1.148
60.000 0.141 1.131
61.000 0.172 1.138
62.000 0.209 1.168
63.000 0.251 1.167
64.000 0.277 1.162
65.000 0.320 1.151
66.000 0.366 1.143
67.000 0.398 1.167
68.000 0.459 1.175
69.000 0.516 1.156
70.000 0.578 1.147
71.000 0.626 1.112
72.000 0.708 1.144
73.000 0.749 1.182
74.000 0.803 1.164
75.000 0.863 1.148
76.000 0.938 1.179
77.000 1.009 1.180
78.000 1.080 1.174
79.000 1.146 1.150
80.000 1.165 1.089
81.000 1.149 1.038
82.000 1.156 0.964
83.000 1.149 0.883
84.000 1.131 0.774
85.000 1.144 0.651
86.000 1.133 0.517
87.000 1.146 0.479
88.000 1.083 0.435
89.000 1.063 0.319
90.000 1.119 0.193
91.000 1.172 0.088
92.000 1.119 0.008
93.000 1.027 0.020
94.000 1.013 0.008
95.000 0.989 0.003
96.000 0.968 0.072
97.000 1.011 0.118
98.000 1.007 0.219
99.000 0.882 0.213
100.000 0.770 0.238
101.000 0.689 0.244
102.000 0.633 0.200
103.000 0.585 0.098
104.000 0.532 0.020
105.000 0.438 0.007
106.000 0.385 0.023
107.000 0.319 0.121
108.000 0.235 0.137
109.000 0.196 0.040
110.000 0.246 0.012
111.000 0.287 0.020
112.000 0.332 0.019
113.000 0.388 0.003
114.000 0.428 0.009
115.000 0.407 0.069
116.000 0.326 0.159
117.000 0.277 0.201
118.000 0.165 0.224
119.000 0.074 0.193
120.000 0.039 0.103
121.000 0.043 0.022
122.000 0.068 0.019
123.000 0.068 0.059
124.000 0.063 0.115
125.000 0.067 0.169
126.000 0.097 0.158
127.000 0.185 0.132
128.000 0.250 0.188
129.000 0.216 0.270
130.000 0.236 0.346
131.000 0.247 0.446
132.000 0.165 0.495
133.000 0.057 0.489
134.000 0.011 0.444
135.000 0.022 0.388
136.000 0.027 0.336
