time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
1894 0.477 1.06 0.25 0.948 0.478 1.157 0.143 0.826 0.514 1.112 1.168 0.932 1.1560625 0.9478515625 0.434 0.452 0.559 1.126 0.251 0.717
1895 0.729 1.0 0.408 0.998 0.577 1.158 0.206 0.949 0.677 1.118 1.171 0.986 0.909 0.984 0.393 0.407 0.737 1.102 0.335 0.872
1896 0.909 0.986 0.568 1.025 0.732 1.124 0.314 1.035 0.826 1.082 1.147 1.044 1.051 1.01 0.402 0.369 0.891 1.077 0.482 0.962
1897 1.036 1.061 0.736 1.02 0.89 1.056 0.441 1.101 0.968 1.084 1.162 1.097 1.135 1.067 0.362 0.319 1.023 1.116 0.632 0.996
1898 1.157 1.063 0.83 0.989 1.007 1.018 0.575 1.116 1.06 0.984 1.155 1.133 1.164 1.091 0.283 0.31 1.111 1.131 0.745 0.982
1899 1.158 0.894 0.909 0.993 1.092 0.931 0.71 1.079 1.154 0.81 1.143 1.128 1.15 1.035 0.307 0.286 1.114 1.148 0.811 0.953
1900 1.149 0.679 0.944 1.038 1.12 0.779 0.827 1.037 1.153 0.577 1.148 1.015 1.145 0.859 0.214 0.295 1.091 1.143 0.907 0.873
1901 1.159 0.482 1.011 1.067 1.14 0.616 0.909 1.003 1.108 0.428 1.151 0.823 1.153 0.622 0.203 0.376 1.067 1.127 0.964 0.732
1902 1.14 0.278 1.049 1.094 1.118 0.373 0.97 0.979 1.032 0.218 1.15 0.573 1.121 0.453 0.289 0.428 1.106 1.087 0.938 0.596
1903 1.035 0.105 1.092 1.056 1.0 0.18 1.058 0.904 0.869 0.123 1.126 0.348 1.077 0.34 0.335 0.44 1.158 1.08 0.928 0.452
1904 0.827 0.075 1.114 1.006 0.811 0.132 1.066 0.877 0.683 0.155 1.03 0.203 0.981 0.263 0.391 0.436 1.171 1.018 0.848 0.388
1905 0.61 0.086 1.094 0.941 0.585 0.151 1.153 0.9 0.504 0.185 0.811 0.157 0.829 0.243 0.457 0.427 1.167 0.922 0.787 0.402
1906 0.396 0.12 1.064 0.863 0.389 0.205 1.164 0.841 0.349 0.191 0.559 0.156 0.675 0.221 0.518 0.431 1.149 0.937 0.737 0.418
1907 0.23 0.179 1.005 0.787 0.288 0.246 1.172 0.753 0.206 0.241 0.402 0.151 0.535 0.217 0.624 0.43 1.093 0.881 0.71 0.452
1908 0.166 0.302 0.943 0.718 0.23 0.262 1.182 0.679 0.161 0.383 0.272 0.179 0.401 0.233 0.678 0.43 1.096 0.773 0.691 0.422
1909 0.092 0.476 0.926 0.63 0.163 0.319 1.182 0.631 0.172 0.539 0.144 0.285 0.323 0.272 0.733 0.474 1.101 0.693 0.697 0.409
