# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.101 0.698 0.103 0.790 0.107 0.562 0.115 0.797 0.142 0.804 0.156 0.394 0.163 0.834 0.196 0.649 0.199 0.789 0.308 0.259
1.000 0.107 0.820 0.117 0.680 0.136 0.956 0.169 0.489 0.174 0.838 0.186 0.773 0.200 0.914 0.211 0.963 0.276 0.310 0.115 0.955
2.000 0.100 0.812 0.129 0.950 0.161 0.895 0.164 1.074 0.176 0.567 0.191 1.087 0.204 0.903 0.213 1.076 0.248 0.362 0.251 1.014
3.000 0.111 0.933 0.181 1.072 0.178 0.990 0.192 0.646 0.229 0.417 0.244 1.158 0.250 1.131 0.262 0.996 0.316 1.107 0.329 1.127
4.000 0.210 0.736 0.221 1.027 0.215 0.474 0.301 1.031 0.318 1.154 0.328 0.962 0.336 1.105 0.395 1.117 0.439 1.113 0.451 1.084
5.000 0.210 0.533 0.250 0.814 0.343 1.021 0.389 1.117 0.393 1.005 0.434 1.004 0.493 1.073 0.494 1.048 0.511 1.097 0.501 1.074
6.000 0.214 0.573 0.313 0.881 0.428 1.003 0.494 1.075 0.500 1.007 0.556 1.002 0.592 1.078 0.603 1.062 0.624 1.023 0.571 1.069
7.000 0.226 0.612 0.386 0.912 0.544 1.014 0.594 1.080 0.664 0.972 0.687 1.017 0.740 1.013 0.746 1.035 0.755 1.002 0.626 0.995
8.000 0.237 0.654 0.461 0.919 0.649 1.035 0.705 1.041 0.742 0.919 0.783 0.940 0.805 0.969 0.859 0.935 0.886 0.964 0.861 0.926
9.000 0.265 0.693 0.555 0.942 0.749 0.998 0.831 0.992 0.840 0.864 0.883 0.833 0.918 0.931 0.925 0.846 0.973 0.831 0.843 0.847
10.000 0.309 0.717 0.639 0.943 0.841 0.913 0.861 0.746 0.881 0.903 0.883 0.851 0.890 0.756 0.889 0.838 0.905 0.786 0.944 0.764
11.000 0.359 0.739 0.709 0.910 0.836 0.710 0.847 0.841 0.867 0.634 0.877 0.834 0.889 0.797 0.910 0.641 0.926 0.613 0.937 0.707
12.000 0.412 0.753 0.760 0.846 0.853 0.764 0.856 0.603 0.853 0.795 0.895 0.659 0.918 0.505 0.952 0.567 0.958 0.514 0.983 0.496
13.000 0.477 0.750 0.804 0.777 0.892 0.727 0.892 0.478 0.918 0.640 0.959 0.352 0.964 0.500 0.963 0.388 0.982 0.411 1.023 0.394
14.000 0.529 0.744 0.849 0.719 0.870 0.358 0.879 0.344 0.898 0.343 0.929 0.290 0.944 0.656 0.969 0.314 0.961 0.517 0.996 0.391
