time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
2259 1.134 0.078 0.22649999999999998 0.097 1.007 0.057 0.241 1.081 0.979 0.064 0.129 0.884 0.048 0.524 1.089 0.053 0.265 0.592 0.216 0.106
2260 1.075 0.066 0.218 0.102 0.941 0.064 0.323 1.091 0.875 0.088 0.139 0.917 0.071 0.481 0.957 0.186 0.172 0.539 0.206 0.122
2261 1.035 0.105 0.209 0.072 0.879 0.057 0.371 1.116 0.792 0.097 0.159 0.936 0.072 0.419 0.848 0.268 0.107 0.511 0.215 0.101
2262 0.931 0.078 0.244 0.051 0.77 0.088 0.435 1.137 0.664 0.09 0.181 0.943 0.063 0.359 0.737 0.243 0.08 0.434 0.2 0.099
2263 0.856 0.058 0.233 0.037 0.627 0.093 0.508 1.115 0.512 0.092 0.205 0.926 0.085 0.298 0.664 0.197 0.089 0.356 0.228 0.105
2264 0.806 0.074 0.167 0.072 0.47 0.084 0.577 1.105 0.344 0.073 0.243 0.917 0.084 0.205 0.611 0.158 0.104 0.261 0.226 0.09
2265 0.678 0.076 0.092 0.081 0.323 0.069 0.626 1.121 0.208 0.062 0.316 0.905 0.088 0.149 0.538 0.141 0.108 0.159 0.2 0.109
2266 0.62 0.053 0.088 0.042 0.24 0.074 0.658 1.137 0.115 0.06 0.326 0.938 0.066 0.061 0.434 0.115 0.064 0.066 0.214 0.106
2267 0.549 0.057 0.038 0.062 0.229 0.096 0.726 1.13 0.21 0.097 0.309 0.965 0.042 0.08 0.341 0.083 0.052 0.102 0.207 0.108
2268 0.467 0.054 0.042 0.115 0.201 0.118 0.781 1.112 0.126 0.113 0.298 0.994 0.042 0.164 0.263 0.099 0.075 0.15 0.089 0.137
2269 0.37 0.053 0.039 0.175 0.215 0.15 0.832 1.06 0.097 0.128 0.271 1.007 0.046 0.26 0.238 0.138 0.084 0.213 0.089 0.134
2270 0.298 0.038 0.039 0.329 0.233 0.241 0.884 1.013 0.092 0.236 0.24 1.024 0.05 0.376 0.249 0.091 0.062 0.348 0.05 0.269
2271 0.21 0.043 0.072 0.411 0.246 0.32 0.93 1.004 0.119 0.363 0.228 1.052 0.059 0.501 0.214 0.074 0.096 0.465 0.054 0.374
2272 0.156 0.049 0.058 0.542 0.286 0.39 1.001 1.018 0.15 0.496 0.207 1.074 0.061 0.584 0.234 0.122 0.11 0.571 0.045 0.521
2273 0.083 0.04 0.079 0.63 0.337 0.408 1.077 1.033 0.115 0.607 0.223 1.1 0.047 0.643 0.306 0.13 0.074 0.643 0.055 0.628
2274 0.043 0.082 0.071 0.748 0.381 0.41 1.136 1.014 0.105 0.679 0.253 1.104 0.055 0.754 0.369 0.119 0.095 0.775 0.066 0.752
