# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.515 0.689 0.571 1.103 0.667 1.082 0.742 1.073 0.746 1.097 0.565 1.121 0.639 1.117 0.644 1.057 0.933 0.863 0.655 1.076
1.000 0.612 0.848 0.642 1.111 0.672 1.104 0.686 1.135 0.736 1.149 0.754 1.076 0.833 1.081 0.745 1.119 0.883 0.979 0.917 0.859
2.000 0.707 0.928 0.740 1.124 0.766 1.145 0.787 1.083 0.846 1.079 0.863 1.137 0.859 1.007 0.920 0.994 0.962 0.928 0.899 0.825
3.000 0.803 1.127 0.902 1.124 0.965 1.049 0.891 0.994 0.912 1.012 0.848 0.936 0.862 0.808 0.997 0.842 0.917 1.009 0.886 1.005
4.000 0.878 1.062 0.999 1.047 1.000 0.739 0.949 0.977 0.952 0.945 0.976 0.969 0.984 0.881 0.904 0.885 0.886 0.835 0.833 0.833
5.000 0.899 1.027 0.951 0.685 0.827 0.870 0.843 0.820 0.867 0.818 0.965 0.945 0.970 0.915 1.016 0.958 1.013 0.939 1.039 0.941
6.000 0.880 0.751 1.065 0.963 1.013 0.947 1.013 0.848 0.968 0.861 0.896 0.958 0.830 0.887 0.833 0.812 0.817 0.825 1.047 0.964
7.000 0.813 0.910 1.065 0.792 1.125 1.013 1.034 0.977 0.989 0.863 1.005 0.786 0.862 0.881 0.833 0.891 0.835 0.844 0.830 0.792
8.000 0.812 0.949 1.044 1.019 1.087 0.852 1.097 1.095 0.830 0.932 0.817 0.868 0.886 0.868 0.992 0.835 0.848 0.863 1.100 0.835
9.000 0.785 0.903 0.796 0.907 1.031 1.066 1.050 0.866 1.120 0.942 1.069 1.153 0.862 1.007 0.819 0.981 0.947 0.979 0.949 0.848
10.000 0.732 0.916 0.761 0.935 0.953 1.031 1.006 1.068 1.035 1.044 1.054 1.090 1.100 1.025 0.970 0.898 0.854 0.943 0.854 1.014
11.000 0.667 0.963 0.901 1.033 1.006 1.077 1.027 1.054 1.095 0.939 1.123 1.010 0.790 1.003 0.965 0.981 0.870 1.007 0.838 0.891
12.000 0.629 1.038 0.880 1.044 0.944 1.032 0.938 1.042 1.045 0.871 1.057 0.839 1.073 0.833 1.005 1.009 0.994 1.001 0.838 1.052
13.000 0.635 1.087 0.932 1.073 0.949 0.780 0.983 1.028 0.979 0.774 0.886 1.095 0.976 0.997 1.037 1.007 1.034 0.932 1.023 0.788
14.000 0.610 1.119 0.801 0.935 0.943 0.730 0.977 1.097 1.018 1.056 1.058 1.044 1.076 0.927 1.106 0.994 0.917 0.808 1.002 0.986
15.000 0.616 1.137 0.668 1.070 1.053 1.060 1.055 1.041 1.126 0.912 1.144 1.040 1.181 0.952 1.037 0.951 0.891 0.848 0.825 0.904
16.000 0.595 1.139 0.601 1.106 0.757 0.998 1.053 0.909 1.065 1.072 1.104 0.975 1.147 0.844 1.160 0.893 1.168 0.871 0.827 0.923
17.000 0.499 1.096 0.511 1.120 0.710 0.985 0.730 1.070 1.070 1.021 1.101 0.737 1.111 0.882 1.128 0.729 1.042 0.876 1.132 0.902
18.000 0.372 1.123 0.417 1.118 0.754 1.080 0.861 1.066 1.043 0.623 1.047 0.952 1.081 0.791 1.147 0.832 1.029 0.838 1.074 0.634
19.000 0.285 1.144 0.322 1.097 0.891 1.086 0.968 0.508 1.075 0.693 1.093 0.523 1.143 0.763 0.994 0.808 1.037 0.891 0.962 0.960
20.000 0.225 1.108 0.268 1.164 0.977 0.410 1.041 0.970 1.049 0.834 1.055 0.891 1.092 0.431 1.114 0.761 0.955 0.801 1.029 0.554
21.000 0.161 1.129 0.409 1.098 0.925 0.788 1.026 0.351 1.028 0.469 1.062 0.785 1.072 0.764 1.091 0.776 1.124 0.835 1.106 0.395
22.000 0.611 1.074 0.880 0.782 1.010 0.403 1.056 0.717 1.079 0.353 1.088 0.663 1.095 0.366 1.120 0.633 1.149 0.627 0.114 1.061
23.000 0.083 0.970 0.857 0.788 1.021 0.305 1.112 0.365 1.117 0.495 1.141 0.433 0.772 0.975 1.082 0.666 1.090 0.485 0.968 0.369
24.000 0.055 0.901 0.861 0.372 0.899 0.298 1.091 0.494 1.108 0.344 1.122 0.333 1.139 0.304 1.146 0.387 0.822 0.801 1.124 0.307
25.000 0.077 0.800 0.711 0.366 0.721 0.316 1.048 0.937 1.090 0.215 1.099 0.206 1.127 0.273 1.130 0.312 1.013 0.389 0.819 0.846
26.000 0.069 0.694 0.551 0.358 0.581 0.378 1.058 0.271 1.101 0.113 1.106 0.181 1.156 0.122 0.856 0.378 0.840 0.835 1.026 0.971
27.000 0.072 0.593 0.380 0.464 0.483 0.351 1.011 0.244 1.097 0.104 0.962 0.878 0.833 0.805 0.673 0.376 1.156 0.041 1.177 0.052
28.000 0.090 0.505 0.239 0.484 0.850 0.766 1.054 0.057 1.059 0.152 1.076 0.049 1.100 0.061 0.424 0.417 0.387 0.324 0.819 0.777
29.000 0.099 0.397 0.792 0.775 0.821 0.768 0.957 0.064 0.971 0.128 0.984 0.063 1.127 0.072 0.225 0.367 0.265 0.369 0.337 0.305
30.000 0.173 0.352 0.809 0.664 0.816 0.170 0.835 0.111 0.931 0.069 1.107 0.093 0.257 0.301 0.193 0.363 0.772 0.790 0.188 0.260
31.000 0.669 0.266 0.696 0.180 0.751 0.496 0.790 0.128 1.019 0.060 0.167 0.309 0.217 0.316 0.292 0.251 0.835 0.812 0.276 0.260
32.000 0.112 0.257 0.603 0.293 0.610 0.363 0.654 0.342 0.669 0.211 0.929 0.060 0.244 0.296 0.305 0.228 0.363 0.230 0.867 0.831
33.000 0.057 0.272 0.500 0.424 0.506 0.434 0.543 0.271 0.813 0.077 0.490 0.378 0.390 0.238 0.329 0.223 0.233 0.230 0.485 0.378
34.000 0.022 0.315 0.172 0.221 0.386 0.425 0.714 0.136 0.819 0.878 0.398 0.346 0.366 0.331 0.371 0.273 0.371 0.256 0.329 0.262
35.000 0.090 0.229 0.564 0.174 0.797 0.889 0.016 0.352 0.241 0.234 0.297 0.318 0.300 0.286 0.307 0.279 0.337 0.256 0.300 0.225
36.000 0.042 0.385 0.056 0.195 0.421 0.196 0.773 0.919 0.281 0.187 0.223 0.180 0.204 0.180 0.239 0.238 0.209 0.243 0.193 0.249
37.000 0.034 0.213 0.090 0.324 0.162 0.158 0.171 0.195 0.181 0.068 0.220 0.090 0.321 0.236 0.225 0.198 0.225 0.165 0.766 0.954
38.000 0.071 0.238 0.105 0.275 0.185 0.077 0.193 0.112 0.260 0.030 0.323 0.104 0.780 1.010 0.241 0.228 0.262 0.163 0.151 0.144
39.000 0.130 0.206 0.148 0.252 0.186 0.118 0.247 0.125 0.324 0.113 0.828 1.039 0.209 0.200 0.220 0.159 0.305 0.170 0.371 0.200
40.000 0.876 1.057 0.360 0.245 0.342 0.213 0.300 0.206 0.254 0.238 0.223 0.232 0.204 0.273 0.185 0.183 0.188 0.167 0.196 0.256
41.000 0.279 0.145 0.204 0.165 0.231 0.243 0.212 0.352 0.276 0.333 0.286 0.305 0.300 0.305 0.329 0.277 0.350 0.249 0.907 1.033
42.000 0.315 0.140 0.917 0.969 0.342 0.339 0.321 0.363 0.244 0.350 0.231 0.275 0.228 0.165 0.289 0.202 0.305 0.307 0.318 0.311
43.000 0.290 0.147 0.392 0.157 0.395 0.406 0.366 0.299 0.321 0.301 0.254 0.296 0.225 0.219 0.252 0.178 0.326 0.204 0.931 0.949
44.000 0.290 0.094 0.346 0.122 0.460 0.192 0.931 0.928 0.400 0.322 0.331 0.277 0.321 0.225 0.286 0.221 0.209 0.253 0.188 0.167
45.000 0.205 0.112 0.292 0.054 0.353 0.059 0.228 0.206 0.286 0.223 0.313 0.253 0.331 0.230 0.379 0.258 0.530 0.262 0.933 0.919
