time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
3360 0.159 1.003 1.135 0.707 1.044 0.665 0.268 0.374 1.1388125 0.4415 0.173 0.81 1.145 0.425 0.516 1.013 0.097 1.001 0.507 0.935
3361 0.279 0.999 0.997 1.012 1.038 0.793 0.287 0.348 1.142 0.753 0.218 0.862 1.146 0.46 0.458 0.979 0.197 1.012 0.384 0.965
3362 0.304 1.01 1.008 0.985 1.06 0.885 0.294 0.305 1.14 0.813 0.225 0.924 1.157 0.483 0.342 1.011 0.283 1.003 0.34 0.99
3363 0.295 1.078 1.036 0.977 1.059 0.935 0.325 0.276 1.106 0.879 0.189 0.961 1.165 0.524 0.313 1.077 0.284 1.01 0.325 1.045
3364 0.316 1.113 1.061 0.978 1.001 0.895 0.332 0.284 1.08 0.904 0.166 0.931 1.159 0.571 0.346 1.11 0.199 1.062 0.386 1.107
3365 0.376 1.127 1.075 0.958 0.896 0.89 0.343 0.346 1.031 0.865 0.224 0.974 1.146 0.605 0.394 1.117 0.205 0.992 0.398 1.132
3366 0.369 1.135 1.057 0.94 0.809 0.824 0.318 0.38 0.954 0.877 0.298 0.976 1.12 0.632 0.382 1.036 0.279 1.009 0.435 1.091
3367 0.383 1.098 1.053 0.928 0.77 0.81 0.282 0.354 0.972 0.94 0.329 1.007 1.095 0.652 0.391 1.004 0.284 1.059 0.45 1.05
3368 0.378 1.069 1.035 0.929 0.716 0.829 0.259 0.344 0.964 0.982 0.388 0.98 1.086 0.686 0.39 1.018 0.312 1.106 0.446 1.065
3369 0.401 1.053 1.029 0.926 0.688 0.854 0.238 0.377 0.98 1.035 0.414 0.939 1.092 0.724 0.442 1.043 0.387 1.123 0.545 1.041
3370 0.445 1.049 0.996 0.899 0.675 0.865 0.257 0.443 1.028 1.065 0.505 0.92 1.102 0.77 0.557 1.018 0.451 1.097 0.657 0.977
3371 0.529 1.014 0.977 0.868 0.686 0.912 0.249 0.53 1.04 1.059 0.595 0.882 1.087 0.806 0.681 0.971 0.536 1.104 0.797 0.98
3372 0.642 1.029 0.99 0.835 0.733 0.961 0.201 0.607 1.035 1.043 0.648 0.857 1.06 0.832 0.808 0.987 0.605 1.079 0.923 1.019
3373 0.744 1.007 0.975 0.821 0.829 0.986 0.159 0.708 0.999 1.078 0.78 0.903 1.034 0.842 0.855 1.002 0.709 1.071 0.994 1.039
3374 0.844 0.993 0.977 0.796 0.892 1.021 0.21 0.796 0.965 1.103 0.893 0.926 1.026 0.862 0.918 1.037 0.767 1.102 0.985 1.071
3375 0.893 0.999 0.964 0.782 0.967 1.049 0.292 0.865 1.001 1.125 0.97 0.98 1.05 0.874 0.964 1.091 0.826 1.127 1.026 1.087
3376 0.936 1.015 0.973 0.76 1.038 1.01 0.378 0.953 1.046 1.126 1.032 0.979 1.071 0.864 1.006 1.123 0.862 1.122 1.06 1.031
3377 0.973 0.986 0.992 0.743 1.006 0.993 0.38 1.058 1.067 1.076 1.085 0.934 1.065 0.837 1.037 1.142 0.876 1.092 1.028 1.002
3378 0.937 1.044 1.015 0.728 0.978 0.93 0.36 1.135 1.042 1.008 1.072 0.916 1.031 0.83 1.078 1.115 0.862 1.049 1.005 0.929
