# Time(s) fish0X fish0Y
0.000 1.189 0.037
1.000 1.189 0.037
2.000 1.189 0.037
3.000 1.188 0.037
4.000 1.189 0.038
5.000 1.189 0.037
6.000 1.188 0.037
7.000 1.189 0.037
8.000 1.189 0.037
9.000 1.189 0.037
10.000 1.189 0.037
11.000 1.189 0.037
12.000 1.189 0.037
13.000 1.189 0.037
14.000 1.189 0.037
15.000 1.188 0.037
16.000 1.189 0.037
17.000 1.189 0.037
18.000 1.188 0.037
19.000 1.188 0.037
20.000 1.189 0.037
21.000 1.188 0.037
22.000 1.188 0.037
23.000 1.188 0.037
24.000 1.188 0.037
25.000 1.189 0.037
26.000 1.189 0.037
27.000 1.188 0.037
28.000 1.189 0.037
29.000 1.189 0.037
30.000 1.189 0.037
31.000 1.189 0.037
32.000 1.189 0.037
33.000 1.188 0.037
34.000 1.188 0.037
35.000 1.188 0.037
36.000 1.188 0.037
37.000 1.189 0.037
38.000 1.188 0.037
39.000 1.189 0.037
40.000 1.188 0.036
41.000 1.189 0.037
42.000 1.188 0.037
43.000 1.188 0.037
44.000 1.188 0.037
45.000 1.188 0.037
46.000 1.189 0.037
47.000 1.189 0.037
48.000 1.189 0.037
49.000 1.188 0.037
50.000 1.188 0.037
51.000 1.188 0.037
52.000 1.188 0.037
53.000 1.188 0.037
54.000 1.189 0.037
55.000 1.188 0.037
56.000 1.189 0.037
57.000 1.189 0.037
58.000 1.189 0.037
59.000 1.188 0.037
60.000 1.189 0.037
61.000 1.189 0.037
62.000 1.188 0.037
63.000 1.188 0.037
64.000 1.189 0.037
65.000 1.189 0.037
66.000 1.188 0.037
67.000 1.188 0.037
68.000 1.188 0.038
69.000 1.188 0.037
70.000 1.188 0.037
71.000 1.189 0.037
72.000 1.188 0.037
73.000 1.188 0.037
74.000 1.189 0.037
75.000 1.188 0.037
76.000 1.188 0.037
77.000 1.189 0.037
78.000 1.188 0.037
79.000 1.188 0.037
80.000 1.188 0.038
81.000 1.189 0.037
82.000 1.188 0.037
83.000 1.189 0.037
84.000 1.188 0.037
85.000 1.188 0.037
86.000 1.188 0.037
87.000 1.189 0.037
88.000 1.189 0.037
89.000 1.188 0.037
90.000 1.188 0.038
91.000 1.188 0.037
92.000 1.189 0.037
93.000 1.188 0.037
94.000 1.188 0.037
95.000 1.188 0.037
96.000 1.189 0.038
97.000 1.188 0.037
98.000 1.189 0.037
99.000 1.188 0.037
100.000 1.188 0.037
101.000 1.188 0.038
102.000 1.188 0.037
103.000 1.189 0.037
104.000 1.188 0.037
105.000 1.189 0.037
106.000 1.188 0.037
107.000 1.188 0.038
108.000 1.188 0.037
109.000 1.188 0.037
110.000 1.188 0.037
111.000 1.188 0.037
112.000 1.188 0.037
113.000 1.188 0.037
114.000 1.188 0.037
115.000 1.189 0.038
116.000 1.188 0.037
117.000 1.188 0.037
118.000 1.188 0.037
119.000 1.188 0.038
120.000 1.188 0.037
121.000 1.188 0.037
