# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.341 1.055 0.399 1.149 0.406 1.046 0.452 1.095 0.470 1.138 0.476 1.050 0.517 1.104 0.513 0.615 0.533 1.066 0.540 1.158
1.000 0.472 1.111 0.531 1.141 0.538 0.655 0.550 1.048 0.575 1.086 0.579 1.003 0.636 1.144 0.643 1.086 0.653 1.032 0.694 1.163
2.000 0.575 0.676 0.638 1.143 0.681 1.147 0.684 0.971 0.684 1.101 0.695 1.075 0.780 1.063 0.779 1.087 0.817 1.165 0.829 1.146
3.000 0.610 0.702 0.799 0.967 0.825 1.097 0.834 1.144 0.832 1.075 0.838 1.111 0.907 1.086 0.921 1.155 0.925 1.050 0.960 1.149
4.000 0.645 0.722 0.907 0.977 0.946 1.035 0.955 1.053 0.969 1.137 1.015 1.060 1.046 1.132 1.047 1.111 1.056 1.093 1.085 1.116
5.000 0.677 0.729 0.982 1.020 1.029 1.052 1.046 1.124 1.055 1.082 1.089 1.043 1.120 1.130 1.126 1.016 1.141 1.094 1.088 1.032
6.000 0.724 0.749 1.003 1.092 1.017 1.050 1.039 1.056 1.065 1.079 1.067 1.108 1.080 1.019 1.113 0.930 1.134 0.933 1.140 0.975
7.000 0.763 0.770 0.986 1.125 0.989 1.005 1.008 0.958 1.016 1.048 1.037 0.964 1.088 0.966 1.142 0.957 1.020 1.025 1.012 0.959
8.000 0.861 0.917 0.881 0.995 0.933 0.919 0.944 0.970 0.944 1.093 0.981 0.898 1.012 1.049 1.046 0.947 1.102 1.007 0.801 0.786
9.000 0.792 0.828 0.821 0.872 0.817 0.826 0.842 0.926 0.863 1.088 0.906 1.057 0.929 0.843 1.001 0.900 1.073 1.060 1.007 1.034
10.000 0.744 1.076 0.761 0.829 0.772 0.984 0.807 1.068 0.806 0.706 0.815 0.778 0.836 0.852 0.943 0.826 1.008 1.073 1.028 1.070
11.000 0.628 1.055 0.643 0.804 0.705 1.027 0.704 0.762 0.727 0.967 0.729 1.057 0.825 0.731 0.855 0.870 0.926 1.081 1.026 1.053
12.000 0.490 0.968 0.527 0.895 0.585 1.030 0.589 0.889 0.628 1.077 0.629 0.978 0.821 1.080 0.828 0.691 1.007 1.056 0.707 0.902
13.000 0.356 0.938 0.404 0.923 0.460 0.921 0.478 1.037 0.509 1.092 0.571 1.052 0.590 0.902 0.712 1.085 0.828 0.656 1.011 1.055
14.000 0.227 0.964 0.267 0.895 0.314 0.884 0.368 1.061 0.425 1.089 0.442 1.024 0.460 0.970 0.613 1.090 0.816 0.627 1.020 1.062
15.000 0.158 1.031 0.208 0.915 0.206 1.112 0.225 1.078 0.290 1.039 0.323 1.004 0.340 1.061 0.493 1.094 0.800 0.602 1.020 1.059
16.000 0.158 1.062 0.213 1.145 0.244 1.133 0.271 1.097 0.794 0.575 1.012 1.072 0.357 1.115 0.130 1.157 0.110 1.157 0.102 1.148
17.000 0.056 1.067 0.063 1.107 0.083 1.123 0.082 1.063 0.094 1.102 0.111 1.156 0.196 1.114 0.776 0.563 0.248 1.146 1.010 1.058
18.000 0.057 1.087 0.058 1.002 0.059 1.058 0.069 0.973 0.067 0.919 0.125 1.030 0.153 1.112 0.732 0.571 1.000 1.042 0.068 0.956
19.000 0.057 0.851 0.060 0.911 0.090 0.861 0.082 0.937 0.083 0.975 0.111 0.914 0.115 0.853 0.127 0.971 0.681 0.587 1.025 1.053
20.000 0.050 0.825 0.089 0.905 0.089 0.740 0.092 0.825 0.111 0.863 0.111 0.745 0.153 0.819 0.167 0.782 0.652 0.573 1.028 1.060
21.000 0.068 0.671 0.096 0.665 0.118 0.639 0.137 0.723 0.149 0.618 0.169 0.655 0.172 0.805 0.201 0.717 0.631 0.555 1.025 1.064
22.000 0.064 0.471 0.110 0.476 0.122 0.485 0.144 0.505 0.195 0.574 0.200 0.592 0.202 0.494 0.213 0.682 0.620 0.520 0.989 1.037
23.000 0.085 0.290 0.105 0.348 0.112 0.310 0.147 0.281 0.154 0.340 0.208 0.477 0.221 0.430 0.605 0.488 1.036 1.053 0.219 0.542
24.000 0.080 0.217 0.081 0.095 0.093 0.232 0.121 0.094 0.147 0.205 0.159 0.399 0.223 0.268 0.224 0.373 0.566 0.463 0.999 1.051
25.000 0.068 0.108 0.126 0.293 0.166 0.114 0.201 0.204 0.208 0.096 0.230 0.075 0.544 0.419 1.022 1.053 0.183 0.069 0.177 0.071
26.000 0.148 0.048 0.146 0.203 0.319 0.040 0.325 0.098 0.327 0.113 0.342 0.073 0.349 0.044 0.556 0.372 1.013 1.061 0.365 0.099
27.000 0.196 0.140 0.267 0.060 0.330 0.099 0.450 0.162 0.473 0.061 0.499 0.155 0.526 0.151 0.535 0.073 0.594 0.351 1.019 1.091
