time X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9
1177 0.981 0.297 1.158 0.357 1.141 0.841 1.004 0.162 1.142 0.923 0.97 0.267 0.9932500000000001 0.176875 1.124 0.907 1.14 0.906 1.162 0.884
1178 1.177 0.403 1.045 0.649 1.163 0.907 0.937 0.202 1.164 0.996 0.897 0.332 0.904 0.271 1.137 0.985 1.155 0.996 1.153 0.952
1179 1.19 0.402 1.09 0.686 1.162 0.989 0.856 0.205 1.159 1.066 0.808 0.303 0.828 0.26 1.108 1.077 1.107 1.084 1.103 0.996
1180 1.139 0.482 1.127 0.757 1.137 1.077 0.79 0.166 1.147 1.102 0.731 0.257 0.768 0.253 0.997 1.113 1.011 1.134 1.051 1.047
1181 1.135 0.588 1.148 0.828 1.081 1.107 0.733 0.134 1.081 1.133 0.668 0.22 0.782 0.332 0.868 1.127 0.911 1.135 0.981 1.104
1182 1.138 0.698 1.14 0.901 0.999 1.113 0.661 0.149 0.977 1.132 0.596 0.2 0.833 0.452 0.782 1.134 0.794 1.12 0.861 1.116
1183 1.139 0.807 1.123 0.967 0.927 1.075 0.61 0.177 0.856 1.123 0.511 0.165 0.885 0.591 0.661 1.123 0.674 1.03 0.734 1.119
1184 1.156 0.907 1.087 1.016 0.878 1.001 0.567 0.277 0.77 1.123 0.46 0.1 0.913 0.719 0.637 0.981 0.623 0.819 0.65 1.096
1185 1.14 1.0 1.049 1.048 0.841 0.911 0.441 0.301 0.72 1.078 0.483 0.082 0.955 0.807 0.586 0.825 0.528 0.573 0.61 0.943
1186 1.084 1.053 1.044 1.053 0.806 0.819 0.29 0.225 0.673 0.975 0.488 0.119 1.003 0.857 0.494 0.645 0.337 0.33 0.562 0.779
1187 1.046 1.039 1.042 1.052 0.767 0.754 0.187 0.119 0.591 0.856 0.416 0.167 1.031 0.938 0.344 0.451 0.232 0.214 0.471 0.622
1188 1.066 1.037 1.04 1.045 0.729 0.69 0.188 0.025 0.498 0.723 0.312 0.194 1.077 1.022 0.215 0.342 0.155 0.106 0.346 0.421
1189 1.083 1.103 1.043 1.052 0.635 0.634 0.245 0.034 0.364 0.552 0.207 0.191 1.09 1.07 0.098 0.187 0.151 0.039 0.188 0.309
1190 1.046 1.111 1.01 1.106 0.523 0.582 0.296 0.049 0.24 0.385 0.099 0.15 1.056 1.095 0.066 0.064 0.19 0.043 0.116 0.175
1191 0.941 1.112 0.902 1.087 0.424 0.498 0.356 0.057 0.185 0.222 0.159 0.066 1.014 1.109 0.186 0.046 0.269 0.046 0.081 0.162
1192 0.823 1.115 0.771 1.067 0.345 0.397 0.415 0.088 0.301 0.125 0.226 0.116 0.935 1.094 0.228 0.075 0.282 0.088 0.099 0.129
1193 0.702 1.124 0.673 1.075 0.307 0.314 0.465 0.093 0.363 0.154 0.284 0.214 0.843 1.096 0.269 0.115 0.304 0.104 0.172 0.118
1194 0.585 1.127 0.554 1.065 0.307 0.314 0.535 0.095 0.401 0.239 0.268 0.295 0.73 1.118 0.32 0.166 0.377 0.112 0.237 0.162
1195 0.486 1.131 0.451 0.99 0.303 0.347 0.6 0.093 0.322 0.272 0.236 0.338 0.625 1.125 0.261 0.24 0.485 0.096 0.223 0.272
1196 0.402 1.054 0.373 0.91 0.187 0.451 0.659 0.107 0.278 0.384 0.173 0.408 0.541 1.153 0.237 0.245 0.557 0.089 0.166 0.363
1197 0.309 0.964 0.309 0.819 0.173 0.618 0.675 0.163 0.294 0.633 0.126 0.52 0.433 1.112 0.201 0.312 0.604 0.087 0.116 0.445
