# Time(s) fish0X fish0Y
0.000 0.902 0.290
1.000 0.901 0.290
2.000 0.901 0.290
3.000 0.903 0.289
4.000 0.902 0.290
5.000 0.902 0.290
6.000 0.902 0.290
7.000 0.901 0.290
8.000 0.902 0.290
9.000 0.901 0.290
10.000 0.902 0.290
11.000 0.903 0.290
12.000 0.902 0.290
13.000 0.900 0.297
14.000 0.902 0.291
15.000 0.902 0.291
16.000 0.903 0.291
17.000 0.900 0.295
18.000 0.900 0.297
19.000 0.903 0.291
20.000 0.903 0.291
21.000 0.904 0.291
22.000 0.903 0.292
23.000 0.904 0.290
24.000 0.904 0.291
25.000 0.904 0.291
26.000 0.904 0.291
27.000 0.903 0.291
28.000 0.904 0.292
29.000 0.901 0.297
30.000 0.904 0.291
31.000 0.904 0.292
32.000 0.904 0.292
33.000 0.905 0.292
34.000 0.904 0.291
35.000 0.905 0.291
36.000 0.905 0.292
37.000 0.905 0.292
38.000 0.905 0.292
39.000 0.905 0.292
40.000 0.905 0.292
41.000 0.903 0.297
42.000 0.905 0.292
43.000 0.903 0.299
44.000 0.905 0.292
45.000 0.903 0.302
46.000 0.906 0.292
47.000 0.906 0.292
48.000 0.906 0.292
49.000 0.906 0.292
50.000 0.906 0.292
51.000 0.907 0.293
52.000 0.906 0.292
53.000 0.907 0.293
54.000 0.907 0.292
55.000 0.907 0.292
56.000 0.908 0.292
57.000 0.907 0.292
58.000 0.908 0.292
59.000 0.908 0.292
60.000 0.908 0.292
61.000 0.909 0.292
62.000 0.908 0.292
63.000 0.909 0.292
64.000 0.909 0.292
65.000 0.909 0.292
66.000 0.910 0.292
67.000 0.909 0.292
68.000 0.910 0.291
69.000 0.910 0.292
70.000 0.909 0.292
71.000 0.910 0.292
72.000 0.909 0.292
73.000 0.910 0.292
74.000 0.910 0.292
75.000 0.910 0.292
76.000 0.911 0.292
77.000 0.910 0.292
78.000 0.911 0.292
79.000 0.910 0.292
80.000 0.910 0.292
81.000 0.911 0.292
82.000 0.910 0.292
83.000 0.910 0.292
84.000 0.910 0.292
85.000 0.910 0.291
86.000 0.911 0.292
87.000 0.911 0.292
88.000 0.911 0.291
89.000 0.911 0.292
90.000 0.911 0.291
91.000 0.911 0.291
92.000 0.911 0.292
93.000 0.911 0.292
94.000 0.911 0.292
95.000 0.911 0.292
96.000 0.911 0.291
97.000 0.911 0.292
98.000 0.911 0.292
99.000 0.912 0.292
100.000 0.911 0.291
101.000 0.912 0.291
102.000 0.911 0.291
103.000 0.911 0.291
104.000 0.912 0.292
105.000 0.911 0.291
106.000 0.912 0.291
107.000 0.912 0.291
108.000 0.912 0.291
109.000 0.912 0.290
110.000 0.912 0.291
111.000 0.913 0.291
112.000 0.912 0.291
113.000 0.912 0.291
114.000 0.912 0.291
115.000 0.912 0.291
116.000 0.913 0.291
117.000 0.913 0.291
118.000 0.913 0.291
119.000 0.913 0.291
120.000 0.912 0.291
121.000 0.913 0.292
122.000 0.912 0.291
123.000 0.912 0.291
124.000 0.913 0.291
125.000 0.912 0.291
126.000 0.913 0.291
127.000 0.913 0.292
128.000 0.913 0.291
129.000 0.913 0.291
