# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.346 0.778 0.438 1.086 0.566 1.069 0.631 0.963 0.658 1.081 0.730 1.083 1.081 0.656 1.103 0.731 0.459 1.123 0.972 0.823
1.000 0.547 0.898 0.632 1.112 0.643 1.058 0.773 0.973 0.794 1.072 0.869 1.094 0.919 1.066 1.089 0.681 1.040 0.775 0.932 0.846
2.000 0.754 0.926 0.811 1.109 0.841 1.048 0.944 1.081 1.079 0.711 0.998 0.828 0.993 0.998 1.009 1.014 0.879 1.071 0.935 0.882
3.000 0.901 1.062 0.973 1.102 1.060 0.749 0.966 0.861 0.945 0.882 0.972 0.877 0.985 0.899 0.953 0.936 0.932 0.984 0.914 0.917
4.000 1.035 0.768 1.035 1.050 0.982 0.951 0.974 0.896 0.972 0.877 0.966 0.875 0.945 0.861 0.916 0.842 0.903 0.828 0.879 0.854
5.000 1.096 0.918 0.966 0.792 0.995 0.799 0.964 0.849 0.932 0.844 0.943 0.882 0.969 0.901 0.927 0.910 0.924 0.922 1.038 0.941
6.000 1.073 0.950 1.108 0.817 1.111 0.950 1.027 0.927 0.980 0.915 0.969 0.939 0.943 0.903 0.943 0.835 0.919 0.806 1.006 0.811
7.000 0.922 0.703 1.059 0.933 1.090 0.812 1.139 0.870 1.080 0.894 1.038 0.887 0.974 0.835 0.945 0.896 0.922 0.896 0.943 0.896
8.000 0.820 0.574 1.081 0.644 1.095 0.833 1.118 0.742 1.119 0.805 0.995 0.802 1.035 0.858 0.948 0.868 0.945 0.884 0.916 0.884
9.000 0.837 0.566 0.930 0.645 0.976 0.436 1.015 0.629 1.035 0.550 1.047 0.673 1.102 0.664 0.982 0.877 0.929 0.856 0.916 0.884
10.000 0.779 0.283 0.805 0.456 0.843 0.513 0.847 0.465 0.858 0.505 0.930 0.552 1.067 0.541 0.937 0.856 0.964 0.818 0.890 0.813
11.000 0.644 0.154 0.667 0.368 0.670 0.343 0.717 0.320 0.723 0.438 0.821 0.498 0.969 0.465 0.978 0.683 0.908 0.794 0.964 0.811
12.000 0.447 0.089 0.450 0.222 0.476 0.217 0.554 0.203 0.557 0.320 0.623 0.335 0.900 0.546 0.908 0.392 0.944 0.742 0.890 0.783
