# Time(s) fish0X fish0Y
0.000 0.046 0.167
1.000 0.066 0.047
2.000 0.025 0.120
3.000 0.064 0.106
4.000 0.071 0.036
5.000 0.085 0.033
6.000 0.184 0.040
7.000 0.254 0.050
8.000 0.392 0.028
9.000 0.536 0.037
10.000 0.668 0.061
11.000 0.800 0.020
12.000 0.896 0.035
13.000 1.049 0.031
14.000 1.160 0.037
15.000 1.182 0.084
16.000 1.174 0.167
17.000 1.165 0.275
18.000 1.153 0.312
19.000 1.138 0.360
20.000 1.184 0.454
21.000 1.154 0.613
22.000 1.196 0.785
23.000 1.173 0.917
24.000 1.177 1.034
25.000 1.131 1.144
26.000 1.156 1.160
27.000 1.127 1.177
28.000 1.012 1.163
29.000 0.869 1.178
30.000 0.694 1.182
31.000 0.509 1.173
32.000 0.346 1.179
33.000 0.184 1.161
34.000 0.049 1.140
35.000 0.043 1.024
36.000 0.034 0.888
37.000 0.035 0.719
38.000 0.016 0.558
39.000 0.013 0.421
40.000 0.012 0.312
41.000 0.046 0.186
42.000 0.054 0.123
43.000 0.086 0.063
44.000 0.175 0.029
45.000 0.298 0.029
46.000 0.467 0.038
47.000 0.680 0.031
48.000 0.900 0.047
49.000 1.084 0.026
50.000 1.159 0.056
51.000 1.184 0.042
52.000 1.159 0.033
53.000 1.156 0.051
54.000 1.167 0.074
55.000 1.175 0.131
56.000 1.190 0.228
57.000 1.174 0.295
58.000 1.190 0.421
59.000 1.161 0.609
60.000 1.183 0.800
61.000 1.189 0.947
62.000 1.178 1.098
63.000 1.129 1.174
64.000 0.994 1.176
65.000 0.840 1.188
66.000 0.656 1.189
67.000 0.489 1.171
68.000 0.323 1.180
69.000 0.151 1.156
70.000 0.042 1.149
71.000 0.033 1.090
72.000 0.023 0.990
73.000 0.036 0.902
74.000 0.027 0.772
75.000 0.020 0.608
76.000 0.042 0.445
77.000 0.027 0.277
78.000 0.045 0.122
79.000 0.052 0.063
80.000 0.151 0.037
81.000 0.293 0.038
82.000 0.480 0.052
