# Time(s) fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y fish5X fish5Y fish6X fish6Y fish7X fish7Y fish8X fish8Y fish9X fish9Y
0.000 0.832 0.997 0.957 1.119 1.015 0.990 1.069 1.045 1.073 1.106 1.074 1.139 1.086 1.086 1.099 1.151 1.137 0.908 0.969 1.120
1.000 0.878 0.981 0.880 1.009 0.908 1.074 0.960 0.868 1.011 1.084 1.018 0.894 1.064 0.895 1.067 0.983 1.082 1.012 1.102 1.024
2.000 0.860 0.880 0.890 0.900 0.891 0.795 0.895 0.996 0.927 0.839 0.970 0.852 1.012 0.907 1.008 0.987 1.052 0.835 1.108 0.837
3.000 0.818 0.726 0.831 0.777 0.832 0.844 0.859 0.822 0.880 0.762 0.914 0.813 0.913 0.737 0.936 0.755 0.940 0.896 0.985 0.899
4.000 0.737 0.674 0.781 0.835 0.800 0.625 0.813 0.651 0.825 0.763 0.841 0.594 0.845 0.673 0.854 0.731 0.924 0.821 0.960 0.805
5.000 0.610 0.619 0.701 0.492 0.738 0.824 0.765 0.757 0.818 0.539 0.830 0.424 0.845 0.765 0.857 0.509 0.872 0.614 0.919 0.712
6.000 0.558 0.542 0.719 0.618 0.725 0.315 0.743 0.744 0.825 0.560 0.833 0.459 0.869 0.606 0.874 0.341 0.884 0.251 0.899 0.346
7.000 0.618 0.412 0.644 0.288 0.724 0.416 0.771 0.619 0.825 0.136 0.841 0.482 0.889 0.385 0.891 0.262 0.910 0.141 0.972 0.155
8.000 0.656 0.124 0.667 0.144 0.710 0.358 0.794 0.245 0.805 0.495 0.820 0.359 0.958 0.325 0.970 0.128 0.990 0.068 1.056 0.075
9.000 0.534 0.037 0.767 0.050 0.803 0.118 0.805 0.209 0.847 0.226 0.869 0.417 0.978 0.224 1.118 0.091 1.138 0.073 1.149 0.131
10.000 0.371 0.065 0.783 0.054 0.817 0.076 0.844 0.128 0.866 0.073 0.933 0.437 1.066 0.171 1.149 0.220 1.173 0.185 0.802 0.066
11.000 0.204 0.033 0.702 0.091 0.761 0.057 0.794 0.080 0.800 0.106 0.849 0.071 0.851 0.094 1.011 0.351 1.050 0.273 1.156 0.240
12.000 0.049 0.035 0.678 0.175 0.693 0.083 0.726 0.107 0.736 0.042 0.745 0.076 0.794 0.144 0.932 0.191 0.990 0.258 1.076 0.208
13.000 0.049 0.116 0.638 0.209 0.640 0.157 0.648 0.130 0.657 0.173 0.670 0.067 0.687 0.199 0.826 0.153 0.916 0.105 0.953 0.210
14.000 0.054 0.189 0.391 0.154 0.481 0.254 0.543 0.145 0.595 0.226 0.637 0.100 0.668 0.096 0.704 0.194 0.777 0.119 0.833 0.236
15.000 0.046 0.331 0.100 0.302 0.288 0.300 0.345 0.208 0.419 0.207 0.500 0.129 0.529 0.212 0.581 0.073 0.628 0.077 0.738 0.309
16.000 0.055 0.526 0.105 0.503 0.149 0.413 0.208 0.443 0.261 0.247 0.260 0.305 0.354 0.278 0.502 0.156 0.567 0.084 0.569 0.343
17.000 0.058 0.685 0.107 0.614 0.118 0.441 0.132 0.665 0.168 0.450 0.238 0.597 0.251 0.464 0.403 0.456 0.534 0.091 0.599 0.186
18.000 0.078 0.786 0.166 0.623 0.167 0.777 0.171 0.816 0.171 0.721 0.194 0.612 0.293 0.699 0.324 0.620 0.548 0.260 0.554 0.103
19.000 0.070 0.992 0.135 1.023 0.170 0.942 0.174 0.912 0.174 0.798 0.200 0.750 0.251 0.778 0.320 0.838 0.414 0.473 0.525 0.136
