# Time(s) fish0X fish0Y
0.000 0.564 0.010
1.000 0.525 0.024
2.000 0.456 0.103
3.000 0.401 0.151
4.000 0.399 0.145
5.000 0.379 0.179
6.000 0.406 0.170
7.000 0.452 0.142
8.000 0.400 0.094
9.000 0.320 0.050
10.000 0.269 0.024
11.000 0.198 0.103
12.000 0.164 0.164
13.000 0.119 0.195
14.000 0.114 0.254
15.000 0.124 0.324
16.000 0.087 0.365
17.000 0.114 0.414
18.000 0.192 0.415
19.000 0.265 0.377
20.000 0.340 0.358
21.000 0.414 0.383
22.000 0.448 0.473
23.000 0.462 0.529
24.000 0.464 0.602
25.000 0.500 0.641
26.000 0.580 0.605
27.000 0.658 0.572
28.000 0.748 0.548
29.000 0.816 0.480
30.000 0.887 0.418
31.000 0.966 0.365
32.000 1.041 0.414
33.000 1.076 0.498
34.000 1.114 0.586
35.000 1.137 0.677
36.000 1.136 0.765
37.000 1.112 0.840
38.000 1.072 0.897
39.000 1.027 0.961
40.000 0.941 0.986
41.000 0.920 1.036
42.000 0.954 0.973
43.000 0.963 0.928
44.000 0.972 0.936
45.000 1.025 0.856
46.000 1.058 0.742
47.000 1.040 0.650
48.000 0.968 0.616
49.000 0.898 0.660
50.000 0.842 0.709
51.000 0.784 0.769
52.000 0.741 0.846
53.000 0.684 0.914
54.000 0.610 0.983
55.000 0.556 1.070
56.000 0.489 1.133
57.000 0.414 1.178
58.000 0.452 1.181
59.000 0.506 1.185
60.000 0.561 1.159
61.000 0.642 1.164
62.000 0.698 1.177
63.000 0.751 1.195
64.000 0.786 1.187
65.000 0.860 1.173
66.000 0.943 1.180
67.000 1.033 1.192
68.000 1.107 1.179
69.000 1.130 1.150
70.000 1.166 1.176
71.000 1.124 1.171
72.000 1.158 1.111
73.000 1.163 1.039
74.000 1.133 0.989
75.000 1.112 0.953
76.000 1.128 0.896
77.000 1.151 0.842
78.000 1.170 0.781
79.000 1.163 0.720
80.000 1.146 0.643
81.000 1.141 0.565
82.000 1.179 0.508
83.000 1.181 0.435
84.000 1.178 0.385
85.000 1.169 0.306
86.000 1.176 0.228
87.000 1.171 0.110
88.000 1.160 0.036
89.000 1.089 0.030
90.000 1.019 0.039
91.000 1.013 0.101
92.000 0.971 0.154
93.000 0.892 0.112
94.000 0.854 0.044
95.000 0.782 0.039
96.000 0.715 0.048
97.000 0.636 0.030
98.000 0.548 0.032
99.000 0.476 0.046
100.000 0.421 0.063
101.000 0.326 0.052
102.000 0.234 0.044
103.000 0.152 0.029
104.000 0.090 0.047
105.000 0.059 0.087
106.000 0.048 0.163
107.000 0.045 0.246
108.000 0.048 0.317
109.000 0.035 0.403
110.000 0.048 0.493
111.000 0.040 0.579
112.000 0.045 0.678
113.000 0.043 0.778
114.000 0.055 0.871
115.000 0.059 0.974
116.000 0.076 1.061
117.000 0.052 1.144
118.000 0.129 1.159
119.000 0.175 1.162
120.000 0.160 1.162
121.000 0.207 1.152
122.000 0.274 1.151
123.000 0.354 1.156
124.000 0.450 1.140
125.000 0.542 1.160
126.000 0.640 1.148
127.000 0.652 1.176
128.000 0.711 1.178
129.000 0.765 1.172
130.000 0.828 1.141
131.000 0.906 1.106
132.000 0.992 1.095
133.000 1.081 1.103
134.000 1.148 1.109
135.000 1.168 1.059
136.000 1.158 0.998
137.000 1.162 0.898
138.000 1.168 0.801
139.000 1.165 0.719
140.000 1.138 0.629
141.000 1.143 0.525
142.000 1.141 0.412
143.000 1.146 0.310
144.000 1.150 0.211
145.000 1.172 0.163
146.000 1.108 0.118
147.000 1.013 0.089
148.000 0.909 0.086
149.000 0.809 0.076
150.000 0.714 0.094
151.000 0.602 0.120
152.000 0.510 0.150
153.000 0.421 0.163
154.000 0.339 0.156
155.000 0.262 0.156
156.000 0.198 0.129
157.000 0.121 0.115
158.000 0.055 0.102
159.000 0.032 0.176
160.000 0.036 0.244
161.000 0.045 0.311
162.000 0.054 0.397
163.000 0.062 0.480
164.000 0.052 0.559
165.000 0.079 0.642
166.000 0.103 0.726
167.000 0.185 0.735
168.000 0.267 0.747
169.000 0.321 0.729
170.000 0.358 0.669
171.000 0.402 0.616
172.000 0.411 0.546
173.000 0.428 0.471
174.000 0.496 0.398
175.000 0.585 0.331
176.000 0.716 0.264
177.000 0.860 0.200
178.000 0.998 0.130
179.000 1.110 0.068
180.000 1.144 0.014
181.000 1.123 0.081
182.000 1.141 0.140
183.000 1.167 0.201
184.000 1.147 0.271
185.000 1.142 0.345
186.000 1.115 0.397
187.000 1.112 0.467
188.000 1.132 0.513
189.000 1.132 0.567
190.000 1.166 0.627
191.000 1.185 0.652
192.000 1.180 0.692
193.000 1.148 0.755
194.000 1.138 0.815
195.000 1.121 0.879
196.000 1.096 0.947
197.000 1.047 0.998
198.000 1.039 1.062
199.000 1.011 1.119
200.000 1.001 1.169
201.000 0.941 1.178
202.000 0.894 1.173
203.000 0.827 1.136
204.000 0.744 1.150
205.000 0.745 1.198
206.000 0.733 1.198
207.000 0.738 1.169
208.000 0.677 1.163
209.000 0.611 1.191
210.000 0.522 1.179
211.000 0.475 1.175
212.000 0.382 1.159
213.000 0.313 1.169
214.000 0.219 1.158
215.000 0.186 1.179
216.000 0.140 1.148
217.000 0.090 1.080
218.000 0.039 1.022
219.000 0.045 0.976
220.000 0.073 0.903
221.000 0.032 0.825
222.000 0.041 0.759
223.000 0.063 0.699
224.000 0.088 0.659
225.000 0.119 0.582
226.000 0.080 0.513
227.000 0.036 0.459
228.000 0.007 0.441
229.000 0.024 0.377
230.000 0.071 0.336
231.000 0.133 0.308
232.000 0.176 0.265
233.000 0.210 0.294
234.000 0.187 0.337
235.000 0.148 0.308
236.000 0.197 0.237
237.000 0.268 0.194
238.000 0.320 0.211
239.000 0.374 0.206
240.000 0.424 0.134
241.000 0.376 0.116
242.000 0.385 0.051
243.000 0.471 0.039
244.000 0.573 0.055
245.000 0.654 0.101
246.000 0.710 0.133
247.000 0.774 0.160
248.000 0.837 0.176
249.000 0.901 0.172
250.000 0.983 0.181
251.000 1.044 0.170
252.000 0.998 0.183
253.000 1.000 0.256
254.000 0.950 0.326
255.000 0.913 0.383
256.000 0.962 0.472
257.000 1.050 0.513
258.000 1.105 0.442
259.000 1.134 0.343
260.000 1.140 0.248
261.000 1.155 0.152
262.000 1.189 0.094
263.000 1.159 0.040
264.000 1.110 0.042
265.000 1.057 0.086
266.000 1.017 0.144
267.000 1.015 0.182
268.000 1.007 0.183
269.000 1.020 0.174
270.000 1.011 0.169
271.000 1.034 0.222
272.000 1.082 0.295
273.000 1.043 0.361
274.000 1.034 0.441
275.000 1.091 0.507
276.000 1.140 0.588
277.000 1.135 0.684
278.000 1.138 0.792
279.000 1.148 0.887
280.000 1.128 0.985
281.000 1.126 1.078
282.000 1.043 1.083
283.000 0.968 1.074
284.000 0.929 1.022
285.000 0.894 1.011
286.000 0.866 1.017
287.000 0.804 1.055
288.000 0.778 1.132
289.000 0.861 1.144
290.000 0.941 1.143
291.000 0.940 1.075
292.000 0.861 1.037
293.000 0.778 1.013
294.000 0.715 1.032
295.000 0.653 1.035
296.000 0.584 0.984
297.000 0.502 0.926
298.000 0.439 0.913
299.000 0.411 0.835
300.000 0.349 0.747
301.000 0.284 0.684
302.000 0.211 0.619
303.000 0.202 0.561
304.000 0.211 0.569
305.000 0.254 0.575
306.000 0.319 0.600
307.000 0.402 0.552
308.000 0.472 0.516
309.000 0.574 0.539
310.000 0.641 0.550
311.000 0.696 0.599
312.000 0.763 0.611
313.000 0.802 0.517
314.000 0.732 0.429
315.000 0.628 0.468
316.000 0.547 0.530
317.000 0.445 0.537
318.000 0.339 0.575
319.000 0.260 0.634
320.000 0.165 0.650
321.000 0.107 0.589
322.000 0.107 0.496
323.000 0.149 0.418
324.000 0.191 0.438
325.000 0.237 0.393
326.000 0.228 0.326
327.000 0.203 0.261
328.000 0.176 0.239
329.000 0.133 0.282
330.000 0.071 0.265
331.000 0.064 0.181
332.000 0.096 0.077
333.000 0.169 0.027
334.000 0.226 0.059
335.000 0.319 0.040
336.000 0.380 0.051
337.000 0.457 0.086
338.000 0.554 0.065
339.000 0.637 0.029
340.000 0.734 0.030
341.000 0.831 0.029
342.000 0.933 0.044
343.000 1.049 0.038
344.000 1.139 0.034
345.000 1.165 0.127
346.000 1.178 0.205
347.000 1.140 0.217
348.000 1.132 0.273
349.000 1.118 0.293
350.000 1.130 0.305
351.000 1.155 0.377
352.000 1.132 0.456
353.000 1.077 0.520
354.000 1.022 0.514
355.000 0.965 0.560
356.000 0.952 0.647
357.000 0.946 0.655
358.000 0.942 0.686
359.000 0.932 0.661
360.000 0.879 0.705
361.000 0.898 0.790
362.000 0.960 0.882
363.000 1.015 0.967
364.000 1.048 1.053
365.000 1.061 1.144
366.000 0.962 1.166
367.000 0.903 1.134
368.000 0.827 1.164
369.000 0.726 1.145
370.000 0.613 1.120
371.000 0.502 1.130
372.000 0.410 1.155
373.000 0.297 1.149
374.000 0.192 1.152
375.000 0.109 1.083
376.000 0.038 1.026
377.000 0.049 0.930
378.000 0.060 0.864
379.000 0.087 0.781
380.000 0.064 0.695
381.000 0.086 0.606
382.000 0.144 0.606
383.000 0.154 0.657
384.000 0.230 0.607
385.000 0.289 0.531
386.000 0.338 0.481
387.000 0.417 0.518
388.000 0.474 0.551
389.000 0.545 0.494
390.000 0.597 0.411
391.000 0.602 0.322
392.000 0.558 0.225
393.000 0.611 0.149
394.000 0.735 0.117
395.000 0.857 0.104
396.000 0.971 0.118
397.000 1.063 0.110
398.000 1.144 0.150
399.000 1.144 0.244
400.000 1.135 0.349
401.000 1.113 0.434
402.000 1.109 0.513
403.000 1.094 0.596
404.000 1.114 0.692
405.000 1.120 0.783
406.000 1.129 0.887
407.000 1.115 0.978
408.000 1.104 1.060
409.000 1.071 1.136
410.000 1.002 1.170
411.000 0.932 1.171
412.000 0.863 1.176
413.000 0.793 1.183
414.000 0.716 1.183
415.000 0.629 1.184
416.000 0.536 1.179
417.000 0.450 1.172
418.000 0.367 1.171
419.000 0.274 1.174
420.000 0.191 1.149
421.000 0.104 1.149
422.000 0.029 1.143
423.000 0.027 1.068
424.000 0.030 0.996
425.000 0.024 0.928
426.000 0.019 0.856
427.000 0.012 0.803
428.000 0.020 0.729
429.000 0.020 0.667
430.000 0.017 0.589
431.000 0.071 0.554
432.000 0.041 0.486
433.000 0.015 0.423
434.000 0.021 0.339
435.000 0.019 0.255
436.000 0.048 0.209
437.000 0.091 0.136
438.000 0.178 0.080
439.000 0.277 0.053
440.000 0.356 0.033
441.000 0.441 0.050
442.000 0.519 0.050
443.000 0.607 0.066
444.000 0.700 0.041
445.000 0.801 0.019
446.000 0.892 0.016
447.000 0.977 0.055
448.000 1.009 0.102
449.000 1.075 0.079
450.000 1.156 0.039
451.000 1.187 0.081
452.000 1.185 0.126
453.000 1.185 0.163
454.000 1.184 0.211
455.000 1.188 0.244
456.000 1.190 0.283
457.000 1.190 0.235
458.000 1.140 0.186
459.000 1.148 0.113
460.000 1.185 0.046
461.000 1.145 0.010
462.000 1.101 0.018
