# TimeStep fish0X fish0Y
0.000 0.425 0.574
0.067 0.430 0.565
0.133 0.434 0.557
0.200 0.437 0.550
0.267 0.440 0.545
0.333 0.442 0.540
0.400 0.446 0.535
0.467 0.453 0.529
0.533 0.460 0.524
0.600 0.464 0.520
0.667 0.468 0.517
0.733 0.471 0.516
0.800 0.481 0.511
0.867 0.490 0.508
0.933 0.498 0.504
1.000 0.503 0.502
1.067 0.508 0.500
1.133 0.513 0.496
1.200 0.519 0.488
1.267 0.523 0.481
1.333 0.526 0.475
1.400 0.528 0.471
1.467 0.529 0.467
1.533 0.531 0.464
1.600 0.535 0.458
1.667 0.541 0.452
1.733 0.547 0.446
1.800 0.552 0.442
1.867 0.555 0.438
1.933 0.558 0.435
2.000 0.561 0.433
2.067 0.568 0.430
2.133 0.576 0.426
2.200 0.582 0.423
2.267 0.587 0.421
2.333 0.591 0.419
2.400 0.598 0.417
2.467 0.609 0.415
2.533 0.619 0.412
2.600 0.626 0.411
2.667 0.632 0.410
2.733 0.637 0.408
2.800 0.645 0.401
2.867 0.651 0.395
2.933 0.656 0.389
3.000 0.659 0.385
3.067 0.662 0.382
3.133 0.664 0.375
3.200 0.664 0.375
3.267 0.670 0.354
3.333 0.672 0.346
3.400 0.673 0.340
3.467 0.674 0.335
3.533 0.680 0.326
3.600 0.686 0.319
3.667 0.690 0.313
3.733 0.694 0.308
3.800 0.697 0.304
3.867 0.700 0.301
3.933 0.709 0.296
4.000 0.717 0.293
4.067 0.724 0.291
4.133 0.729 0.289
4.200 0.733 0.288
4.267 0.737 0.286
4.333 0.740 0.285
4.400 0.743 0.284
4.467 0.745 0.283
4.533 0.752 0.281
4.600 0.757 0.280
4.667 0.762 0.279
4.733 0.767 0.279
4.800 0.772 0.280
4.867 0.782 0.283
4.933 0.788 0.285
5.000 0.794 0.288
5.067 0.799 0.290
5.133 0.803 0.292
5.200 0.806 0.294
5.267 0.811 0.294
5.333 0.819 0.291
5.400 0.825 0.289
5.467 0.829 0.287
5.533 0.833 0.285
5.600 0.839 0.280
5.667 0.848 0.270
5.733 0.855 0.260
5.800 0.859 0.253
5.867 0.863 0.246
5.933 0.866 0.242
6.000 0.869 0.235
6.067 0.874 0.223
6.133 0.877 0.213
6.200 0.880 0.205
6.267 0.882 0.199
6.333 0.883 0.193
6.400 0.884 0.189
6.467 0.888 0.182
6.533 0.894 0.173
6.600 0.899 0.167
6.667 0.903 0.162
6.733 0.907 0.157
6.800 0.909 0.154
6.867 0.914 0.151
6.933 0.921 0.149
7.000 0.925 0.148
7.067 0.929 0.147
7.133 0.932 0.147
7.200 0.935 0.146
7.267 0.934 0.142
7.333 0.933 0.139
7.400 0.931 0.135
7.467 0.929 0.132
7.533 0.927 0.130
7.600 0.925 0.126
7.667 0.921 0.119
7.733 0.917 0.114
7.800 0.914 0.110
7.867 0.912 0.106
7.933 0.910 0.104
8.000 0.908 0.101
8.067 0.902 0.097
8.133 0.895 0.095
8.200 0.890 0.093
8.267 0.885 0.091
8.333 0.881 0.090
8.400 0.878 0.089
8.467 0.872 0.089
8.533 0.866 0.088
8.600 0.860 0.088
8.667 0.856 0.087
8.733 0.852 0.087
8.800 0.849 0.087
8.867 0.845 0.087
8.933 0.837 0.089
9.000 0.830 0.091
9.067 0.825 0.092
9.133 0.821 0.093
9.200 0.817 0.095
9.267 0.811 0.099
9.333 0.805 0.102
9.400 0.801 0.105
9.467 0.797 0.107
9.533 0.794 0.109
9.600 0.791 0.111
9.667 0.789 0.112
9.733 0.787 0.114
9.800 0.785 0.115
9.867 0.783 0.116
9.933 0.776 0.117
10.000 0.770 0.117
10.067 0.765 0.118
10.133 0.761 0.118
10.200 0.757 0.118
10.267 0.753 0.117
10.333 0.749 0.117
10.400 0.745 0.117
10.467 0.743 0.117
10.533 0.740 0.117
10.600 0.737 0.116
10.667 0.736 0.116
10.733 0.733 0.113
10.800 0.732 0.110
10.867 0.731 0.107
10.933 0.730 0.105
11.000 0.730 0.102
11.067 0.731 0.097
11.133 0.731 0.092
11.200 0.731 0.088
11.267 0.732 0.085
11.333 0.730 0.086
11.400 0.726 0.088
11.467 0.723 0.090
11.533 0.720 0.092
11.600 0.717 0.094
11.667 0.715 0.095
11.733 0.714 0.097
11.800 0.714 0.101
11.867 0.713 0.108
11.933 0.713 0.113
12.000 0.713 0.117
12.067 0.714 0.120
12.133 0.714 0.125
12.200 0.714 0.127
12.267 0.715 0.132
12.333 0.718 0.140
12.400 0.720 0.148
12.467 0.721 0.154
12.533 0.722 0.159
12.600 0.723 0.163
12.667 0.723 0.167
12.733 0.723 0.170
12.800 0.724 0.179
12.867 0.723 0.189
12.933 0.722 0.198
13.000 0.721 0.204
13.067 0.721 0.210
13.133 0.720 0.215
13.200 0.721 0.219
13.267 0.722 0.227
13.333 0.724 0.233
13.400 0.726 0.238
13.467 0.727 0.242
13.533 0.728 0.245
13.600 0.728 0.248
13.667 0.727 0.257
13.733 0.725 0.264
13.800 0.725 0.264
13.867 0.721 0.274
13.933 0.720 0.278
14.000 0.719 0.282
14.067 0.718 0.285
14.133 0.714 0.289
14.200 0.708 0.293
14.267 0.703 0.297
14.333 0.698 0.300
14.400 0.694 0.302
14.467 0.691 0.303
14.533 0.688 0.305
