# TimeStep fish0X fish0Y fish1X fish1Y
0.000 nan nan nan nan
0.067 nan nan nan nan
0.133 nan nan nan nan
0.200 nan nan nan nan
0.267 nan nan nan nan
0.333 nan nan nan nan
0.400 nan nan nan nan
0.467 nan nan nan nan
0.533 nan nan nan nan
0.600 nan nan nan nan
0.667 nan nan nan nan
0.733 nan nan nan nan
0.800 nan nan nan nan
0.867 nan nan nan nan
0.933 nan nan 0.531 0.493
1.000 nan nan 0.518 0.504
1.067 nan nan 0.506 0.516
1.133 nan nan nan nan
1.200 nan nan nan nan
1.267 nan nan nan nan
1.333 nan nan nan nan
1.400 nan nan nan nan
1.467 nan nan nan nan
1.533 nan nan nan nan
1.600 nan nan nan nan
1.667 nan nan nan nan
1.733 nan nan nan nan
1.800 nan nan nan nan
1.867 nan nan nan nan
1.933 nan nan nan nan
2.000 nan nan nan nan
2.067 nan nan nan nan
2.133 nan nan nan nan
2.200 nan nan nan nan
2.267 nan nan nan nan
2.333 nan nan 0.312 0.696
2.400 nan nan nan nan
2.467 nan nan nan nan
2.533 nan nan nan nan
2.600 nan nan nan nan
2.667 nan nan nan nan
2.733 nan nan nan nan
2.800 nan nan nan nan
2.867 nan nan nan nan
2.933 nan nan 0.278 0.812
3.000 nan nan 0.280 0.823
3.067 nan nan 0.281 0.832
3.133 nan nan 0.280 0.848
3.200 nan nan 0.279 0.861
3.267 nan nan 0.279 0.861
3.333 nan nan 0.279 0.872
3.400 nan nan 0.278 0.901
3.467 nan nan 0.278 0.911
3.533 nan nan 0.278 0.920
3.600 nan nan 0.273 0.925
3.667 nan nan 0.265 0.930
3.733 nan nan nan nan
3.800 nan nan nan nan
3.867 nan nan 0.233 0.929
3.933 0.258 0.925 0.223 0.927
4.000 0.250 0.923 0.208 0.923
4.067 nan nan nan nan
4.133 nan nan nan nan
4.200 nan nan nan nan
4.267 nan nan nan nan
4.333 nan nan nan nan
4.400 nan nan nan nan
4.467 nan nan nan nan
4.533 nan nan nan nan
4.600 nan nan nan nan
4.667 nan nan nan nan
4.733 nan nan 0.072 0.909
4.800 nan nan 0.063 0.907
4.867 nan nan nan nan
4.933 nan nan nan nan
5.000 nan nan nan nan
5.067 nan nan nan nan
5.133 nan nan nan nan
5.200 nan nan nan nan
5.267 nan nan 0.064 0.847
5.333 nan nan 0.065 0.840
5.400 nan nan 0.066 0.830
5.467 nan nan nan nan
5.533 nan nan nan nan
5.600 nan nan nan nan
5.667 nan nan nan nan
5.733 nan nan nan nan
5.800 nan nan 0.064 0.767
5.867 nan nan nan nan
5.933 nan nan nan nan
6.000 nan nan nan nan
6.067 nan nan nan nan
6.133 nan nan 0.091 0.716
6.200 nan nan 0.091 0.708
6.267 nan nan nan nan
6.333 nan nan 0.090 0.697
6.400 nan nan 0.099 0.695
6.467 0.088 0.706 0.108 0.695
6.533 nan nan 0.121 0.697
6.600 nan nan nan nan
6.667 nan nan 0.152 0.695
6.733 nan nan 0.161 0.694
6.800 nan nan 0.174 0.695
6.867 nan nan 0.191 0.697
6.933 nan nan 0.204 0.698
7.000 nan nan 0.213 0.698
7.067 nan nan 0.223 0.698
7.133 nan nan 0.237 0.697
7.200 nan nan 0.248 0.694
7.267 nan nan 0.257 0.693
7.333 nan nan 0.264 0.691
7.400 nan nan 0.273 0.685
7.467 nan nan 0.282 0.677
7.533 nan nan nan nan
7.600 nan nan nan nan
7.667 nan nan nan nan
7.733 nan nan nan nan
7.800 nan nan nan nan
7.867 nan nan nan nan
7.933 nan nan nan nan
8.000 nan nan nan nan
8.067 nan nan nan nan
8.133 nan nan nan nan
8.200 nan nan nan nan
8.267 nan nan nan nan
8.333 nan nan nan nan
8.400 nan nan nan nan
8.467 nan nan nan nan
8.533 nan nan nan nan
8.600 nan nan nan nan
8.667 nan nan nan nan
8.733 nan nan nan nan
8.800 nan nan nan nan
8.867 nan nan nan nan
8.933 nan nan nan nan
9.000 nan nan nan nan
9.067 nan nan nan nan
9.133 nan nan nan nan
9.200 nan nan nan nan
9.267 nan nan nan nan
9.333 nan nan nan nan
9.400 nan nan nan nan
9.467 nan nan nan nan
9.533 nan nan nan nan
9.600 nan nan nan nan
9.667 nan nan nan nan
9.733 nan nan nan nan
9.800 nan nan nan nan
9.867 nan nan nan nan
9.933 nan nan nan nan
10.000 nan nan nan nan
10.067 nan nan nan nan
10.133 nan nan nan nan
10.200 nan nan nan nan
10.267 nan nan nan nan
10.333 nan nan nan nan
10.400 nan nan nan nan
10.467 nan nan nan nan
10.533 nan nan nan nan
10.600 nan nan nan nan
10.667 nan nan nan nan
10.733 nan nan nan nan
10.800 nan nan nan nan
10.867 nan nan nan nan
10.933 nan nan nan nan
11.000 nan nan nan nan
11.067 nan nan nan nan
11.133 nan nan nan nan
11.200 nan nan nan nan
11.267 nan nan nan nan
11.333 nan nan nan nan
11.400 nan nan nan nan
11.467 nan nan nan nan
11.533 nan nan nan nan
11.600 nan nan nan nan
11.667 nan nan nan nan
11.733 nan nan nan nan
11.800 nan nan nan nan
11.867 nan nan nan nan
11.933 nan nan nan nan
12.000 nan nan nan nan
12.067 nan nan nan nan
12.133 nan nan nan nan
12.200 nan nan nan nan
12.267 nan nan nan nan
12.333 nan nan nan nan
12.400 nan nan 0.827 0.058
12.467 nan nan 0.841 0.057
12.533 nan nan 0.851 0.057
12.600 nan nan nan nan
12.667 nan nan nan nan
12.733 nan nan 0.830 0.058
12.800 nan nan 0.840 0.061
12.867 nan nan 0.852 0.066
12.933 nan nan nan nan
13.000 nan nan nan nan
13.067 nan nan nan nan
13.133 nan nan nan nan
13.200 nan nan nan nan
13.267 nan nan nan nan
13.333 nan nan nan nan
13.400 nan nan nan nan
13.467 nan nan nan nan
13.533 nan nan nan nan
13.600 nan nan nan nan
13.667 nan nan nan nan
13.733 nan nan nan nan
13.800 nan nan nan nan
13.867 nan nan nan nan
13.933 nan nan nan nan
14.000 nan nan nan nan
14.067 nan nan nan nan
14.133 nan nan nan nan
14.200 nan nan nan nan
14.267 nan nan nan nan
14.333 nan nan nan nan
14.400 nan nan nan nan
14.467 nan nan nan nan
14.533 nan nan nan nan
14.600 nan nan nan nan
14.667 nan nan nan nan
14.733 nan nan 0.899 0.280
14.800 nan nan nan nan
14.867 nan nan nan nan
14.933 nan nan nan nan
15.000 nan nan nan nan
15.067 nan nan nan nan
15.133 nan nan nan nan
15.200 nan nan nan nan
15.267 nan nan nan nan
15.333 nan nan nan nan
15.400 nan nan nan nan
15.467 nan nan nan nan
15.533 nan nan nan nan
15.600 nan nan nan nan
15.667 nan nan nan nan
15.733 nan nan nan nan
15.800 nan nan nan nan
15.867 nan nan nan nan
15.933 nan nan nan nan
16.000 nan nan nan nan
16.067 nan nan nan nan
16.133 nan nan nan nan
16.200 nan nan nan nan
16.267 nan nan nan nan
16.333 nan nan nan nan
16.400 nan nan nan nan
16.467 nan nan nan nan
16.533 nan nan nan nan
16.600 nan nan nan nan
16.667 nan nan nan nan
16.733 nan nan nan nan
16.800 nan nan nan nan
16.867 nan nan nan nan
16.933 nan nan nan nan
17.000 nan nan nan nan
17.067 nan nan nan nan
17.133 nan nan nan nan
17.200 nan nan nan nan
17.267 nan nan nan nan
17.333 nan nan nan nan
17.400 nan nan nan nan
17.467 nan nan nan nan
17.533 nan nan nan nan
17.600 nan nan nan nan
17.667 nan nan nan nan
17.733 nan nan nan nan
17.800 nan nan nan nan
17.867 nan nan nan nan
17.933 nan nan nan nan
18.000 nan nan nan nan
18.067 nan nan nan nan
18.133 nan nan nan nan
18.200 nan nan nan nan
18.267 nan nan nan nan
18.333 nan nan nan nan
18.400 nan nan nan nan
18.467 nan nan nan nan
18.533 nan nan nan nan
