# TimeStep fish0X fish0Y fish1X fish1Y
0.000 0.423 0.587 0.339 0.658
0.067 0.429 0.583 0.343 0.654
0.133 0.434 0.579 0.347 0.651
0.200 0.438 0.576 0.354 0.642
0.267 0.442 0.572 0.363 0.630
0.333 0.450 0.562 0.373 0.620
0.400 0.456 0.552 0.382 0.611
0.467 0.461 0.544 0.390 0.603
0.533 0.466 0.538 0.397 0.597
0.600 0.470 0.532 0.406 0.590
0.667 0.477 0.526 0.416 0.583
0.733 0.487 0.517 0.424 0.578
0.800 0.496 0.510 0.431 0.572
0.867 0.503 0.504 0.437 0.567
0.933 0.510 0.499 0.445 0.558
1.000 0.515 0.495 0.454 0.549
1.067 0.520 0.491 0.463 0.540
1.133 0.523 0.488 0.470 0.533
1.200 0.528 0.483 0.476 0.526
1.267 0.536 0.473 0.482 0.520
1.333 0.543 0.464 0.487 0.515
1.400 0.549 0.456 0.492 0.511
1.467 0.554 0.450 0.500 0.503
1.533 0.558 0.444 0.507 0.496
1.600 0.562 0.439 0.514 0.489
1.667 0.566 0.437 0.520 0.482
1.733 0.572 0.440 0.526 0.477
1.800 0.577 0.443 0.530 0.472
1.867 0.582 0.450 0.535 0.467
1.933 0.582 0.450 0.535 0.467
2.000 0.585 0.455 0.539 0.463
2.067 0.585 0.449 0.544 0.457
2.133 0.583 0.438 0.547 0.455
2.200 0.581 0.429 0.549 0.453
2.267 0.578 0.422 0.551 0.451
2.333 0.576 0.415 0.552 0.448
2.400 0.574 0.411 0.555 0.442
2.467 0.574 0.405 0.557 0.437
2.533 0.578 0.401 0.558 0.433
2.600 0.581 0.397 0.559 0.429
2.667 0.584 0.395 0.560 0.427
2.733 0.586 0.392 0.561 0.424
2.800 0.590 0.389 0.562 0.420
2.867 0.599 0.382 0.563 0.416
2.933 0.608 0.376 0.563 0.412
3.000 0.615 0.370 0.564 0.409
3.067 0.621 0.366 0.567 0.404
3.133 0.626 0.361 0.571 0.399
3.200 0.631 0.358 0.575 0.394
3.267 0.635 0.355 0.578 0.391
3.333 0.639 0.352 0.581 0.388
3.400 0.643 0.349 0.587 0.384
3.467 0.654 0.344 0.593 0.379
3.533 0.664 0.338 0.599 0.375
3.600 0.672 0.334 0.605 0.371
3.667 0.678 0.329 0.612 0.368
3.733 0.684 0.326 0.620 0.363
3.800 0.689 0.323 0.626 0.358
3.867 0.698 0.313 0.632 0.354
3.933 0.708 0.303 0.637 0.351
4.000 0.717 0.295 0.641 0.348
4.067 0.724 0.288 0.649 0.341
4.133 0.730 0.283 0.658 0.334
4.200 0.736 0.278 0.665 0.328
4.267 0.740 0.274 0.672 0.323
4.333 0.745 0.270 0.678 0.319
4.400 0.748 0.267 0.685 0.315
4.467 0.752 0.264 0.695 0.309
4.533 0.754 0.261 0.703 0.305
4.600 0.754 0.255 0.711 0.302
4.667 0.753 0.249 0.717 0.299
4.733 0.752 0.244 0.723 0.294
4.800 0.751 0.240 0.728 0.289
4.867 0.750 0.237 0.732 0.284
4.933 0.748 0.233 0.736 0.279
5.000 0.742 0.229 0.739 0.275
5.067 0.734 0.227 0.742 0.272
5.133 0.728 0.225 0.744 0.269
5.200 0.722 0.224 0.746 0.267
5.267 0.715 0.231 0.747 0.264
5.333 0.708 0.240 0.747 0.259
5.400 0.703 0.247 0.745 0.254
5.467 0.699 0.252 0.744 0.249
5.533 0.695 0.258 0.742 0.246
5.600 0.692 0.262 0.740 0.242
5.667 0.690 0.266 0.739 0.240
5.733 0.687 0.271 0.737 0.238
5.800 0.685 0.274 0.734 0.236
5.867 0.683 0.278 0.729 0.235
5.933 0.681 0.286 0.725 0.235
6.000 0.678 0.293 0.720 0.238
6.067 0.676 0.299 0.713 0.243
6.133 0.674 0.304 0.707 0.248
6.200 0.670 0.309 0.702 0.253
6.267 0.662 0.317 0.698 0.257
6.333 0.656 0.323 0.694 0.262
6.400 0.650 0.329 0.689 0.265
6.467 0.646 0.334 0.683 0.273
6.533 0.642 0.338 0.677 0.280
6.600 0.638 0.342 0.672 0.288
6.667 0.630 0.347 0.667 0.295
6.733 0.619 0.354 0.663 0.301
6.800 0.610 0.361 0.659 0.307
6.867 0.602 0.367 0.654 0.313
6.933 0.595 0.372 0.648 0.321
7.000 0.589 0.376 0.641 0.330
7.067 0.584 0.380 0.633 0.340
7.133 0.579 0.383 0.626 0.348
7.200 0.575 0.386 0.619 0.356
7.267 0.571 0.389 0.614 0.363
7.333 0.568 0.392 0.610 0.369
7.400 0.557 0.403 0.603 0.379
7.467 0.547 0.412 0.596 0.389
7.533 0.538 0.421 0.589 0.398
7.600 0.532 0.427 0.582 0.406
7.667 0.525 0.433 0.575 0.413
7.733 0.520 0.438 0.570 0.418
7.800 0.515 0.444 0.563 0.424
7.867 0.507 0.452 0.555 0.433
7.933 0.500 0.459 0.544 0.444
8.000 0.494 0.466 0.535 0.453
8.067 0.489 0.471 0.527 0.462
8.133 0.481 0.479 0.519 0.470
8.200 0.473 0.485 0.514 0.477
8.267 0.467 0.491 0.509 0.484
8.333 0.462 0.495 0.504 0.490
8.400 0.458 0.499 0.496 0.495
8.467 0.453 0.505 0.486 0.503
8.533 0.442 0.516 0.478 0.509
8.600 0.432 0.527 0.470 0.514
8.667 0.424 0.536 0.464 0.519
8.733 0.415 0.547 0.458 0.525
8.800 0.404 0.560 0.451 0.532
8.867 0.395 0.570 0.443 0.540
8.933 0.388 0.578 0.435 0.548
9.000 0.382 0.585 0.429 0.555
9.067 0.376 0.591 0.423 0.561
9.133 0.372 0.597 0.417 0.566
9.200 0.366 0.607 0.408 0.573
9.267 0.359 0.619 0.400 0.581
9.333 0.354 0.629 0.394 0.587
9.400 0.349 0.638 0.388 0.592
9.467 0.345 0.645 0.381 0.597
9.533 0.341 0.651 0.371 0.604
9.600 0.332 0.656 0.361 0.611
9.667 0.322 0.660 0.352 0.617
9.733 0.314 0.662 0.345 0.623
9.800 0.308 0.664 0.338 0.628
9.867 0.302 0.667 0.333 0.633
9.933 0.290 0.674 0.327 0.637
10.000 0.279 0.679 0.324 0.640
10.067 0.271 0.683 0.319 0.646
10.133 0.264 0.686 0.313 0.653
10.200 0.257 0.689 0.307 0.659
10.267 0.252 0.692 0.303 0.664
10.333 0.246 0.695 0.299 0.670
10.400 0.237 0.699 0.294 0.678
10.467 0.230 0.701 0.287 0.688
10.533 0.224 0.703 0.280 0.697
10.600 0.219 0.705 0.274 0.706
10.667 0.211 0.706 0.269 0.713
10.733 0.204 0.708 0.265 0.719
10.800 0.197 0.710 0.261 0.724
10.867 0.192 0.711 0.257 0.729
10.933 0.188 0.712 0.254 0.733
11.000 0.188 0.718 0.249 0.737
11.067 0.191 0.725 0.241 0.739
11.133 0.194 0.731 0.234 0.741
11.200 0.196 0.736 0.228 0.742
11.267 0.201 0.734 0.224 0.743
11.333 0.207 0.729 0.218 0.749
11.400 0.213 0.725 0.213 0.754
11.467 0.218 0.722 0.209 0.759
11.533 0.223 0.719 0.206 0.762
11.600 0.227 0.719 0.203 0.766
11.667 0.233 0.720 0.201 0.768
11.733 0.239 0.723 0.199 0.771
11.800 0.244 0.724 0.197 0.773
11.867 0.248 0.726 0.198 0.775
11.933 0.251 0.727 0.204 0.777
12.000 0.254 0.728 0.209 0.778
12.067 0.257 0.729 0.219 0.778
12.133 0.261 0.729 0.229 0.777
12.200 0.261 0.729 0.229 0.777
12.267 0.266 0.727 0.238 0.777
12.333 0.274 0.723 0.254 0.777
12.400 0.279 0.718 0.260 0.777
12.467 0.287 0.710 0.266 0.777
12.533 0.293 0.703 0.271 0.775
12.600 0.299 0.697 0.275 0.768
12.667 0.304 0.692 0.280 0.760
12.733 0.308 0.687 0.284 0.753
12.800 0.312 0.683 0.287 0.747
12.867 0.315 0.680 0.290 0.741
12.933 0.318 0.677 0.292 0.736
13.000 0.322 0.671 0.294 0.731
13.067 0.326 0.662 0.296 0.727
13.133 0.330 0.655 0.298 0.723
13.200 0.333 0.649 0.299 0.718
13.267 0.335 0.644 0.303 0.708
13.333 0.337 0.639 0.306 0.699
13.400 0.339 0.635 0.310 0.691
13.467 0.341 0.631 0.313 0.685
13.533 0.342 0.628 0.318 0.677
13.600 0.348 0.625 0.325 0.668
13.667 0.354 0.621 0.332 0.660
13.733 0.360 0.617 0.339 0.652
13.800 0.366 0.614 0.344 0.645
13.867 0.377 0.607 0.349 0.639
13.933 0.388 0.601 0.354 0.634
14.000 0.397 0.596 0.357 0.629
14.067 0.405 0.592 0.360 0.626
14.133 0.414 0.583 0.364 0.622
14.200 0.423 0.575 0.368 0.617
14.267 0.430 0.568 0.373 0.612
14.333 0.437 0.562 0.378 0.607
14.400 0.443 0.557 0.384 0.602
14.467 0.448 0.553 0.390 0.597
14.533 0.453 0.547 0.396 0.592
14.600 0.461 0.537 0.404 0.587
14.667 0.469 0.527 0.411 0.581
14.733 0.475 0.519 0.419 0.576
14.800 0.475 0.519 0.419 0.576
14.867 0.481 0.512 0.424 0.571
14.933 0.496 0.497 0.438 0.558
15.000 0.504 0.490 0.445 0.552
15.067 0.504 0.490 0.445 0.552
15.133 0.510 0.484 0.450 0.546
15.200 0.521 0.474 0.467 0.528
15.267 0.525 0.470 0.475 0.520
15.333 0.529 0.466 0.482 0.512
15.400 0.533 0.462 0.488 0.506
15.467 0.536 0.458 0.494 0.500
15.533 0.539 0.455 0.498 0.495
15.600 0.542 0.452 0.502 0.490
15.667 0.545 0.449 0.508 0.481
15.733 0.547 0.447 0.513 0.474
15.800 0.550 0.446 0.517 0.468
15.867 0.551 0.450 0.521 0.462
15.933 0.552 0.456 0.524 0.457
16.000 0.553 0.462 0.527 0.453
16.067 0.554 0.467 0.530 0.448
16.133 0.554 0.472 0.532 0.446
16.200 0.552 0.475 0.534 0.442
16.267 0.545 0.478 0.536 0.439
16.333 0.540 0.481 0.538 0.436
16.400 0.536 0.483 0.541 0.432
16.467 0.533 0.485 0.543 0.428
16.533 0.529 0.487 0.546 0.426
16.600 0.526 0.488 0.548 0.430
16.667 0.523 0.489 0.548 0.437
16.733 0.521 0.490 0.547 0.443
16.800 0.520 0.491 0.544 0.450
16.867 0.512 0.491 0.541 0.457
16.933 0.505 0.491 0.538 0.462
17.000 0.499 0.492 0.535 0.468
17.067 0.494 0.492 0.532 0.472
17.133 0.489 0.492 0.528 0.477
17.200 0.485 0.492 0.521 0.486
17.267 0.482 0.492 0.513 0.496
17.333 0.478 0.492 0.505 0.505
17.400 0.476 0.492 0.497 0.514
17.467 0.471 0.494 0.490 0.521
17.533 0.459 0.499 0.484 0.526
17.600 0.450 0.504 0.475 0.531
17.667 0.442 0.508 0.468 0.535
17.733 0.435 0.517 0.461 0.539
17.800 0.425 0.531 0.455 0.542
17.867 0.418 0.542 0.451 0.545
17.933 0.412 0.552 0.445 0.551
18.000 0.407 0.560 0.438 0.558
18.067 0.400 0.567 0.430 0.566
18.133 0.390 0.574 0.423 0.574
18.200 0.382 0.580 0.414 0.583
18.267 0.375 0.585 0.407 0.590
18.333 0.370 0.589 0.400 0.595
18.400 0.360 0.601 0.395 0.600
18.467 0.349 0.612 0.387 0.606
18.533 0.341 0.621 0.379 0.614
18.600 0.333 0.629 0.371 0.622
18.667 0.327 0.635 0.366 0.627
18.733 0.322 0.641 0.360 0.632
18.800 0.317 0.648 0.352 0.638
18.867 0.308 0.658 0.342 0.647
18.933 0.301 0.668 0.332 0.656
19.000 0.294 0.677 0.323 0.664
19.067 0.289 0.684 0.316 0.670
19.133 0.284 0.690 0.309 0.676
19.200 0.274 0.697 0.303 0.681
19.267 0.263 0.705 0.295 0.688
19.333 0.255 0.711 0.286 0.695
19.400 0.248 0.716 0.279 0.700
19.467 0.240 0.719 0.273 0.705
19.533 0.231 0.720 0.268 0.709
19.600 0.222 0.720 0.263 0.713
19.667 0.217 0.720 0.259 0.716
19.733 0.210 0.720 0.250 0.720
19.800 0.201 0.719 0.241 0.726
19.867 0.191 0.719 0.233 0.730
19.933 0.182 0.718 0.226 0.734
20.000 0.176 0.718 0.221 0.736
20.067 0.170 0.718 0.216 0.739
20.133 0.164 0.718 0.212 0.742
20.200 0.156 0.722 0.207 0.742
20.267 0.148 0.728 0.199 0.743
20.333 0.141 0.732 0.192 0.743
20.400 0.136 0.736 0.186 0.743
20.467 0.131 0.740 0.180 0.743
20.533 0.128 0.744 0.175 0.743
20.600 0.127 0.753 0.171 0.743
20.667 0.126 0.761 0.167 0.743
20.733 0.126 0.767 0.163 0.743
20.800 0.126 0.773 0.160 0.743
20.867 0.129 0.779 0.152 0.744
20.933 0.134 0.789 0.145 0.746
21.000 0.140 0.797 0.138 0.748
21.067 0.144 0.803 0.133 0.749
21.133 0.148 0.809 0.128 0.756
21.200 0.152 0.813 0.124 0.765
21.267 0.159 0.812 0.121 0.773
21.333 0.166 0.809 0.119 0.781
21.400 0.172 0.807 0.117 0.788
21.467 0.176 0.804 0.119 0.797
21.533 0.178 0.804 0.121 0.806
21.600 0.185 0.801 0.123 0.814
21.667 0.189 0.798 0.126 0.822
21.733 0.192 0.796 0.131 0.828
21.800 0.196 0.795 0.140 0.833
21.867 0.198 0.793 0.147 0.836
21.933 0.200 0.789 0.153 0.838
22.000 0.198 0.782 0.159 0.839
22.067 0.196 0.775 0.163 0.839
22.133 0.194 0.770 0.172 0.837
22.200 0.192 0.765 0.179 0.834
22.267 0.190 0.761 0.184 0.832
22.333 0.188 0.758 0.189 0.829
22.400 0.187 0.755 0.194 0.826
22.467 0.188 0.751 0.198 0.824
22.533 0.194 0.746 0.202 0.821
