# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y
0.000 0.511 0.474 0.440 0.540 0.444 0.512
0.067 0.504 0.482 0.429 0.550 0.442 0.514
0.133 0.498 0.489 0.421 0.556 0.441 0.516
0.200 0.493 0.496 0.407 0.564 0.439 0.517
0.267 0.486 0.506 0.391 0.572 0.431 0.525
0.333 0.480 0.514 0.379 0.579 0.423 0.532
0.400 0.473 0.522 0.366 0.587 0.417 0.538
0.467 0.464 0.530 0.348 0.601 0.411 0.544
0.533 0.453 0.540 0.333 0.612 0.407 0.549
0.600 0.442 0.550 0.319 0.621 0.397 0.561
0.667 0.433 0.559 0.309 0.628 0.387 0.572
0.733 0.423 0.567 0.300 0.637 0.379 0.581
0.800 0.412 0.577 0.287 0.650 0.369 0.589
0.867 0.401 0.587 0.277 0.661 0.355 0.602
0.933 0.391 0.595 0.269 0.669 0.342 0.612
1.000 0.384 0.602 0.257 0.681 0.332 0.620
1.067 0.377 0.607 0.242 0.693 0.322 0.626
1.133 0.369 0.614 0.230 0.702 0.307 0.637
1.200 0.359 0.625 0.219 0.709 0.293 0.647
1.267 0.348 0.635 0.211 0.714 0.282 0.655
1.333 0.341 0.644 0.201 0.716 0.272 0.662
1.400 0.334 0.651 0.185 0.718 0.262 0.674
1.467 0.328 0.656 0.173 0.718 0.253 0.683
1.533 0.316 0.664 0.158 0.714 0.246 0.691
1.600 0.303 0.673 0.150 0.711 0.240 0.697
1.667 0.292 0.680 0.140 0.707 0.229 0.701
1.733 0.284 0.685 0.133 0.704 0.218 0.705
1.800 0.275 0.690 0.127 0.702 0.209 0.708
1.867 0.264 0.695 0.124 0.700 0.200 0.709
1.933 0.253 0.700 0.129 0.699 0.193 0.711
2.000 0.245 0.704 0.134 0.702 0.183 0.713
2.067 0.239 0.708 0.140 0.704 0.170 0.716
2.133 0.233 0.710 0.141 0.707 0.162 0.718
2.200 0.228 0.713 0.141 0.717 0.152 0.725
2.267 0.223 0.717 0.137 0.723 0.147 0.730
2.333 0.215 0.723 0.130 0.730 0.143 0.738
