# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y
0.000 0.704 0.143 0.739 0.172 0.758 0.197
0.067 0.702 0.140 0.738 0.167 0.754 0.201
0.133 0.705 0.133 0.735 0.159 0.748 0.206
0.200 0.708 0.130 0.734 0.155 0.745 0.207
0.267 0.711 0.128 0.732 0.152 0.742 0.202
0.333 0.714 0.125 0.731 0.149 0.737 0.194
0.400 0.717 0.122 0.730 0.146 0.734 0.189
0.467 0.721 0.116 0.729 0.144 0.730 0.183
0.533 0.724 0.111 0.728 0.142 0.728 0.180
0.600 0.727 0.107 0.728 0.140 0.726 0.176
0.667 0.729 0.104 0.728 0.131 0.723 0.172
0.733 0.731 0.101 0.730 0.119 0.723 0.167
0.800 0.733 0.099 0.731 0.111 0.723 0.159
0.867 0.734 0.097 0.731 0.103 0.724 0.154
0.933 0.736 0.094 0.734 0.096 0.725 0.146
1.000 0.737 0.092 0.736 0.089 0.727 0.136
1.067 0.739 0.090 0.732 0.078 0.729 0.126
1.133 0.739 0.088 0.722 0.087 0.731 0.119
1.200 0.740 0.086 0.714 0.095 0.732 0.112
1.267 0.741 0.085 0.708 0.102 0.733 0.106
1.333 0.742 0.083 0.703 0.109 0.734 0.101
1.400 0.742 0.082 0.703 0.119 0.734 0.097
1.467 0.744 0.081 0.704 0.132 0.733 0.096
1.533 0.747 0.081 0.704 0.142 0.729 0.102
1.600 0.749 0.081 0.704 0.150 0.726 0.108
1.667 0.751 0.082 0.705 0.157 0.722 0.116
1.733 0.753 0.083 0.706 0.164 0.720 0.123
1.800 0.754 0.085 0.706 0.170 0.716 0.130
1.867 0.755 0.087 0.707 0.172 0.713 0.139
1.933 0.757 0.090 0.712 0.174 0.710 0.147
2.000 0.758 0.091 0.717 0.175 0.708 0.154
2.067 0.759 0.093 0.721 0.177 0.707 0.160
2.133 0.760 0.094 0.725 0.178 0.709 0.167
2.200 0.764 0.096 0.727 0.178 0.712 0.173
2.267 0.769 0.098 0.730 0.178 0.716 0.180
2.333 0.773 0.100 0.733 0.179 0.720 0.186
2.400 0.777 0.102 0.736 0.179 0.723 0.192
2.467 0.780 0.103 0.740 0.181 0.726 0.197
2.533 0.783 0.104 0.750 0.187 0.729 0.202
2.600 0.788 0.103 0.758 0.193 0.731 0.206
2.667 0.795 0.103 0.764 0.198 0.731 0.217
2.733 0.801 0.103 0.770 0.203 0.732 0.225
2.800 0.806 0.103 0.776 0.207 0.733 0.233
2.867 0.811 0.103 0.780 0.210 0.734 0.239
2.933 0.816 0.102 0.786 0.221 0.735 0.245
3.000 0.819 0.102 0.791 0.231 0.734 0.250
3.067 0.822 0.102 0.795 0.241 0.730 0.261
3.133 0.828 0.104 0.798 0.249 0.725 0.271
3.200 0.833 0.107 0.799 0.255 0.722 0.278
3.267 0.838 0.110 0.794 0.262 0.714 0.285
3.333 0.841 0.112 0.787 0.268 0.704 0.293
3.400 0.844 0.115 0.781 0.273 0.695 0.299
3.467 0.847 0.116 0.775 0.278 0.687 0.305
3.533 0.849 0.118 0.770 0.282 0.680 0.309
3.600 0.851 0.121 0.765 0.285 0.674 0.313
3.667 0.856 0.128 0.755 0.297 0.670 0.316
3.733 0.859 0.134 0.745 0.309 0.668 0.318
3.800 0.861 0.139 0.737 0.319 0.665 0.322
3.867 0.862 0.144 0.730 0.328 0.662 0.326
3.933 0.863 0.148 0.724 0.336 0.657 0.333
4.000 0.865 0.152 0.721 0.340 0.649 0.342
4.067 0.866 0.155 0.720 0.343 0.643 0.349
4.133 0.867 0.157 0.721 0.345 0.635 0.354
4.200 0.868 0.160 0.722 0.348 0.621 0.363
4.267 0.871 0.163 0.714 0.356 0.607 0.369
4.333 0.874 0.166 0.701 0.363 0.597 0.374
4.400 0.875 0.169 0.689 0.369 0.587 0.378
4.467 0.876 0.176 0.671 0.378 0.579 0.382
4.533 0.878 0.181 0.655 0.387 0.572 0.385
4.600 0.879 0.186 0.641 0.396 0.566 0.388
4.667 0.879 0.190 0.624 0.407 0.557 0.397
4.733 0.880 0.194 0.606 0.418 0.550 0.405
4.800 0.880 0.197 0.590 0.428 0.544 0.411
4.867 0.878 0.206 0.577 0.437 0.539 0.416
4.933 0.875 0.217 0.567 0.444 0.534 0.421
5.000 0.872 0.226 0.557 0.455 0.530 0.424
5.067 0.869 0.234 0.549 0.465 0.521 0.429
5.133 0.867 0.241 0.542 0.475 0.514 0.433
5.200 0.864 0.247 0.536 0.482 0.508 0.437
5.267 0.862 0.252 0.531 0.490 0.502 0.441
