# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y
0.000 0.768 0.174 0.861 0.190 0.795 0.175 0.899 0.227 nan nan
0.067 0.768 0.172 0.864 0.196 0.791 0.170 0.900 0.234 nan nan
0.133 0.766 0.165 0.870 0.203 0.788 0.166 0.900 0.238 nan nan
0.200 0.764 0.155 0.874 0.209 0.785 0.162 0.901 0.243 nan nan
0.267 0.762 0.146 0.878 0.215 0.782 0.159 0.902 0.246 nan nan
0.333 0.761 0.137 0.881 0.220 0.780 0.156 0.903 0.250 nan nan
0.400 0.758 0.129 0.883 0.223 0.778 0.153 0.904 0.253 nan nan
0.467 0.753 0.112 0.885 0.230 0.776 0.151 0.906 0.256 nan nan
0.533 0.749 0.101 0.886 0.240 0.774 0.148 0.906 0.255 nan nan
0.600 0.745 0.091 0.885 0.248 0.771 0.145 0.910 0.250 nan nan
0.667 0.743 0.086 0.885 0.256 0.770 0.142 0.913 0.247 nan nan
0.733 0.738 0.096 0.885 0.262 0.767 0.134 0.914 0.244 nan nan
0.800 0.734 0.105 0.885 0.267 0.765 0.128 0.916 0.241 0.750 0.305
0.867 0.731 0.112 0.888 0.266 0.764 0.122 0.917 0.238 0.742 0.311
0.933 0.729 0.118 0.895 0.263 0.763 0.117 0.915 0.234 0.733 0.316
1.000 nan nan 0.898 0.262 0.762 0.114 0.908 0.228 0.726 0.321
1.067 nan nan 0.900 0.261 0.761 0.110 0.902 0.224 0.721 0.325
1.133 0.729 0.153 0.900 0.262 0.760 0.105 0.897 0.220 0.715 0.330
1.200 0.729 0.164 0.899 0.263 0.759 0.102 0.891 0.217 0.710 0.333
1.267 0.731 0.176 0.898 0.264 0.758 0.099 0.882 0.215 0.707 0.336
1.333 0.731 0.184 0.899 0.265 0.757 0.100 0.875 0.213 0.703 0.338
1.400 0.732 0.192 0.901 0.263 0.755 0.107 0.869 0.211 0.700 0.340
1.467 0.733 0.199 0.904 0.260 0.754 0.114 0.863 0.210 0.697 0.342
1.533 0.733 0.205 0.906 0.258 0.753 0.121 0.858 0.209 0.694 0.344
1.600 0.733 0.210 0.908 0.256 0.754 0.127 0.854 0.208 0.694 0.347
1.667 0.734 0.216 0.909 0.254 0.756 0.136 0.850 0.208 0.698 0.351
1.733 0.735 0.219 0.911 0.252 0.759 0.144 0.847 0.207 0.702 0.354
1.800 0.741 0.230 0.911 0.251 0.761 0.150 0.843 0.206 0.705 0.356
1.867 0.746 0.238 0.912 0.250 0.764 0.155 0.840 0.206 0.708 0.358
1.933 0.750 0.244 0.913 0.248 0.772 0.164 0.838 0.206 0.709 0.359
2.000 0.754 0.250 0.914 0.247 0.781 0.175 0.836 0.206 0.712 0.360
2.067 0.760 0.255 0.916 0.247 0.789 0.183 0.833 0.206 0.713 0.361
2.133 0.770 0.262 0.911 0.253 0.797 0.190 0.831 0.205 0.715 0.364
2.200 0.777 0.267 0.907 0.259 0.803 0.195 0.829 0.205 0.715 0.364
2.267 0.783 0.271 0.902 0.265 nan nan nan nan 0.716 0.364
2.333 0.789 0.274 0.898 0.269 nan nan nan nan 0.716 0.364
2.400 0.793 0.277 0.884 0.274 nan nan nan nan 0.718 0.365
2.467 0.798 0.280 0.872 0.278 nan nan nan nan 0.726 0.360
2.533 nan nan 0.862 0.281 0.840 0.223 0.825 0.222 0.729 0.356
2.600 nan nan 0.854 0.284 0.845 0.227 0.826 0.228 nan nan
2.667 nan nan nan nan 0.849 0.231 0.826 0.231 nan nan
2.733 nan nan nan nan 0.853 0.234 0.826 0.234 nan nan
2.800 nan nan nan nan 0.856 0.237 0.826 0.236 nan nan
2.867 nan nan nan nan 0.856 0.237 0.826 0.236 nan nan
2.933 nan nan nan nan 0.857 0.241 0.826 0.240 nan nan
3.000 nan nan nan nan 0.849 0.256 0.826 0.244 nan nan
3.067 nan nan nan nan 0.844 0.262 0.827 0.248 nan nan
3.133 nan nan nan nan nan nan 0.826 0.249 nan nan
3.200 nan nan nan nan nan nan 0.826 0.251 nan nan
3.267 nan nan nan nan nan nan 0.825 0.252 nan nan
3.333 nan nan nan nan nan nan 0.827 0.256 nan nan
3.400 nan nan nan nan nan nan nan nan nan nan
3.467 nan nan nan nan nan nan nan nan nan nan
3.533 nan nan nan nan nan nan nan nan nan nan
3.600 nan nan nan nan nan nan nan nan nan nan
3.667 nan nan nan nan nan nan nan nan nan nan
3.733 nan nan nan nan nan nan nan nan nan nan
3.800 nan nan nan nan nan nan nan nan nan nan
3.867 nan nan nan nan nan nan nan nan 0.808 0.263
3.933 nan nan nan nan nan nan nan nan 0.812 0.260
4.000 nan nan nan nan nan nan nan nan 0.814 0.258
4.067 nan nan nan nan nan nan nan nan 0.816 0.256
4.133 nan nan nan nan nan nan nan nan 0.818 0.255
4.200 nan nan nan nan nan nan nan nan 0.823 0.253
4.267 nan nan nan nan nan nan nan nan 0.828 0.252
4.333 nan nan nan nan nan nan nan nan 0.833 0.251
4.400 nan nan nan nan 0.893 0.273 nan nan 0.837 0.250
4.467 nan nan nan nan 0.897 0.272 nan nan 0.840 0.249
4.533 nan nan nan nan 0.902 0.271 nan nan 0.844 0.249
4.600 nan nan nan nan 0.906 0.273 nan nan 0.848 0.249
4.667 nan nan nan nan 0.907 0.272 nan nan 0.855 0.249
4.733 nan nan nan nan 0.909 0.272 nan nan 0.861 0.249
4.800 nan nan nan nan 0.910 0.271 nan nan 0.867 0.249
4.867 nan nan nan nan 0.910 0.270 nan nan 0.871 0.249
4.933 nan nan nan nan 0.911 0.269 nan nan 0.876 0.249
5.000 nan nan nan nan nan nan 0.911 0.269 0.882 0.251
5.067 nan nan nan nan nan nan nan nan 0.890 0.253
5.133 nan nan nan nan nan nan nan nan nan nan
5.200 nan nan nan nan nan nan nan nan nan nan
5.267 nan nan nan nan nan nan nan nan nan nan
5.333 nan nan nan nan nan nan nan nan nan nan
5.400 nan nan nan nan nan nan nan nan nan nan
5.467 nan nan nan nan nan nan nan nan nan nan
5.533 nan nan nan nan nan nan nan nan nan nan
5.600 0.929 0.252 nan nan nan nan nan nan nan nan
5.667 0.931 0.252 nan nan nan nan nan nan nan nan
5.733 0.934 0.252 nan nan nan nan nan nan nan nan
5.800 nan nan nan nan nan nan 0.928 0.256 nan nan
5.867 nan nan nan nan nan nan nan nan nan nan
5.933 nan nan nan nan nan nan 0.930 0.251 nan nan
6.000 nan nan nan nan nan nan nan nan nan nan
6.067 nan nan nan nan nan nan nan nan nan nan
6.133 nan nan nan nan nan nan nan nan nan nan
6.200 0.928 0.226 nan nan nan nan nan nan nan nan
6.267 0.929 0.221 nan nan nan nan 0.960 0.264 nan nan
6.333 0.930 0.216 nan nan nan nan 0.960 0.262 nan nan
6.400 0.930 0.215 nan nan nan nan nan nan nan nan
6.467 0.931 0.211 nan nan nan nan nan nan nan nan
6.533 0.932 0.208 nan nan nan nan nan nan nan nan
6.600 0.933 0.205 nan nan nan nan nan nan nan nan
6.667 nan nan nan nan nan nan nan nan nan nan
6.733 nan nan nan nan nan nan nan nan nan nan
6.800 nan nan nan nan nan nan nan nan nan nan
6.867 nan nan nan nan nan nan 0.935 0.192 nan nan
6.933 nan nan nan nan nan nan 0.933 0.190 nan nan
7.000 nan nan nan nan nan nan 0.931 0.189 nan nan
7.067 nan nan nan nan nan nan 0.931 0.187 nan nan
7.133 nan nan nan nan nan nan 0.930 0.185 nan nan
7.200 0.937 0.184 nan nan 0.921 0.178 nan nan nan nan
7.267 0.939 0.179 nan nan 0.919 0.176 nan nan nan nan
7.333 0.940 0.174 nan nan 0.916 0.175 nan nan nan nan
7.400 nan nan nan nan 0.911 0.174 nan nan nan nan
7.467 0.935 0.155 nan nan 0.904 0.172 nan nan nan nan
7.533 0.934 0.149 0.944 0.254 0.897 0.171 0.927 0.270 0.949 0.175
7.600 0.931 0.142 0.942 0.249 0.891 0.169 0.925 0.268 0.949 0.172
7.667 0.930 0.136 0.941 0.242 0.887 0.168 0.924 0.266 0.948 0.168
7.733 0.928 0.131 0.941 0.238 0.884 0.167 0.923 0.264 0.947 0.163
7.800 0.926 0.126 0.940 0.233 0.883 0.162 0.922 0.262 0.945 0.158
7.867 0.914 0.120 0.940 0.230 0.883 0.157 0.920 0.256 0.943 0.153
7.933 0.906 0.117 0.939 0.228 0.882 0.154 0.919 0.250 0.941 0.149
8.000 0.900 0.115 0.939 0.221 0.882 0.151 0.917 0.246 0.938 0.145
8.067 0.894 0.113 0.938 0.215 0.881 0.149 0.916 0.242 0.936 0.142
8.133 0.889 0.112 0.938 0.210 0.881 0.147 0.916 0.235 0.934 0.139
8.200 0.884 0.110 0.937 0.205 0.880 0.139 0.915 0.228 0.933 0.136
8.267 0.880 0.109 0.936 0.202 0.878 0.133 0.914 0.220 0.931 0.134
8.333 0.876 0.108 0.936 0.198 0.876 0.128 0.913 0.215 0.930 0.131
8.400 0.873 0.107 0.935 0.195 0.875 0.123 0.912 0.209 0.928 0.129
8.467 0.871 0.111 0.934 0.190 nan nan 0.913 0.201 0.927 0.128
8.533 0.868 0.109 0.933 0.186 nan nan 0.913 0.191 0.926 0.120
8.600 0.866 0.107 0.933 0.181 nan nan 0.913 0.180 0.926 0.115
8.667 0.864 0.104 0.932 0.177 nan nan 0.913 0.172 0.925 0.110
8.733 0.862 0.102 0.931 0.173 nan nan 0.913 0.165 0.925 0.106
8.800 0.860 0.095 0.931 0.170 nan nan 0.913 0.160 0.925 0.102
8.867 0.860 0.095 0.931 0.170 nan nan 0.913 0.160 0.925 0.102
8.933 nan nan 0.931 0.168 0.853 0.096 0.914 0.150 0.926 0.099
9.000 nan nan 0.929 0.163 0.850 0.092 0.914 0.131 0.938 0.086
9.067 nan nan 0.929 0.162 0.847 0.090 0.915 0.122 0.942 0.082
9.133 nan nan 0.929 0.160 0.844 0.084 0.915 0.114 0.945 0.079
9.200 nan nan 0.929 0.158 nan nan 0.915 0.110 nan nan
9.267 nan nan 0.925 0.155 nan nan 0.917 0.100 nan nan
9.333 nan nan 0.923 0.151 nan nan 0.917 0.094 nan nan
9.400 nan nan 0.920 0.148 nan nan 0.919 0.088 nan nan
9.467 nan nan 0.918 0.146 nan nan 0.920 0.083 nan nan
9.533 nan nan 0.918 0.146 nan nan 0.920 0.083 nan nan
9.600 nan nan 0.918 0.146 nan nan 0.920 0.083 nan nan
9.667 nan nan 0.918 0.146 nan nan 0.920 0.083 nan nan
9.733 0.838 0.062 0.915 0.143 nan nan nan nan nan nan
9.800 0.838 0.062 0.915 0.143 nan nan nan nan nan nan
9.867 nan nan 0.911 0.141 nan nan nan nan nan nan
9.933 nan nan 0.899 0.134 nan nan nan nan nan nan
10.000 nan nan 0.892 0.130 nan nan nan nan nan nan
10.067 0.852 0.085 0.888 0.127 nan nan nan nan nan nan
10.133 0.857 0.087 0.887 0.126 nan nan nan nan nan nan
10.200 nan nan 0.884 0.123 nan nan nan nan nan nan
10.267 nan nan 0.883 0.122 nan nan nan nan nan nan
10.333 nan nan 0.881 0.120 nan nan 0.872 0.088 nan nan
10.400 nan nan 0.880 0.118 nan nan 0.872 0.090 nan nan
10.467 0.885 0.083 0.878 0.117 0.854 0.104 nan nan nan nan
10.533 nan nan 0.876 0.117 0.845 0.112 nan nan nan nan
10.600 nan nan 0.870 0.119 0.836 0.119 nan nan nan nan
10.667 0.876 0.097 0.866 0.121 0.830 0.125 nan nan nan nan
10.733 0.872 0.101 0.863 0.122 0.824 0.130 nan nan nan nan
10.800 0.867 0.105 0.860 0.124 0.819 0.134 0.827 0.072 0.876 0.072
