# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y
0.000 0.551 0.417 0.558 0.373 0.467 0.496 0.490 0.471 0.531 0.441
0.067 0.544 0.424 0.553 0.377 nan nan 0.480 0.481 0.523 0.454
0.133 0.537 0.431 0.546 0.387 nan nan nan nan 0.513 0.468
0.200 0.530 0.438 0.539 0.398 nan nan 0.463 0.501 0.505 0.479
0.267 0.521 0.448 0.533 0.407 nan nan 0.455 0.510 0.499 0.488
0.333 0.513 0.456 0.525 0.416 0.427 0.531 0.449 0.517 0.490 0.500
0.400 0.504 0.466 0.519 0.424 0.420 0.541 0.443 0.525 0.480 0.512
0.467 0.495 0.475 0.512 0.431 0.415 0.549 0.436 0.535 0.472 0.522
0.533 0.485 0.487 0.505 0.440 0.410 0.555 0.429 0.545 0.464 0.531
0.600 0.478 0.496 0.497 0.450 0.406 0.563 0.422 0.557 0.458 0.539
0.667 0.470 0.505 0.489 0.460 0.403 0.579 0.417 0.569 0.448 0.549
0.733 0.462 0.513 0.482 0.468 0.400 0.594 0.412 0.577 0.437 0.558
0.800 0.455 0.520 0.476 0.475 0.396 0.605 0.409 0.584 0.429 0.564
0.867 0.449 0.527 0.470 0.482 0.390 0.614 0.404 0.591 0.420 0.570
0.933 0.444 0.534 0.466 0.492 0.379 0.622 0.396 0.600 0.409 0.576
1.000 0.439 0.539 0.461 0.503 0.370 0.628 0.388 0.607 0.399 0.582
1.067 0.435 0.544 0.456 0.514 0.363 0.632 0.380 0.615 0.388 0.589
1.133 nan nan 0.451 0.525 nan nan nan nan 0.374 0.596
1.200 nan nan 0.445 0.536 nan nan nan nan 0.361 0.604
1.267 nan nan 0.438 0.546 nan nan nan nan 0.351 0.610
1.333 0.417 0.566 0.431 0.557 nan nan nan nan 0.342 0.614
1.400 0.407 0.577 0.423 0.569 nan nan nan nan 0.331 0.620
1.467 0.399 0.588 0.414 0.580 nan nan nan nan 0.322 0.626
1.533 0.390 0.598 0.406 0.590 nan nan nan nan 0.312 0.632
1.600 0.384 0.607 0.397 0.599 nan nan nan nan nan nan
1.667 nan nan nan nan nan nan nan nan nan nan
1.733 nan nan nan nan 0.288 0.682 0.314 0.676 nan nan
1.800 nan nan nan nan 0.280 0.686 0.315 0.683 nan nan
1.867 nan nan nan nan 0.270 0.694 0.317 0.688 nan nan
1.933 0.354 0.645 0.372 0.627 0.260 0.702 0.318 0.692 nan nan
2.000 0.346 0.657 0.368 0.631 0.251 0.709 0.319 0.694 nan nan
2.067 0.340 0.666 0.362 0.634 0.243 0.714 0.320 0.697 0.250 0.691
2.133 0.335 0.673 0.352 0.638 0.237 0.718 0.320 0.699 0.242 0.701
2.200 0.331 0.679 0.344 0.642 0.225 0.720 0.319 0.705 0.233 0.708
2.267 0.323 0.685 0.337 0.645 nan nan 0.317 0.709 nan nan
2.333 0.314 0.693 0.332 0.647 nan nan 0.314 0.712 nan nan
2.400 0.304 0.700 0.322 0.653 0.194 0.723 0.306 0.717 0.213 0.727
2.467 0.294 0.706 0.312 0.661 0.185 0.723 0.298 0.721 0.209 0.731
2.533 0.287 0.710 0.303 0.668 0.173 0.724 0.292 0.724 0.205 0.734
2.600 0.278 0.714 0.296 0.674 0.163 0.724 0.288 0.726 0.202 0.737
2.667 0.268 0.718 0.289 0.679 0.154 0.724 0.283 0.727 0.199 0.740
2.733 0.258 0.721 0.284 0.684 0.147 0.725 0.274 0.726 0.194 0.745
2.800 nan nan 0.276 0.688 0.141 0.725 nan nan 0.183 0.750
2.867 0.241 0.726 0.266 0.693 0.133 0.726 0.263 0.721 0.171 0.753
2.933 0.232 0.728 0.254 0.699 0.125 0.727 0.262 0.713 0.161 0.755
3.000 0.221 0.732 0.243 0.702 0.113 0.731 0.262 0.706 0.152 0.757
3.067 0.210 0.734 0.231 0.706 0.103 0.734 0.262 0.701 0.143 0.756
3.133 0.199 0.737 0.219 0.709 0.096 0.737 0.263 0.696 0.133 0.754
3.200 0.188 0.740 0.210 0.711 0.090 0.739 0.263 0.693 0.126 0.750
3.267 0.178 0.742 0.203 0.712 0.084 0.741 0.264 0.690 0.120 0.747
3.333 0.167 0.743 0.194 0.711 0.079 0.746 0.264 0.688 0.115 0.743
3.400 0.158 0.745 0.182 0.711 0.073 0.753 0.265 0.686 0.107 0.737
3.467 0.150 0.747 0.171 0.710 0.070 0.757 0.264 0.683 0.102 0.731
3.533 0.144 0.748 0.161 0.708 0.065 0.764 0.259 0.679 0.097 0.726
3.600 0.139 0.749 0.155 0.707 0.062 0.768 0.254 0.680 0.093 0.722
3.667 0.133 0.750 0.147 0.705 0.062 0.778 0.249 0.688 0.089 0.720
3.733 0.128 0.750 0.143 0.704 0.064 0.788 0.246 0.693 0.081 0.720
3.800 0.122 0.750 0.140 0.699 0.067 0.797 0.236 0.703 0.074 0.720
3.867 0.117 0.749 0.135 0.698 0.073 0.808 0.229 0.709 0.064 0.721
3.933 0.113 0.748 0.130 0.704 0.078 0.817 0.219 0.718 0.063 0.723
4.000 0.109 0.747 0.127 0.708 0.083 0.827 0.209 0.725 0.061 0.727
4.067 0.105 0.747 0.124 0.712 0.087 0.834 0.200 0.732 0.056 0.732
4.133 0.102 0.747 0.118 0.717 0.090 0.841 0.190 0.740 0.054 0.736
4.200 0.100 0.747 0.113 0.724 0.093 0.847 0.181 0.747 0.056 0.742
4.267 0.097 0.746 0.109 0.728 0.096 0.852 0.171 0.755 0.060 0.750
4.333 nan nan nan nan 0.098 0.856 0.160 0.763 0.063 0.755
4.400 nan nan nan nan 0.100 0.861 0.151 0.769 0.065 0.759
4.467 nan nan nan nan 0.102 0.864 0.143 0.774 0.070 0.765
4.533 0.091 0.745 0.106 0.767 0.103 0.867 0.137 0.778 0.071 0.768
4.600 0.089 0.745 0.108 0.779 0.107 0.873 0.131 0.781 0.072 0.773
4.667 0.088 0.745 0.110 0.792 0.113 0.881 0.123 0.784 0.073 0.781
4.733 0.087 0.750 0.111 0.806 0.119 0.888 0.116 0.786 0.073 0.787
4.800 0.086 0.756 0.113 0.818 0.123 0.894 0.114 0.785 0.074 0.793
4.867 0.087 0.761 0.115 0.831 0.127 0.899 0.117 0.779 0.074 0.804
4.933 0.086 0.769 0.117 0.844 0.131 0.904 0.119 0.775 0.074 0.816
5.000 0.087 0.778 0.119 0.857 0.133 0.908 0.121 0.771 0.074 0.826
5.067 0.087 0.788 0.121 0.869 0.137 0.912 0.126 0.770 0.075 0.834
5.133 0.088 0.799 0.123 0.880 0.148 0.919 0.134 0.770 0.076 0.842
5.200 0.090 0.811 0.124 0.889 0.163 0.927 0.140 0.770 0.078 0.854
5.267 0.092 0.823 0.127 0.896 0.175 0.932 0.145 0.771 0.079 0.866
5.333 0.094 0.837 0.131 0.904 0.184 0.937 0.150 0.771 0.083 0.882
5.400 0.096 0.850 0.140 0.910 0.194 0.942 0.153 0.771 0.085 0.893
5.467 0.100 0.865 0.150 0.916 0.202 0.944 0.157 0.772 0.087 0.903
5.533 0.103 0.877 0.157 0.920 0.215 0.941 0.160 0.772 0.088 0.911
5.600 0.106 0.889 0.166 0.923 0.225 0.939 0.162 0.772 0.089 0.918
5.667 0.108 0.897 0.174 0.926 0.232 0.938 0.165 0.772 0.090 0.923
5.733 0.110 0.905 0.184 0.927 0.245 0.934 0.166 0.775 0.091 0.928
5.800 0.112 0.912 0.194 0.926 0.249 0.933 0.165 0.781 0.091 0.932
5.867 0.114 0.917 0.203 0.925 0.253 0.933 0.161 0.794 0.103 0.940
5.933 0.123 0.922 0.213 0.924 0.258 0.932 0.156 0.807 0.106 0.942
6.000 0.136 0.923 0.222 0.922 0.262 0.928 0.153 0.819 0.110 0.944
6.067 0.150 0.923 0.228 0.920 0.264 0.918 0.150 0.829 0.118 0.945
6.133 0.161 0.922 0.235 0.917 0.266 0.910 0.147 0.840 0.128 0.943
6.200 0.172 0.922 0.241 0.914 0.266 0.903 0.145 0.850 0.136 0.941
6.267 0.184 0.922 0.244 0.910 0.267 0.896 0.146 0.859 0.144 0.934
6.333 0.195 0.923 0.247 0.903 0.267 0.890 0.148 0.867 0.151 0.927
6.400 0.207 0.922 0.249 0.898 0.267 0.886 0.151 0.873 0.159 0.918
6.467 0.216 0.922 0.251 0.895 0.267 0.881 0.159 0.878 0.166 0.912
6.533 0.224 0.922 0.252 0.890 0.263 0.875 0.165 0.881 0.171 0.907
6.600 0.231 0.922 0.249 0.886 0.257 0.867 0.171 0.882 0.176 0.902
6.667 0.237 0.922 0.245 0.881 0.251 0.861 0.181 0.885 0.179 0.898
6.733 0.243 0.922 0.242 0.879 0.246 0.856 nan nan nan nan
6.800 0.247 0.922 0.239 0.878 0.242 0.851 0.196 0.888 0.185 0.873
6.867 0.253 0.919 0.238 0.877 0.238 0.847 0.202 0.888 0.187 0.863
6.933 0.259 0.915 0.237 0.877 0.236 0.844 0.208 0.889 0.188 0.854
7.000 0.264 0.910 0.234 0.875 0.233 0.841 0.213 0.889 0.189 0.847
7.067 0.270 0.903 0.230 0.871 0.231 0.838 0.219 0.888 0.190 0.841
7.133 0.275 0.894 0.226 0.865 0.229 0.836 0.226 0.886 0.190 0.835
7.200 0.279 0.887 0.224 0.859 0.227 0.834 0.231 0.884 0.191 0.831
7.267 0.282 0.880 0.222 0.853 0.226 0.832 0.238 0.879 0.192 0.827
7.333 0.285 0.873 0.221 0.849 0.222 0.825 0.244 0.871 0.192 0.823
7.400 0.288 0.867 0.225 0.843 0.219 0.817 0.248 0.863 0.193 0.820
7.467 0.290 0.862 0.227 0.837 0.218 0.810 0.252 0.855 0.193 0.817
7.533 0.290 0.856 0.230 0.833 0.224 0.799 0.255 0.846 0.194 0.814
7.600 0.289 0.843 0.233 0.828 0.228 0.791 0.259 0.835 0.194 0.812
7.667 0.288 0.830 0.240 0.821 0.232 0.784 0.262 0.825 0.196 0.808
7.733 0.287 0.819 0.248 0.812 0.236 0.777 0.264 0.816 0.198 0.803
7.800 0.286 0.808 0.257 0.802 0.240 0.773 0.266 0.805 0.202 0.797
7.867 0.286 0.794 0.264 0.792 0.250 0.766 0.268 0.795 0.204 0.792
7.933 0.285 0.783 nan nan 0.259 0.759 nan nan 0.206 0.787
8.000 0.285 0.774 nan nan 0.267 0.752 nan nan 0.212 0.781
8.067 nan nan nan nan 0.272 0.746 nan nan 0.220 0.773
8.133 nan nan 0.288 0.744 0.274 0.737 nan nan 0.226 0.766
8.200 nan nan 0.295 0.734 0.275 0.730 nan nan 0.233 0.761
8.267 nan nan 0.301 0.726 0.276 0.723 nan nan 0.238 0.756
8.333 nan nan 0.306 0.720 0.276 0.718 nan nan 0.243 0.753
8.400 nan nan nan nan 0.277 0.714 nan nan 0.247 0.750
8.467 nan nan nan nan 0.277 0.710 nan nan 0.249 0.743
8.533 nan nan nan nan 0.277 0.707 nan nan 0.252 0.734
8.600 nan nan nan nan 0.280 0.698 nan nan 0.255 0.724
8.667 nan nan nan nan 0.284 0.690 nan nan 0.258 0.716
8.733 0.321 0.706 0.325 0.690 0.288 0.683 0.319 0.686 0.260 0.710
8.800 0.329 0.699 0.328 0.683 0.293 0.675 0.320 0.678 0.261 0.705
8.867 0.335 0.694 0.330 0.677 0.297 0.668 0.321 0.671 0.263 0.701
8.933 0.341 0.688 0.332 0.670 0.300 0.662 0.321 0.664 0.264 0.697
9.000 0.346 0.684 0.336 0.660 0.302 0.655 0.321 0.659 0.267 0.688
9.067 0.349 0.680 0.342 0.650 0.304 0.645 0.322 0.655 0.274 0.675
9.133 0.353 0.676 0.346 0.641 0.306 0.635 0.322 0.650 0.279 0.664
9.200 0.355 0.670 0.351 0.634 0.308 0.624 0.324 0.641 nan nan
9.267 0.359 0.658 0.354 0.627 0.310 0.618 0.326 0.633 nan nan
9.333 0.364 0.646 0.357 0.622 0.321 0.610 0.322 0.630 nan nan
9.400 0.367 0.637 0.359 0.617 0.330 0.604 0.324 0.626 nan nan
9.467 0.369 0.629 0.361 0.612 0.337 0.598 0.326 0.625 nan nan
9.533 0.372 0.622 0.363 0.608 0.350 0.591 0.330 0.621 nan nan
9.600 0.374 0.616 0.364 0.605 0.360 0.585 0.333 0.613 0.340 0.626
9.667 0.377 0.609 nan nan 0.369 0.580 0.339 0.607 0.351 0.622
9.733 0.381 0.601 nan nan 0.376 0.575 0.346 0.600 0.358 0.619
9.800 0.385 0.593 nan nan 0.386 0.567 0.355 0.592 0.371 0.616
9.867 0.389 0.586 nan nan 0.396 0.559 0.363 0.586 0.383 0.614
9.933 0.396 0.577 nan nan nan nan nan nan 0.392 0.611
10.000 0.405 0.568 nan nan nan nan nan nan 0.401 0.610
10.067 0.413 0.559 nan nan nan nan nan nan 0.408 0.608
10.133 0.421 0.539 nan nan nan nan 0.400 0.562 0.414 0.607
10.200 nan nan nan nan nan nan nan nan 0.420 0.606
10.267 nan nan 0.424 0.524 nan nan nan nan 0.424 0.606
10.333 nan nan 0.434 0.516 nan nan 0.431 0.551 0.428 0.605
