# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y
0.000 0.584 0.420 0.578 0.405 0.518 0.454 0.556 0.456 0.608 0.429
0.067 0.584 0.420 0.578 0.405 0.518 0.454 0.556 0.456 0.608 0.429
0.133 0.587 0.419 0.583 0.402 0.519 0.451 0.561 0.449 0.608 0.427
0.200 0.587 0.419 0.583 0.402 0.519 0.451 0.561 0.449 0.608 0.427
0.267 0.594 0.417 0.588 0.400 0.520 0.447 0.566 0.442 0.611 0.424
0.333 0.600 0.413 0.592 0.398 0.523 0.440 0.569 0.436 0.615 0.420
0.400 0.600 0.413 0.592 0.398 0.523 0.440 0.569 0.436 0.615 0.420
0.467 0.615 0.405 0.592 0.409 0.527 0.420 0.578 0.424 0.622 0.412
0.533 0.617 0.403 0.591 0.414 0.528 0.417 0.579 0.419 0.622 0.407
0.600 0.620 0.401 0.591 0.414 0.528 0.417 0.579 0.419 0.623 0.403
0.667 0.623 0.400 0.590 0.418 0.530 0.415 0.581 0.413 0.623 0.399
0.733 0.626 0.398 0.589 0.425 0.543 0.406 0.584 0.406 0.623 0.395
0.800 0.629 0.397 0.589 0.425 0.543 0.406 0.584 0.406 0.623 0.391
0.867 0.631 0.395 0.589 0.431 0.555 0.401 0.586 0.400 0.624 0.387
0.933 0.634 0.393 0.588 0.433 0.559 0.399 0.587 0.398 0.625 0.382
1.000 0.636 0.392 0.588 0.435 0.563 0.396 0.588 0.396 0.625 0.373
1.067 0.636 0.392 0.588 0.435 0.563 0.396 0.588 0.396 0.625 0.373
1.133 0.637 0.388 0.586 0.439 0.567 0.395 0.589 0.393 0.627 0.365
1.200 0.637 0.380 0.579 0.451 0.573 0.391 0.591 0.391 0.628 0.358
1.267 0.637 0.380 0.579 0.451 0.573 0.391 0.591 0.391 0.628 0.358
1.333 0.638 0.373 0.573 0.460 0.578 0.388 0.611 0.392 0.630 0.349
1.400 0.638 0.371 0.571 0.463 0.580 0.387 0.619 0.392 0.631 0.344
1.467 0.638 0.371 0.571 0.463 0.580 0.387 0.619 0.392 0.631 0.344
1.533 0.638 0.368 0.563 0.474 0.583 0.386 0.625 0.392 0.632 0.342
1.600 0.638 0.366 0.555 0.486 0.588 0.384 0.630 0.392 0.633 0.340
1.667 0.638 0.366 0.555 0.486 0.588 0.384 0.630 0.392 0.633 0.340
1.733 0.638 0.360 0.539 0.510 0.600 0.380 0.642 0.392 0.652 0.328
1.800 0.638 0.356 0.533 0.521 0.608 0.373 0.646 0.393 0.658 0.325
1.867 0.638 0.356 0.533 0.521 0.608 0.373 0.646 0.393 0.658 0.325
1.933 0.638 0.356 0.533 0.521 0.608 0.373 0.646 0.393 0.658 0.325
2.000 0.638 0.352 0.540 0.516 0.614 0.370 0.647 0.394 0.667 0.323
2.067 0.638 0.352 0.540 0.516 0.614 0.370 0.647 0.394 0.667 0.323
2.133 0.637 0.343 0.558 0.498 0.629 0.362 0.652 0.395 0.684 0.319
2.200 0.637 0.342 0.562 0.495 0.632 0.360 0.653 0.395 0.687 0.318
2.267 0.637 0.342 0.562 0.495 0.632 0.360 0.653 0.395 0.687 0.318
2.333 0.637 0.338 0.574 0.479 0.638 0.357 0.660 0.393 0.691 0.318
2.400 0.637 0.338 0.574 0.479 0.638 0.357 0.660 0.393 0.691 0.318
2.467 0.637 0.338 0.574 0.479 0.638 0.357 0.660 0.393 0.691 0.318
2.533 0.638 0.332 0.591 0.457 0.650 0.352 0.669 0.388 0.703 0.318
2.600 0.638 0.332 0.591 0.457 0.650 0.352 0.669 0.388 0.703 0.318
2.667 0.639 0.331 0.595 0.451 0.661 0.347 0.671 0.386 0.706 0.319
2.733 0.641 0.330 0.600 0.444 0.671 0.341 0.673 0.385 0.708 0.319
2.800 0.641 0.330 0.600 0.444 0.671 0.341 0.673 0.385 0.708 0.319
2.867 0.652 0.319 0.620 0.411 0.694 0.329 0.683 0.376 0.716 0.321
2.933 0.660 0.313 0.625 0.399 0.700 0.326 0.689 0.370 0.720 0.321
3.000 0.660 0.313 0.625 0.399 0.700 0.326 0.689 0.370 0.720 0.321
3.067 0.673 0.303 0.633 0.378 0.709 0.322 0.697 0.362 0.730 0.323
3.133 0.673 0.303 0.633 0.378 0.709 0.322 0.697 0.362 0.730 0.323
3.200 0.673 0.303 0.633 0.378 0.709 0.322 0.697 0.362 0.730 0.323
3.267 0.688 0.293 0.648 0.349 0.722 0.312 0.711 0.350 0.735 0.321
3.333 0.691 0.291 0.653 0.342 0.734 0.300 0.716 0.347 0.743 0.327
3.400 0.691 0.291 0.653 0.342 0.734 0.300 0.716 0.347 0.743 0.327
3.467 0.695 0.288 0.658 0.335 0.739 0.294 0.719 0.344 0.750 0.326
3.533 0.708 0.276 0.668 0.324 0.748 0.285 0.726 0.339 0.757 0.321
3.600 0.708 0.276 0.668 0.324 0.748 0.285 0.726 0.339 0.757 0.321
3.667 0.721 0.264 0.685 0.312 0.755 0.278 0.730 0.336 0.762 0.319
3.733 0.725 0.258 0.692 0.308 0.757 0.274 0.735 0.328 0.757 0.315
