# TimeStep fish0X fish0Y fish1X fish1Y fish2X fish2Y fish3X fish3Y fish4X fish4Y
0.000 0.331 0.688 0.359 0.696 0.282 0.715 0.376 0.672 0.315 0.701
0.067 0.331 0.688 0.359 0.696 0.282 0.715 0.376 0.672 0.326 0.692
0.133 0.345 0.678 0.370 0.686 0.291 0.707 0.386 0.660 0.341 0.682
0.200 0.359 0.668 0.381 0.676 0.314 0.690 0.401 0.639 0.357 0.673
0.267 0.364 0.659 0.385 0.672 0.322 0.685 0.408 0.629 0.372 0.663
0.333 0.364 0.659 0.385 0.672 0.322 0.685 0.408 0.629 0.372 0.663
0.400 0.369 0.651 0.394 0.666 0.329 0.681 0.415 0.621 0.381 0.657
0.467 0.378 0.640 0.410 0.655 0.354 0.665 0.435 0.602 0.400 0.646
0.533 0.381 0.636 0.421 0.648 0.364 0.658 0.448 0.591 0.407 0.641
0.600 0.386 0.627 0.427 0.643 0.372 0.653 0.458 0.583 0.414 0.636
0.667 0.386 0.627 0.427 0.643 0.372 0.653 0.458 0.583 0.414 0.636
0.733 0.393 0.616 0.432 0.633 0.378 0.648 0.466 0.577 0.420 0.632
0.800 0.400 0.604 0.439 0.624 0.384 0.644 0.474 0.570 0.425 0.629
0.867 0.409 0.592 0.446 0.617 0.388 0.641 0.481 0.562 0.427 0.627
0.933 0.418 0.582 0.457 0.605 0.393 0.638 0.489 0.551 0.432 0.616
1.000 0.426 0.575 0.467 0.594 0.400 0.630 0.495 0.543 0.437 0.607
1.067 0.433 0.569 0.478 0.582 0.410 0.619 0.501 0.536 0.444 0.597
1.133 0.439 0.564 0.491 0.569 0.418 0.611 0.513 0.524 0.451 0.587
1.200 0.444 0.560 0.504 0.556 0.424 0.604 0.525 0.515 0.458 0.577
1.267 0.444 0.560 0.504 0.556 0.424 0.604 0.525 0.515 0.458 0.577
1.333 0.457 0.546 0.521 0.539 0.448 0.588 0.543 0.502 0.470 0.564
1.400 0.468 0.534 0.528 0.531 0.459 0.580 0.551 0.497 0.480 0.559
1.467 0.476 0.525 0.537 0.521 0.468 0.575 0.557 0.493 0.491 0.555
1.533 0.484 0.518 0.544 0.515 0.475 0.571 0.565 0.486 0.501 0.552
1.600 0.490 0.513 0.552 0.508 0.483 0.559 0.575 0.477 0.505 0.551
1.667 0.495 0.508 0.558 0.502 0.490 0.546 0.584 0.469 0.518 0.542
1.733 0.505 0.504 0.563 0.497 0.496 0.535 0.591 0.464 0.523 0.535
1.800 0.516 0.498 0.567 0.494 0.501 0.524 0.597 0.459 0.530 0.525
