timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
0.00 0.041 1.092 0.943 0.560 1.008 0.371 1.003 0.766 1.027 0.493 1.119 0.730 1.123 0.155 1.136 0.396 1.159 0.345 1.135 0.380
1.00 0.071 1.119 0.975 0.368 1.001 0.696 1.009 0.409 1.045 0.400 1.058 0.064 1.085 0.186 1.106 0.276 1.110 0.679 1.116 0.366
2.00 0.129 1.151 0.925 0.070 0.925 0.090 0.994 0.618 1.000 0.377 1.035 0.183 1.083 0.160 1.107 0.494 1.022 0.279 1.111 0.646
3.00 0.746 0.093 0.793 0.067 0.949 0.193 0.992 0.079 1.005 0.533 1.075 0.671 1.146 0.650 1.159 0.213 0.996 0.312 0.210 1.165
4.00 0.577 0.114 0.651 0.126 0.804 0.148 0.851 0.053 1.035 0.284 1.047 0.435 1.085 0.338 1.120 0.681 0.307 1.167 1.027 0.790
5.00 0.341 1.141 0.441 0.157 0.476 0.198 0.630 0.132 0.699 0.082 0.909 0.401 1.026 0.407 1.068 0.380 1.075 0.729 0.904 0.861
6.00 0.412 1.129 0.467 0.219 0.556 0.112 0.664 0.300 0.785 0.329 0.849 0.750 1.031 0.781 1.074 0.406 0.336 0.185 0.313 0.198
7.00 0.256 0.140 0.278 0.148 0.403 0.240 0.416 0.157 0.513 1.156 0.550 0.281 0.759 0.504 0.284 0.243 1.032 0.432 1.006 0.841
8.00 0.217 0.079 0.259 0.145 0.296 0.126 0.494 0.301 0.612 1.154 0.988 0.465 0.982 0.871 0.331 0.181 0.326 0.239 0.307 0.189
9.00 0.257 0.160 0.263 0.119 0.308 0.094 0.717 1.141 0.939 0.487 0.286 0.166 0.216 0.183 0.221 0.211 0.305 0.234 0.980 0.912
10.00 0.262 0.150 0.885 0.492 1.004 0.946 0.820 1.165 0.305 0.215 0.271 0.187 0.181 0.166 0.160 0.226 0.205 0.230 0.187 0.264
11.00 0.122 0.302 0.865 1.140 1.045 0.938 0.195 0.320 0.166 0.211 0.200 0.211 0.260 0.189 0.250 0.262 0.846 0.496 0.223 0.279
12.00 0.150 0.388 0.796 0.522 0.901 1.109 1.072 0.921 0.252 0.370 0.244 0.342 0.205 0.292 0.166 0.273 0.184 0.258 0.265 0.237
13.00 0.759 0.547 0.970 1.125 0.247 0.252 0.195 0.299 0.223 0.337 0.229 0.359 0.268 0.359 0.250 0.324 0.289 0.335 1.077 0.912
14.00 0.728 0.555 1.058 1.155 1.093 0.884 0.208 0.348 0.213 0.303 0.242 0.329 0.265 0.329 0.273 0.312 0.297 0.352 0.933 0.919
15.00 0.701 0.551 1.151 1.128 1.080 0.856 0.226 0.370 0.179 0.346 0.258 0.335 0.265 0.294 0.292 0.322 0.313 0.318 1.080 0.858
16.00 0.660 0.574 1.166 1.077 1.048 0.841 0.234 0.370 0.200 0.361 0.184 0.344 0.226 0.327 0.223 0.290 0.331 0.339 0.281 0.290
17.00 0.162 0.308 0.636 0.611 1.161 1.013 1.030 0.846 0.284 0.350 0.244 0.331 0.205 0.335 0.244 0.292 0.281 0.342 0.294 0.297
18.00 0.626 0.653 0.174 0.275 0.216 0.331 0.218 0.294 0.223 0.273 0.281 0.314 1.148 1.011 1.004 0.856 0.286 0.260 0.273 0.282
19.00 0.156 0.264 0.629 0.691 1.124 0.976 0.988 0.865 0.242 0.374 0.244 0.299 0.195 0.290 0.187 0.247 0.229 0.247 0.286 0.254
20.00 0.627 0.716 1.117 0.876 0.993 0.938 0.268 0.346 0.216 0.327 0.216 0.303 0.221 0.288 0.163 0.286 0.244 0.252 0.292 0.282
21.00 0.610 0.742 0.964 0.886 1.158 0.766 0.271 0.357 0.179 0.337 0.205 0.297 0.208 0.275 0.271 0.275 0.260 0.303 0.276 0.294
22.00 0.584 0.769 1.170 0.640 0.210 0.367 0.181 0.333 0.244 0.337 0.223 0.284 0.284 0.350 0.302 0.309 0.954 0.903 0.279 0.241
23.00 0.249 0.399 0.289 0.339 0.263 0.357 0.244 0.357 0.197 0.316 0.231 0.252 0.286 0.237 0.549 0.786 1.161 0.524 0.940 0.906
24.00 0.518 0.814 0.977 0.927 1.164 0.417 0.310 0.385 0.218 0.380 0.279 0.363 0.289 0.339 0.305 0.337 0.223 0.312 0.213 0.305
25.00 0.275 0.422 0.352 0.608 0.477 0.829 1.178 0.301 1.004 0.925 0.342 0.378 0.260 0.355 0.292 0.357 0.310 0.333 0.310 0.316
26.00 0.327 0.483 0.367 0.633 0.452 0.852 0.483 0.829 1.174 0.237 0.336 0.385 0.313 0.348 0.321 0.324 0.344 0.318 0.292 0.279
27.00 0.372 0.420 0.378 0.679 0.386 0.627 0.428 0.888 0.433 0.792 0.468 0.872 1.115 0.208 0.286 0.370 0.339 0.324 0.363 0.297
28.00 0.327 0.829 0.362 0.488 0.366 0.885 0.408 0.641 0.410 0.857 0.439 0.908 0.448 0.845 1.086 0.126 0.352 0.344 0.268 0.264
29.00 0.298 0.914 0.335 0.875 0.388 0.868 0.433 0.700 0.441 0.941 1.097 0.092 0.344 0.387 0.940 0.873 0.263 0.903 0.260 0.910
30.00 0.193 0.898 0.207 1.041 0.306 0.796 0.307 0.783 0.348 0.675 0.415 0.955 0.483 0.850 1.081 0.083 0.310 0.507 0.946 0.867
31.00 0.304 0.666 0.338 1.025 0.351 0.941 0.355 0.781 0.373 0.967 0.403 0.760 0.541 0.580 0.620 0.502 1.025 0.075 0.940 0.871
32.00 0.347 0.956 0.365 0.771 0.423 0.800 0.490 0.812 0.589 0.665 0.591 0.700 0.697 0.630 0.713 0.602 0.958 0.018 0.946 0.873
33.00 0.493 0.760 0.606 0.616 0.675 0.657 0.685 0.665 0.714 0.708 0.876 0.022 0.355 0.912 0.933 0.867 0.696 0.715 0.717 0.700
34.00 0.373 0.883 0.654 0.752 0.703 0.661 0.803 0.654 0.818 0.595 0.848 0.031 0.872 0.550 0.887 0.543 0.741 0.593 0.940 0.876
35.00 0.415 0.849 0.777 0.590 0.841 0.791 0.845 0.334 0.859 0.277 0.881 0.416 0.904 0.373 0.791 0.350 0.814 0.029 0.933 0.880
36.00 0.443 0.827 0.705 0.103 0.708 0.130 0.733 0.145 0.745 0.236 0.756 0.160 0.762 0.036 0.821 0.410 0.948 0.818 0.935 0.873
37.00 0.474 0.088 0.467 0.781 0.482 0.149 0.501 0.181 0.533 0.098 0.536 0.188 0.666 0.021 0.722 0.240 1.051 0.747 0.940 0.876
38.00 0.263 0.139 0.491 0.739 0.535 0.188 1.031 0.598 0.355 0.219 0.300 0.230 0.310 0.200 0.310 0.172 0.615 0.020 0.948 0.863
39.00 0.106 0.188 0.144 0.222 0.147 0.185 0.531 0.699 0.578 0.029 0.933 0.444 0.940 0.867 0.352 0.204 0.216 0.256 0.213 0.232
40.00 0.057 0.319 0.095 0.184 0.148 0.227 0.539 0.042 0.580 0.657 0.793 0.303 0.237 0.243 0.047 0.192 0.045 0.391 0.967 0.861
41.00 0.056 0.611 0.056 0.558 0.076 0.387 0.082 0.323 0.138 0.405 0.152 0.383 0.614 0.603 0.647 0.187 0.452 0.026 0.940 0.873
42.00 0.080 0.583 0.077 0.864 0.096 0.816 0.113 0.635 0.118 0.475 0.162 0.559 0.496 0.085 0.617 0.539 0.381 0.005 0.946 0.869
43.00 0.097 1.132 0.114 0.847 0.113 0.761 0.122 1.084 0.143 0.628 0.158 0.779 0.596 0.458 0.336 0.056 0.321 0.031 0.933 0.876
44.00 0.121 0.937 0.137 1.038 0.142 0.862 0.173 1.014 0.196 1.163 0.214 0.062 0.269 1.142 0.940 0.871 0.565 0.387 0.210 0.020
