timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
0.00 0.137 0.829 0.160 0.990 0.153 0.573 0.265 0.930 0.264 1.057 0.285 0.890 0.284 0.973 0.323 0.982 0.400 0.960 0.610 0.968
1.00 0.243 0.726 0.282 0.959 0.407 1.101 0.476 0.900 0.514 0.941 0.688 0.944 0.405 0.944 0.341 1.035 0.465 0.982 0.459 0.959
2.00 0.370 0.841 0.411 0.852 0.453 1.006 0.482 0.952 0.521 1.102 0.562 0.888 0.614 0.964 0.739 0.919 0.425 0.975 0.427 0.997
3.00 0.382 0.891 0.442 0.890 0.439 0.935 0.482 1.054 0.507 1.004 0.594 0.961 0.620 1.087 0.679 0.878 0.748 0.922 0.764 0.859
4.00 0.407 0.944 0.535 0.937 0.634 0.989 0.651 1.052 0.680 0.918 0.686 1.101 0.764 0.905 0.767 0.834 0.785 0.831 0.534 0.944
5.00 0.501 0.935 0.667 0.911 0.708 0.875 0.742 0.885 0.757 0.804 0.765 0.978 0.770 1.079 0.803 0.841 0.736 1.140 0.731 0.890
6.00 0.591 0.748 0.626 0.925 0.677 0.808 0.740 0.862 0.763 0.813 0.791 0.854 0.829 1.151 0.805 0.897 0.844 1.002 0.862 0.913
7.00 0.354 0.704 0.587 0.732 0.643 0.712 0.740 0.926 0.735 0.761 0.779 0.767 0.918 1.078 0.877 1.006 0.874 0.919 0.835 0.822
8.00 0.270 0.557 0.451 0.615 0.510 0.613 0.683 0.728 0.679 0.746 0.737 0.764 0.856 1.089 0.926 1.034 0.864 0.969 0.951 0.926
9.00 0.300 0.440 0.327 0.468 0.352 0.519 0.576 0.657 0.649 0.697 0.955 1.097 0.979 1.020 0.991 1.006 0.977 0.975 0.701 0.761
10.00 0.245 0.587 0.269 0.534 0.503 0.566 0.570 0.628 0.693 0.699 1.008 1.045 1.132 1.027 1.146 1.009 1.141 0.942 0.258 0.390
11.00 0.162 0.275 0.324 0.631 0.388 0.495 0.604 0.615 1.098 1.004 1.148 0.841 1.161 0.902 1.168 0.869 0.422 0.581 0.418 0.570
12.00 0.303 0.395 0.332 0.477 0.566 0.590 0.596 0.617 1.080 0.827 1.109 0.750 1.141 0.754 1.159 0.883 0.454 0.603 0.283 0.231
13.00 0.433 0.514 0.638 0.640 0.675 0.637 0.894 0.686 1.046 0.640 1.050 0.702 1.127 0.704 0.306 0.399 0.340 0.372 1.014 0.666
14.00 0.406 0.389 0.469 0.497 0.637 0.650 0.795 0.654 0.876 0.655 0.933 0.672 0.948 0.666 1.004 0.586 1.005 0.569 1.052 0.651
15.00 0.531 0.483 0.640 0.562 0.873 0.688 0.888 0.603 0.884 0.731 0.890 0.657 0.918 0.716 0.923 0.530 0.982 0.526 1.012 0.789
16.00 0.675 0.559 0.760 0.667 0.782 0.561 0.847 0.555 0.873 0.485 0.922 0.771 0.929 0.752 0.933 0.639 0.993 0.595 1.037 0.770
17.00 0.778 0.526 0.786 0.599 0.786 0.676 0.809 0.763 0.869 0.522 0.876 0.562 0.873 0.510 0.964 0.720 1.032 0.708 1.104 0.451
18.00 0.730 0.498 0.799 0.450 0.889 0.672 0.901 0.763 0.922 0.701 0.972 0.529 1.004 0.448 1.067 0.600 1.096 0.475 1.121 0.290
19.00 0.746 0.501 0.822 0.346 1.001 0.695 1.022 0.728 1.040 0.424 1.061 0.302 1.071 0.535 1.079 0.501 1.092 0.381 1.096 0.311
20.00 0.813 0.442 0.926 0.303 0.967 0.191 1.030 0.396 1.054 0.293 1.074 0.260 1.086 0.370 1.087 0.562 1.114 0.563 1.122 0.276
21.00 0.750 0.040 0.864 0.348 0.923 0.151 0.922 0.198 0.928 0.283 0.948 0.161 1.015 0.137 1.015 0.211 1.085 0.393 1.118 0.379
22.00 0.625 0.068 0.736 0.079 0.772 0.215 0.833 0.066 0.848 0.151 0.914 0.131 0.922 0.061 1.043 0.207 1.066 0.181 0.762 0.114
23.00 0.576 0.112 0.577 0.056 0.592 0.053 0.684 0.078 0.758 0.138 0.778 0.052 0.839 0.016 0.934 0.063 0.951 0.085 0.629 0.149
24.00 0.499 0.178 0.511 0.078 0.547 0.068 0.547 0.085 0.553 0.026 0.642 0.050 0.676 0.066 0.770 0.058 0.805 0.012 0.859 0.049
25.00 0.415 0.021 0.440 0.222 0.460 0.145 0.457 0.100 0.475 0.071 0.504 0.060 0.560 0.077 0.654 0.139 0.695 0.053 0.791 0.022
26.00 0.364 0.034 0.369 0.104 0.366 0.144 0.416 0.129 0.416 0.255 0.463 0.179 0.525 0.170 0.550 0.040 0.659 0.056 0.385 0.209
27.00 0.333 0.050 0.397 0.021 0.403 0.187 0.414 0.284 0.448 0.338 0.458 0.226 0.496 0.054 0.336 0.191 0.258 0.202 0.373 0.376
28.00 0.225 0.160 0.307 0.071 0.326 0.535 0.357 0.447 0.394 0.056 0.407 0.381 0.408 0.484 0.214 0.305 0.286 0.307 0.343 0.290
29.00 0.127 0.375 0.169 0.212 0.171 0.564 0.196 0.421 0.215 0.518 0.215 0.444 0.246 0.121 0.289 0.484 0.306 0.587 0.291 0.387
30.00 0.047 0.451 0.062 0.392 0.065 0.337 0.071 0.437 0.147 0.530 0.159 0.259 0.153 0.430 0.176 0.414 0.131 0.530 0.045 0.441
31.00 0.012 0.373 0.034 0.359 0.032 0.467 0.055 0.320 0.083 0.401 0.103 0.448 0.038 0.452 0.052 0.452 0.052 0.463 0.094 0.508
32.00 0.031 0.500 0.040 0.245 0.050 0.288 0.072 0.470 0.069 0.372 0.075 0.434 0.100 0.401 0.047 0.561 0.065 0.556 0.050 0.516
33.00 0.038 0.558 0.043 0.630 0.054 0.206 0.055 0.627 0.063 0.624 0.073 0.260 0.095 0.162 0.095 0.354 0.104 0.578 0.018 0.398
34.00 0.037 0.598 0.074 0.206 0.078 0.132 0.077 0.645 0.100 0.280 0.110 0.725 0.155 0.719 0.171 0.140 0.064 0.625 0.104 0.721
35.00 0.037 0.661 0.075 0.473 0.159 0.712 0.153 0.764 0.189 0.862 0.197 0.070 0.211 0.117 0.211 0.851 0.253 0.856 0.189 0.167
36.00 0.092 0.621 0.132 0.025 0.159 0.807 0.200 0.080 0.208 0.866 0.264 0.819 0.300 0.969 0.333 0.962 0.368 0.922 0.196 0.205
37.00 0.051 0.079 0.072 0.099 0.167 0.389 0.226 0.796 0.275 0.909 0.343 0.932 0.381 0.896 0.440 0.998 0.469 0.940 0.468 0.890
38.00 0.019 0.182 0.141 0.384 0.182 0.573 0.363 0.916 0.378 0.976 0.457 0.932 0.520 0.916 0.560 0.986 0.564 0.885 0.569 0.929
39.00 0.035 0.316 0.128 0.546 0.185 0.681 0.542 0.970 0.586 1.058 0.620 0.924 0.644 0.949 0.650 0.925 0.665 0.968 0.584 0.951
40.00 0.016 0.379 0.179 0.702 0.325 0.803 0.625 1.051 0.683 0.964 0.675 1.093 0.692 1.044 0.724 1.037 0.726 0.959 0.759 1.032
41.00 0.052 0.479 0.344 0.815 0.528 0.824 0.643 1.053 0.666 1.072 0.726 1.137 0.747 1.151 0.767 1.101 0.784 1.031 0.827 1.060
42.00 0.118 0.646 0.504 0.874 0.651 0.910 0.700 1.116 0.753 1.114 0.821 1.145 0.826 1.172 0.824 1.115 0.842 1.144 0.901 1.154
43.00 0.136 0.809 0.646 0.949 0.734 0.936 0.868 1.161 0.913 1.144 0.922 1.157 0.936 1.106 0.963 1.145 0.981 1.164 0.885 1.104
44.00 0.234 0.922 0.785 1.018 0.834 1.045 0.931 1.157 0.943 1.058 0.974 1.115 0.994 1.058 0.997 1.084 1.013 1.093 1.021 1.093
45.00 0.360 0.973 0.965 1.096 0.987 1.157 1.048 0.944 1.049 0.962 1.086 0.986 1.093 1.065 1.096 1.100 1.106 1.029 0.882 0.998
46.00 0.517 1.044 1.015 1.039 1.031 1.014 1.120 1.133 1.148 0.963 1.171 0.950 1.167 1.020 1.179 0.983 1.190 1.024 1.163 1.008
47.00 0.674 1.081 1.037 0.981 1.114 0.966 1.167 0.951 1.158 1.068 1.166 1.101 1.166 1.018 1.171 1.074 1.188 1.010 1.167 0.942
48.00 0.829 1.114 1.122 0.898 1.123 1.025 1.131 0.931 1.150 0.981 1.157 1.061 1.170 1.031 1.174 1.079 1.193 1.075 1.190 1.055
49.00 0.944 1.151 1.129 0.951 1.148 0.917 1.176 0.916 1.185 0.981 1.185 1.074 1.079 0.977 1.090 0.946 1.188 0.962 1.200 1.069
50.00 1.050 1.158 1.059 0.951 1.122 0.940 1.135 0.854 1.154 0.829 1.160 0.939 1.168 0.903 1.183 0.860 1.192 0.943 1.195 0.998
51.00 1.091 0.812 1.106 0.754 1.120 0.920 1.140 1.103 1.165 0.762 1.182 0.851 1.188 0.746 1.184 0.818 1.191 0.926 1.168 0.743
52.00 1.129 0.662 1.146 0.725 1.146 0.785 1.152 0.624 1.157 0.742 1.162 0.630 1.166 0.686 1.179 1.001 1.181 0.630 1.150 0.621
53.00 1.129 0.852 1.150 0.650 1.162 0.511 1.163 0.452 1.184 0.664 1.191 0.478 1.156 0.556 1.180 0.546 1.188 0.583 1.185 0.724
54.00 1.095 0.695 1.148 0.344 1.149 0.385 1.161 0.617 1.166 0.386 1.168 0.433 1.174 0.521 1.175 0.486 1.158 0.610 1.168 0.443
55.00 1.098 0.554 1.121 0.219 1.124 0.507 1.125 0.460 1.134 0.353 1.157 0.243 1.162 0.385 1.171 0.253 1.175 0.300 1.183 0.421
56.00 1.111 0.395 1.115 0.154 1.117 0.290 1.147 0.165 1.164 0.498 1.175 0.135 1.174 0.380 1.178 0.324 1.136 0.167 1.175 0.156
57.00 1.083 0.054 1.104 0.058 1.117 0.055 1.119 0.154 1.132 0.042 1.128 0.212 1.150 0.045 1.147 0.276 1.185 0.197 1.184 0.448
58.00 1.016 0.044 1.037 0.016 1.042 0.080 1.053 0.040 1.137 0.040 1.144 0.344 1.161 0.131 1.167 0.067 1.143 0.171 1.046 0.013
59.00 0.906 0.037 0.974 0.056 1.035 0.021 1.056 0.246 1.078 0.020 1.083 0.042 1.178 0.145 0.885 0.082 0.897 0.074 0.882 0.036
60.00 0.772 0.028 0.821 0.052 0.819 0.092 0.874 0.060 0.953 0.169 1.096 0.006 0.937 0.031 0.957 0.018 0.815 0.033 0.961 0.027
61.00 0.676 0.034 0.784 0.064 0.823 0.035 0.835 0.121 0.871 0.046 0.960 0.023 0.698 0.047 0.698 0.034 0.728 0.031 0.783 0.062
62.00 0.608 0.093 0.616 0.038 0.630 0.079 0.639 0.112 0.654 0.054 0.658 0.041 0.702 0.033 0.713 0.141 0.806 0.036 0.845 0.069
63.00 0.489 0.062 0.509 0.083 0.517 0.043 0.525 0.068 0.533 0.115 0.547 0.148 0.591 0.132 0.605 0.039 0.666 0.121 0.705 0.025
64.00 0.373 0.084 0.389 0.066 0.409 0.033 0.405 0.112 0.437 0.147 0.476 0.052 0.548 0.171 0.568 0.024 0.583 0.132 0.438 0.036
65.00 0.200 0.049 0.226 0.027 0.237 0.109 0.346 0.060 0.402 0.180 0.440 0.132 0.440 0.039 0.320 0.054 0.296 0.029 0.355 0.183
66.00 0.087 0.080 0.111 0.056 0.133 0.084 0.193 0.023 0.218 0.080 0.232 0.126 0.248 0.099 0.303 0.081 0.368 0.056 0.233 0.169
67.00 0.049 0.231 0.080 0.193 0.104 0.149 0.117 0.050 0.116 0.022 0.111 0.031 0.135 0.077 0.164 0.060 0.277 0.059 0.174 0.209
68.00 0.034 0.397 0.038 0.159 0.041 0.233 0.081 0.401 0.109 0.080 0.124 0.361 0.158 0.109 0.164 0.165 0.070 0.074 0.072 0.103
69.00 0.026 0.204 0.040 0.159 0.045 0.171 0.046 0.342 0.055 0.232 0.059 0.328 0.069 0.485 0.120 0.498 0.126 0.533 0.052 0.247
70.00 0.011 0.252 0.024 0.294 0.029 0.367 0.032 0.473 0.036 0.278 0.057 0.506 0.082 0.558 0.085 0.394 0.116 0.623 0.074 0.646
71.00 0.028 0.579 0.036 0.549 0.039 0.433 0.049 0.369 0.054 0.431 0.081 0.818 0.096 0.567 0.035 0.672 0.040 0.663 0.040 0.632
72.00 0.019 0.606 0.051 0.429 0.062 0.738 0.067 0.950 0.089 0.810 0.102 0.710 0.216 0.777 0.049 0.603 0.064 0.575 0.055 0.556
73.00 0.035 0.671 0.037 0.580 0.062 0.726 0.070 1.060 0.093 0.708 0.102 0.984 0.114 0.923 0.117 0.937 0.118 0.673 0.143 0.850
74.00 0.034 0.763 0.039 0.737 0.061 0.891 0.067 1.093 0.075 0.822 0.079 1.054 0.085 1.158 0.099 1.063 0.108 0.807 0.163 0.991
75.00 0.034 0.867 0.040 0.909 0.055 0.917 0.067 1.025 0.080 0.983 0.147 1.155 0.155 1.173 0.157 1.111 0.236 1.162 0.169 1.149
76.00 0.052 1.082 0.066 1.103 0.082 0.958 0.102 1.021 0.149 1.135 0.228 1.160 0.307 1.144 0.292 1.175 0.352 1.157 0.330 1.147
77.00 0.056 1.040 0.097 1.174 0.112 1.138 0.165 1.156 0.282 1.168 0.367 1.143 0.391 1.113 0.408 1.132 0.430 1.141 0.450 1.105
78.00 0.036 1.115 0.089 1.195 0.304 1.151 0.413 1.177 0.459 1.103 0.470 1.061 0.521 1.073 0.532 1.166 0.539 1.139 0.244 1.171
79.00 0.099 1.184 0.275 1.170 0.378 1.179 0.479 1.155 0.529 1.162 0.608 1.034 0.642 1.055 0.664 1.121 0.582 1.057 0.576 1.062
80.00 0.211 1.182 0.449 1.177 0.538 1.181 0.601 1.115 0.626 0.895 0.647 1.084 0.646 0.963 0.670 1.052 0.673 0.899 0.765 1.046
81.00 0.291 1.168 0.610 1.173 0.608 0.826 0.653 0.853 0.655 0.942 0.692 1.027 0.712 0.894 0.737 1.166 0.752 0.916 0.776 1.009
82.00 0.381 1.173 0.737 0.903 0.741 0.779 0.755 0.834 0.772 0.952 0.775 1.158 0.878 1.045 0.728 0.819 0.716 0.857 0.780 0.884
83.00 0.788 0.865 0.822 0.793 0.908 1.072 0.820 0.830 0.825 0.857 0.815 0.920 0.832 0.873 0.872 0.837 0.899 0.821 0.482 1.146
84.00 0.545 1.113 0.823 0.835 0.865 0.842 0.879 0.880 0.944 0.895 0.944 0.910 0.961 0.922 0.922 0.839 0.934 0.821 0.922 0.915
85.00 0.659 1.090 1.041 0.940 1.071 0.950 1.090 0.899 0.884 0.895 0.972 0.959 0.962 0.900 0.992 0.893 1.023 0.924 1.083 0.904
86.00 0.787 1.142 1.049 1.065 1.054 0.981 1.062 0.972 1.098 0.935 1.139 0.785 1.148 0.849 1.172 0.955 1.173 0.881 0.994 1.006
87.00 0.829 1.178 1.117 1.018 1.120 0.651 1.152 0.690 1.154 0.997 1.165 1.000 1.170 0.814 1.183 0.944 1.189 0.884 1.156 0.670
88.00 0.935 1.148 1.091 0.508 1.100 0.551 1.138 0.496 1.162 0.667 1.175 0.864 1.184 0.850 1.186 0.752 1.185 0.733 1.133 0.481
89.00 0.979 0.421 0.977 1.080 0.982 0.391 1.002 0.414 1.164 0.537 1.169 0.701 1.177 0.670 1.184 0.482 1.186 0.629 1.175 0.621
90.00 0.842 0.344 0.861 0.316 0.937 0.457 1.010 0.224 1.060 0.977 1.077 0.435 1.147 0.552 1.155 0.468 1.179 0.521 1.180 0.554
91.00 0.753 0.336 0.822 0.210 0.861 0.385 0.867 0.274 0.896 0.328 1.005 0.340 1.078 0.418 1.112 0.425 1.120 0.829 1.145 0.398
92.00 0.619 0.281 0.677 0.308 0.714 0.265 0.779 0.226 0.815 0.275 0.846 0.265 0.953 0.321 0.998 0.327 1.026 0.434 1.070 0.685
93.00 0.555 0.318 0.566 0.330 0.592 0.304 0.636 0.228 0.709 0.237 0.830 0.278 0.876 0.257 1.009 0.539 1.061 0.423 0.658 0.263
94.00 0.450 0.361 0.460 0.342 0.504 0.252 0.515 0.312 0.549 0.283 0.564 0.315 0.695 0.254 0.710 0.193 0.907 0.295 0.950 0.392
95.00 0.473 0.357 0.520 0.312 0.540 0.208 0.575 0.259 0.757 0.254 0.938 0.290 0.415 0.301 0.403 0.276 0.395 0.252 0.375 0.243
96.00 0.370 0.146 0.414 0.201 0.412 0.306 0.431 0.152 0.462 0.242 0.504 0.290 0.591 0.272 0.775 0.217 0.362 0.207 0.367 0.234
97.00 0.290 0.090 0.312 0.130 0.307 0.107 0.327 0.143 0.369 0.092 0.501 0.231 0.529 0.125 0.643 0.148 0.351 0.202 0.346 0.187
98.00 0.153 0.121 0.166 0.137 0.225 0.061 0.213 0.085 0.247 0.085 0.339 0.119 0.375 0.014 0.385 0.076 0.532 0.047 0.216 0.064
99.00 0.059 0.131 0.070 0.147 0.072 0.198 0.102 0.082 0.152 0.011 0.261 0.067 0.404 0.054 0.413 0.021 0.104 0.051 0.124 0.051
100.00 0.012 0.102 0.020 0.169 0.039 0.242 0.033 0.265 0.046 0.165 0.159 0.144 0.256 0.112 0.311 0.130 0.037 0.229 0.013 0.084
101.00 0.024 0.211 0.029 0.264 0.051 0.294 0.047 0.230 0.055 0.346 0.077 0.324 0.097 0.343 0.168 0.249 0.213 0.167 0.038 0.285
102.00 0.027 0.334 0.051 0.335 0.064 0.435 0.067 0.337 0.076 0.307 0.072 0.431 0.087 0.372 0.083 0.259 0.102 0.313 0.127 0.232
103.00 0.040 0.320 0.061 0.323 0.064 0.462 0.060 0.369 0.085 0.427 0.098 0.310 0.095 0.398 0.115 0.392 0.141 0.412 0.037 0.307
104.00 0.021 0.355 0.019 0.400 0.060 0.463 0.079 0.363 0.093 0.341 0.127 0.487 0.135 0.328 0.144 0.556 0.152 0.529 0.149 0.523
105.00 0.043 0.521 0.099 0.483 0.099 0.673 0.122 0.463 0.122 0.645 0.139 0.319 0.174 0.672 0.206 0.647 0.226 0.584 0.042 0.534
