timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y
0.0	0.913	0.767	0.884	0.676	0.908	0.674	0.871	0.666	0.928	0.615
0.0666666666667	0.915	0.774	0.734	0.771	0.907	0.68	0.886	0.679	0.871	0.667
0.133333333333	0.92	0.784	0.735	0.768	0.906	0.688	0.884	0.683	0.871	0.677
0.2	0.924	0.79	0.735	0.768	0.905	0.692	0.87	0.683	0.932	0.631
0.266666666667	0.927	0.796	0.735	0.766	0.905	0.7	0.887	0.697	0.869	0.689
0.333333333333	0.93	0.801	0.888	0.703	0.902	0.704	0.869	0.691	0.934	0.638
0.4	0.928	0.808	0.902	0.713	0.888	0.707	0.868	0.697	0.932	0.642
0.466666666667	0.928	0.819	0.735	0.768	0.901	0.72	0.87	0.707	0.932	0.647
0.533333333333	0.927	0.828	0.734	0.77	0.9	0.726	0.872	0.714	0.931	0.649
0.6	0.927	0.834	0.735	0.767	0.899	0.735	0.889	0.725	0.874	0.72
0.666666666667	0.926	0.838	0.737	0.767	0.897	0.743	0.889	0.731	0.874	0.725
0.733333333333	0.927	0.846	0.896	0.749	0.889	0.735	0.875	0.729	0.93	0.659
0.8	0.927	0.855	0.895	0.756	0.888	0.739	0.872	0.736	0.928	0.665
0.866666666667	0.927	0.862	0.895	0.76	0.887	0.745	0.872	0.741	0.927	0.668
0.933333333333	0.927	0.869	0.896	0.767	0.887	0.75	0.871	0.747	0.927	0.672
1.0	0.927	0.873	0.896	0.776	0.886	0.754	0.737	0.765	0.871	0.749
1.06666666667	0.928	0.877	0.897	0.78	0.884	0.756	0.87	0.753	0.927	0.678
1.13333333333	0.931	0.885	0.897	0.786	0.883	0.762	0.87	0.755	0.735	0.774
1.2	0.931	0.893	0.897	0.791	0.882	0.768	0.87	0.761	0.928	0.689
1.26666666667	0.932	0.9	0.9	0.795	0.881	0.773	0.87	0.771	0.734	0.772
1.33333333333	0.933	0.905	0.901	0.801	0.881	0.778	0.87	0.777	0.737	0.764
1.4	0.934	0.91	0.905	0.809	0.871	0.78	0.734	0.772	0.93	0.698
1.46666666667	0.937	0.92	0.907	0.815	0.93	0.701	0.011	0.002	nan	nan
1.53333333333	0.939	0.929	0.911	0.821	0.931	0.703	0.011	0.001	nan	nan
1.6	0.942	0.935	0.913	0.826	0.877	0.808	0.734	0.771	0.93	0.706
1.66666666667	0.943	0.941	0.917	0.831	0.881	0.813	0.93	0.713	0.011	0.001
1.73333333333	0.937	0.943	0.92	0.837	0.884	0.82	0.93	0.718	0.011	0.001
1.8	0.927	0.947	0.924	0.842	0.887	0.825	0.735	0.768	0.93	0.723
1.86666666667	0.921	0.949	0.926	0.847	0.888	0.831	0.93	0.726	0.011	0.002
1.93333333333	0.928	0.85	0.893	0.837	0.896	0.826	0.928	0.73	0.011	0.002
2.0	0.899	0.945	0.931	0.853	0.896	0.843	0.9	0.831	0.735	0.767
2.06666666667	0.889	0.942	0.932	0.858	0.899	0.848	0.903	0.836	0.734	0.772
2.13333333333	0.882	0.941	0.934	0.864	0.901	0.852	0.907	0.838	0.737	0.765
2.2	0.874	0.935	0.936	0.871	0.903	0.854	0.909	0.841	0.92	0.748
2.26666666667	0.863	0.925	0.937	0.878	0.908	0.861	0.912	0.844	0.734	0.77
2.33333333333	0.855	0.919	0.937	0.883	0.912	0.87	0.917	0.848	0.918	0.76
2.4	0.849	0.914	0.937	0.887	0.914	0.876	0.92	0.85	0.915	0.767
2.46666666667	0.844	0.912	0.938	0.893	0.917	0.882	0.924	0.854	0.915	0.773
2.53333333333	0.841	0.908	0.937	0.901	0.918	0.885	0.926	0.855	0.914	0.777
2.6	0.833	0.907	0.936	0.907	0.919	0.889	0.931	0.86	0.913	0.782
2.66666666667	0.934	0.913	0.824	0.903	0.92	0.893	0.934	0.865	0.909	0.785
2.73333333333	0.933	0.918	0.816	0.902	0.923	0.895	0.937	0.87	0.908	0.791
2.8	0.933	0.92	0.812	0.902	0.925	0.9	0.939	0.873	0.906	0.795
2.86666666667	0.933	0.924	0.926	0.903	0.807	0.901	0.903	0.799	0.011	0.001
2.93333333333	0.933	0.928	0.927	0.907	0.803	0.901	0.901	0.801	0.735	0.768
3.0	0.933	0.931	0.93	0.907	0.802	0.901	0.895	0.805	0.734	0.774
3.06666666667	0.933	0.935	0.931	0.908	0.8	0.901	0.944	0.897	0.889	0.807
3.13333333333	0.933	0.938	0.932	0.908	0.945	0.901	0.803	0.894	0.884	0.809
3.2	0.933	0.942	0.932	0.91	0.944	0.905	0.807	0.887	0.882	0.812
3.26666666667	0.932	0.946	0.934	0.91	0.808	0.882	0.878	0.813	0.011	0.002
3.33333333333	0.932	0.948	0.937	0.908	0.81	0.877	0.876	0.814	0.011	0.002
3.4	0.932	0.951	0.943	0.922	0.939	0.908	0.812	0.875	0.874	0.815
