timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
0.00 0.319 0.488 0.330 0.627 0.338 0.529 0.398 0.543 0.401 0.615 0.448 0.720 0.455 0.668 0.477 0.778 0.864 0.843 0.302 0.369
1.00 0.314 0.522 0.387 0.634 0.475 0.785 0.481 0.717 0.498 0.769 0.504 0.745 0.528 0.856 0.597 0.929 0.639 0.922 0.788 0.822
2.00 0.488 0.699 0.603 0.950 0.628 0.819 0.647 0.919 0.659 1.003 0.677 0.915 0.681 0.839 0.728 0.964 0.771 0.995 0.825 0.782
3.00 0.721 0.831 0.792 0.975 0.871 1.028 0.869 0.909 0.814 0.900 0.843 0.864 0.869 0.857 0.893 0.812 0.885 0.904 0.901 0.940
4.00 0.870 0.886 1.016 0.844 0.982 0.843 0.974 0.871 0.970 0.889 0.987 0.953 0.953 0.891 0.939 0.894 0.901 0.922 0.889 0.882
5.00 1.025 0.746 1.043 0.892 1.060 0.813 1.086 0.868 1.120 0.811 0.965 0.909 0.988 0.779 1.002 0.860 0.959 0.850 0.930 0.864
6.00 0.999 0.633 1.012 0.604 1.016 0.777 1.028 0.682 1.072 0.635 1.106 0.729 1.134 0.716 0.967 0.657 1.002 0.864 0.949 0.808
7.00 0.866 0.517 0.921 0.511 0.932 0.629 0.958 0.508 0.982 0.459 0.994 0.499 1.009 0.706 1.031 0.811 1.055 0.504 1.103 0.603
8.00 0.756 0.382 0.775 0.377 0.806 0.441 0.820 0.419 0.841 0.442 0.872 0.367 0.869 0.447 0.970 0.394 0.999 0.543 1.070 0.736
9.00 0.531 0.252 0.595 0.310 0.619 0.222 0.620 0.301 0.643 0.390 0.654 0.213 0.717 0.372 0.770 0.309 0.883 0.420 1.160 0.673
10.00 0.423 0.131 0.483 0.297 0.503 0.194 0.502 0.121 0.538 0.294 0.700 0.280 1.158 0.577 0.381 0.242 0.331 0.221 0.336 0.275
11.00 0.311 0.131 0.496 0.221 1.143 0.457 0.233 0.291 0.328 0.195 0.364 0.272 0.348 0.290 0.314 0.217 0.277 0.226 0.220 0.256
12.00 1.150 0.365 0.256 0.304 0.296 0.212 0.320 0.246 0.239 0.277 0.226 0.290 0.211 0.232 0.214 0.310 0.210 0.354 0.237 0.351
13.00 0.124 0.302 0.250 0.215 1.173 0.265 0.135 0.280 0.172 0.270 0.250 0.236 0.247 0.261 0.256 0.262 0.246 0.275 0.254 0.282
14.00 0.090 0.233 0.138 0.239 0.164 0.218 0.264 0.289 1.160 0.155 0.272 0.216 0.216 0.238 0.219 0.262 0.226 0.270 0.217 0.296
15.00 0.095 0.187 0.149 0.154 1.150 0.068 0.221 0.322 0.177 0.341 0.231 0.199 0.246 0.223 0.243 0.266 0.262 0.257 0.246 0.361
16.00 0.118 0.327 0.156 0.171 0.187 0.180 0.269 0.291 1.118 0.039 0.204 0.376 0.169 0.249 0.242 0.326 0.244 0.342 0.298 0.350
17.00 0.117 0.320 0.125 0.377 0.177 0.523 0.249 0.425 1.008 0.096 0.262 0.308 0.154 0.372 0.275 0.353 0.209 0.343 0.180 0.303
18.00 0.093 0.492 0.130 0.564 0.165 0.456 0.201 0.652 0.206 0.559 0.225 0.678 0.233 0.420 0.247 0.431 0.909 0.072 0.238 0.329
19.00 0.097 0.696 0.151 0.774 0.211 0.508 0.230 0.804 0.227 0.692 0.277 0.743 0.292 0.829 0.304 0.676 0.778 0.057 0.198 0.612
20.00 0.129 0.876 0.164 0.728 0.234 0.924 0.286 0.810 0.350 0.908 0.350 0.923 0.374 0.985 0.419 0.835 0.648 0.072 0.402 0.897
21.00 0.273 1.013 0.358 0.936 0.359 1.024 0.512 0.974 0.521 1.072 0.524 0.868 0.534 0.064 0.551 0.990 0.582 1.051 0.439 1.008
22.00 0.453 0.056 0.460 1.091 0.536 1.088 0.630 0.989 0.649 1.038 0.691 0.991 0.723 0.929 0.729 1.071 0.749 0.949 0.791 1.031
23.00 0.350 0.069 0.672 1.079 0.789 1.064 0.961 0.933 0.819 0.992 0.840 0.928 0.820 0.933 0.907 0.961 0.912 0.909 0.939 0.912
24.00 0.280 0.113 0.871 1.055 1.045 0.907 1.052 0.841 0.918 0.868 1.002 1.001 1.020 0.869 0.961 0.946 0.960 0.936 0.954 0.896
25.00 1.026 0.894 1.028 0.974 1.076 0.770 1.081 0.896 1.100 0.713 1.106 0.878 1.147 0.847 0.290 0.205 1.020 0.850 0.959 0.919
26.00 1.007 0.591 1.027 0.850 1.029 0.750 1.077 0.735 1.095 0.680 1.101 0.754 1.114 0.843 1.128 0.650 1.129 0.733 0.336 0.270
