timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
0.00 0.861 0.624 0.894 0.715 0.937 0.554 0.970 0.436 0.974 0.717 1.046 0.393 1.078 0.233 1.125 0.081 1.123 0.139 1.136 0.119
1.00 0.931 0.536 0.973 0.148 0.993 0.076 0.997 0.449 1.006 0.565 1.037 0.228 1.042 0.062 1.077 0.288 0.973 0.078 0.925 0.532
2.00 0.840 0.067 0.866 0.042 0.898 0.115 0.923 0.127 0.931 0.090 0.997 0.277 1.020 0.410 1.021 0.447 1.035 0.146 1.017 0.452
3.00 0.693 0.053 0.702 0.019 0.741 0.052 0.787 0.099 0.849 0.064 0.890 0.066 0.927 0.150 1.011 0.243 1.028 0.347 1.031 0.311
4.00 0.537 0.106 0.588 0.066 0.605 0.044 0.636 0.077 0.740 0.069 0.781 0.139 0.928 0.399 0.981 0.209 0.890 0.133 0.730 0.074
5.00 0.496 0.094 0.602 0.082 0.631 0.060 0.634 0.127 0.717 0.139 0.847 0.443 0.853 0.180 0.370 0.180 0.492 0.107 0.520 0.082
6.00 0.421 0.167 0.469 0.102 0.494 0.128 0.514 0.149 0.608 0.133 0.750 0.133 0.754 0.491 0.367 0.178 0.327 0.174 0.243 0.192
7.00 0.202 0.071 0.217 0.111 0.366 0.163 0.425 0.198 0.445 0.130 0.624 0.099 0.682 0.529 0.277 0.152 0.277 0.149 0.392 0.171
8.00 0.111 0.100 0.166 0.135 0.199 0.101 0.253 0.148 0.483 0.081 0.638 0.500 0.267 0.172 0.277 0.196 0.307 0.172 0.092 0.214
9.00 0.054 0.226 0.069 0.294 0.108 0.180 0.125 0.302 0.139 0.452 0.152 0.174 0.152 0.194 0.182 0.145 0.334 0.110 0.628 0.421
