timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y
0.0	0.738	0.764	0.934	0.651	0.954	0.619	0.956	0.596	0.962	0.452
0.0666666666667	0.737	0.765	0.931	0.654	0.95	0.625	0.955	0.6	0.961	0.458
0.133333333333	0.738	0.761	0.927	0.656	0.948	0.628	0.955	0.604	0.959	0.462
0.2	0.737	0.765	0.924	0.659	0.945	0.632	0.954	0.607	0.959	0.466
0.266666666667	0.738	0.762	0.921	0.661	0.943	0.636	0.952	0.613	0.959	0.467
0.333333333333	0.735	0.767	0.92	0.662	0.94	0.638	0.951	0.618	0.958	0.468
0.4	0.738	0.762	0.919	0.663	0.939	0.641	0.952	0.624	0.957	0.472
0.466666666667	0.734	0.77	0.915	0.663	0.938	0.644	0.951	0.63	0.956	0.474
0.533333333333	0.735	0.767	0.911	0.66	0.934	0.65	0.951	0.636	0.956	0.475
0.6	0.906	0.657	0.93	0.656	0.951	0.641	0.956	0.478	0.945	0.455
0.666666666667	0.735	0.766	0.925	0.661	0.901	0.655	0.949	0.647	0.956	0.479
0.733333333333	0.737	0.765	0.923	0.667	0.948	0.655	0.897	0.653	0.956	0.48
0.8	0.737	0.764	0.919	0.672	0.945	0.662	0.895	0.65	0.957	0.483
0.866666666667	0.738	0.761	0.914	0.679	0.945	0.667	0.894	0.649	0.958	0.484
0.933333333333	0.737	0.77	0.912	0.684	0.942	0.673	0.892	0.648	0.959	0.484
1.0	0.74	0.759	0.909	0.688	0.938	0.682	0.89	0.647	0.959	0.485
1.06666666667	0.737	0.766	0.908	0.694	0.936	0.688	0.887	0.645	0.958	0.486
1.13333333333	0.735	0.766	0.908	0.701	0.933	0.691	0.882	0.648	0.956	0.491
1.2	0.737	0.765	0.908	0.707	0.932	0.696	0.878	0.649	0.955	0.495
1.26666666667	0.909	0.71	0.93	0.702	0.875	0.649	0.954	0.498	0.927	0.484
1.33333333333	0.737	0.764	0.909	0.714	0.927	0.709	0.872	0.65	0.951	0.501
1.4	0.735	0.772	0.911	0.718	0.925	0.715	0.87	0.653	0.948	0.507
1.46666666667	0.737	0.765	0.913	0.727	0.923	0.721	0.87	0.66	0.945	0.51
1.53333333333	0.737	0.766	0.917	0.736	0.869	0.663	0.943	0.514	0.924	0.492
1.6	0.735	0.767	0.918	0.739	0.869	0.667	0.939	0.516	0.924	0.496
1.66666666667	0.737	0.765	0.919	0.744	0.869	0.669	0.934	0.519	0.924	0.499
1.73333333333	0.924	0.754	0.737	0.765	0.918	0.744	0.872	0.676	0.931	0.521
1.8	0.925	0.756	0.915	0.748	0.877	0.685	0.928	0.522	0.923	0.504
1.86666666667	0.926	0.76	0.914	0.756	0.734	0.77	0.88	0.692	0.926	0.524
1.93333333333	0.928	0.764	0.913	0.762	0.738	0.762	0.883	0.697	0.925	0.524
2.0	0.93	0.771	0.913	0.767	0.735	0.767	0.886	0.702	0.925	0.527
2.06666666667	0.93	0.78	0.913	0.772	0.735	0.766	0.888	0.706	0.924	0.532
2.13333333333	0.928	0.79	0.915	0.78	0.739	0.761	0.889	0.709	0.921	0.536
